63:1:001:1	Pen . j .
63:1:002:1	Scrivennu y mae ef at ryw Arglwyddes , 4 Gan lawenychu vot y phlant hi yn rhodio yn y gwirionedd , 5 Ai hannoc hwy i gariat , 7 Ei rhybudd y ymochelyd o ywrth gyfryw dwyllwyr ac a wadant ddyvot Iesu Christ yn‐cnawt , 8 Y mae yn ervyn yddynt aros yn‐dysceidaeth Christ . 10 Ac na bo yðwynt ðim a wnelont a’r ei ny dducant gwir ddysc Christ Iesu ein Iachawdr .
63:1:001:0	YR Henafgwr at y ddetholedic Arglwyddes , a’i phlant , yr ein a garaf yn y gwirioneð : ac nyd mivi yn vnic , eithr yr oll ’rei a adnabuont y gwirionedd ,
63:1:002:0	Er mwyn y gwirionedd ys ydd yn trigio ynom , ac a vydd y gyd a ni yn tragyvyth .
63:1:003:0	Bit rrat , gyd a chwi , trugaredd , a’ thangneðyf ywrth Ddyw Tat , ac o ddywrth yr Arglwydd Iesu Christ Vap y Tat , y gyd gwirionedd a’ chariat .
63:1:004:0	Llawen iawn vu genyf , gahel o honaf dy blant yn rrodio yn‐gwirionedd , val yd erbyniasam ’orchymyn gan y Tat .
63:1:005:0	Ac yr owrhon yr ervyniaf yt’ , Arglwyddes , ( nyd mal vn yn yscrivennu gorchymyn newyð yty , eithr yr hwn oedd y ni or dechreuat ) bot y ni garu eu gylydd .
63:1:006:0	A’ hwn yw’r cariat , bot y ni rodio ar ol y ’orchymynion ef . Hwn yw’r gorchymyn , bot ychwy val y clywsoch or dechreu , rodio ynthaw .
63:1:007:0	Can ys llawer o twyllwyr a ddaethant y mevvn ir byt , yr ei ny choffessant ddyvot Iesu Christ yn‐cnawt . Yr hwn ’sy gyfryw , twyllwr yw ac Antichrist .
63:1:008:0	Edrychwch arnoch ychunain , na chollom y petheu , y wnaetham , eithyr val yd erbyniom lawn gyfloc .
63:1:009:0	Pwy pynac a drosedda ac nyd erys yn‐dysceideth Christ , nyd oes Dyw yðaw . Yr hwn a erys yn‐dysceidaeth Christ , y mae yðo y Tat a’r Map .
63:1:010:0	A’s daw nep atoch , ac eb ddwyn y ddyscedaeth hon , na dderbyniwch ef ir tuy , ac na ddywedwch wrtho , Hyn‐pych‐well .
63:1:011:0	Can ys yr hwn a ðywet wrtho , Hynpych‐well , ys y cyfrannoc oy weithredoedd drwc ef .
63:1:012:0	Cyd bei cenyf lawer o betheu yw scrivennu atoch , er hyny nyd scrivennvvn a phapyr ac inc : eithyr gobeitho ydd vvyf ddyvot atoch , ac ymadrodd geneu yn‐geu , mal y cyflawner ein llawenydd .
63:1:013:0	Y mae meibion dy ddetholedic chwaer ith anerch . Amen .
