51:1:001:1	K'é ha'níinii
51:1:001:0	Shí Paul, Diyin God bíniik'ehgo Jesus Christ yá yil'aadii nishłíinii, áádóó nihitsilí Timothy, 
51:1:002:1	Paul éí Kalásiidi da'oodlání danilíinii yá sodilzin
51:1:002:0	Kalásiidi Christ bee nihik'isóó bada'ahódlíii, éí Diyin God bidiyį́į́' danilíinii bich'į' naaltsoos íilnééh:Diyin God nihiTaa' áádóó nihiBóhólníihii Jesus Christ bibee ajooba' índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo. 
51:1:003:0	NihiBóhólníihii Jesus Christ biTaa', Diyin God, bich'į' ahééh niidzingo t'áá áłahjį' nihá sodiilzin. 
51:1:004:0	Háálá Christ Jesus deinohdlą́ągo áádóó Diyin God bidiyį́į́' t'áá ałtso ayóó'ádeínóh'níigo baa hosidiits'ą́ą́'. 
51:1:005:0	Háálá yá'ąąshdi Diyin God yee nihik'idajidlíi dooleełii nihá hasht'e'nííníláii bíká nihił chodahoo'į́, éí t'áá átséedi saad t'áá aaníinii, hane' yá'át'éehii, bee baa dahosidoots'ą́ą́'. 
51:1:006:0	Diyin God bibee ajooba' baa dahosidoots'ą́ą́' índa t'áá aaníí baa ákodanoozį́į́' bijį́į́dóó hane' yá'át'éehii bee nihik'idahodzisdli'. Áko k'ad nihokáá' dine'é ałdó' bitahgóó nidadidlaad áádóó bits'ą́ą́dóó aneest'ą' nihwiileeh. 
51:1:007:0	Díí Épafras, ayóó'ííníi'níigo bił neiil'a'ii, bits'ą́ą́dóó bídahooł'ą́ą́'. Éí ba'ahódlíigo nihá Christ yá naal'a'í nilį́. 
51:1:008:0	Épafras éí Níłch'i Diyinii bee ayóó'áda'íínóh'níigo yee nihił náhoolne'. 
51:1:009:0	Éí t'óó nihaa hosidiits'ą́ą́' yę́ędóó wóshdę́ę́' t'áadoo áhodiilzéhí nihá sodiilzin. Diyin God íinízinii hazhó'ó nihił béédahodoozįįł biniyé, bee hódzáanii áádóó Níłch'i Diyinii k'ehgo ak'idi'yiitįįh nihaididoo'áłígíí nihá baa ná'iikąąh. 
