35:3:001:1	Habákak bisodizin
35:3:001:0	Diyin God yá halne'ii Habákak bisodizin Shigiyónoth bik'ehgo bee hatáál .
35:3:002:0	Bóhólníihii nílíinii , naa hane'go diséts'ą́ą'go néésísdzííd . Bóhólníihii nílíinii , nináháháhígíí ałníí'góó hoolzhishgo ninaanish ániidí áńdíídlííł . Nináháháhígíí ałníí'góó hoolzhishgo ninaanish bééhózingo áńdíídlííł . Náháchįįhgo ne'a'áhí hasin béénílniih doo .
35:3:003:0	Tíímandę́ę́' Diyin God honíle' , áádóó Dził Péíran hoolyéédę́ę́' Diyin Nilíinii níyá . SíilahYee ayóó át'éii éí yót'ááh hiníláii yik'i dah yiskaad , áádóó nahasdzáán nidahonees'ą́ą́góó bee baa ha'niih .
35:3:004:0	Bee bits'ádi'nílíidii adinídínígi át'é . Bílák'eedóó shá bitł'óól hanoolzhee' ; ákwe'é lą́ą bibee adziilii hólónígíí doo yit'į́į da .
35:3:005:0	Bitsijį' honíłnii' áádóó bikéédę́ę́' naałniih níłnii' .
35:3:006:0	Yiizį'go nahasdzáán yikáá'góó ha'íísid , áko naazghalgo ał'ąą dine'é bitah dahoditłid ; t'áá ałk'idą́ą́' dził naaznilii dahidiitaa' ; t'áá ałk'idą́ą́' dah daask'idii yaa ádaadzaa . Yee át'éii éí hool'áágóó hólǫ́ .
35:3:007:0	Kúshan kéyahgi níbaal yii' kéédahat'íinii nitseekaigoáádóó Mídiya dine'é bikéyahgi dah na'azbaalígíí daditłidgo yiiłtsą́ .
35:3:008:0	Łį́į́' bee nida'abaahii áádóó nitsindaabąąs bijáád naakiígíí bee yisdá'iildéehii bee nanibaah yę́ędą́ą́' , Bóhólníihii nílíinii , tooh danílínígíísh bich'į' doo nił hóózhǫǫd da ? Da' tooh danílínígíísh bich'į' náhóóchįįd ? Doodaii' tónteel siyínígíísh bich'į' hashké ninidzį́į́' ?
35:3:009:0	Ne'ełtį́į́' báá'dooltsoozgo yee atí'doolíiłii yee ádee haadzíí' . SíilahTooh danílínígíí bee nahasdzáán bikáá' dabikooh áhwiinilaa .
35:3:010:0	Dził daniiłtsą́ągo bitah dahoditłid , tó dááląądígíí ayóó ádeits'a'go adahaazna' .
35:3:011:0	Jį́honaa'éí áádóó tł'ééhonaa'éí éí k'aa' be'adinídíiniiáádóó nitsiidétáán bee i'díídláadgo yiyiiłtsą́ągo t'áá ákǫ́ǫ́ niiltłah .
35:3:012:0	Kéyahgóó hashké ninidzį́į'go hadininá ; ał'ąą dine'é bik'i nisíníyáago náhóóchįįdii bee yishíníłch'ii' .
35:3:013:0	Nidine'é yisdáhidookah biniyé yíníyá ; t'áá éí déínísį́į'ii yisdáhidookah biniyé yíníyá . Doo yá'ádaashóonii bighandóó atsijį' naazíinii dashíníłjizh ; bik'ai'dóó bik'osjį' ałtso yíníłchxǫ' . Síilah
35:3:014:0	Bi'anada'ał'íinii t'áá bí bitsiidétáán bitsiits'iin bighá dasínísi' . Nááts'ó'oołdísiitsoh nahalingo tanihiidooghas biniyé shaatįįh náásą́ . T'áá nahont'inee badahojoobá'íii deildeełiigi át'éego bił nidahoozhǫǫh .
35:3:015:0	Tónteel éí ayóó át'éego yilk'oołgo bikáá' ha'naa łį́į́' nił niikai .
35:3:016:0	T'óó diséts'ą́'ígo bik'ee shitsą́ hoditłid silį́į́' , áko iinéé' t'óó diséts'ą́'ígo shidiisnáa'go bik'ee shidaa' ditłid , shits'in dííłdzid nahalingo doo shidziil da sélį́į́'áádóó bik'ee t'áá íiyisí shitah hoditłid . Nidi diné yighadahodidoot'ááł biniyébisiláo yił nídooséłígíí bich'į' nidahodiyoo'naałbeiníłką́ bijį́į́ góne' ha'óshníigo biba' ánísht'ée doo .
35:3:017:0	Azhą́ fig sikaadígíí bizóól doo bąąh nídahasdlį́į' da nidi , áádóó ch'il na'atł'o'ii bineest'ą' doo bąąh nídahasdlį́į' da nidi , áádóó áliv sikaadígíí bineest'ą' doo bąąh nídahasdlį́į' da nidi , áádóó dáda'ak'ehgóó ch'iyáán t'áadoo nídahasdlį́į' da nidi , áádóó dibé bighangi dibé doo ła' yidzíi' da nidi , índa béégashii nída'ałchoshígi béégashii doo ła' naagháa da nidi ,
35:3:018:0	ákondi Bóhólníihii t'ahdii baa shił nihoozhǫǫh doo , Diyin God bee yisdááyáii baa shił hózhǫ́ǫ doo .
35:3:019:0	Bóhólníihii Diyin God bee shidziilii nilį́ , bįįhtsa'ii dilwo'ígi át'éego shikee' bee doo shił nahontł'agóóáádóó shi'aghádahaz'áágóó naasháago áshósin .
