6:15:001:1	The Land Given to the Tribe of Judah
6:15:001:0	The allotment for the clans of the tribe of Judah reached southward to the border of Edom , as far south as the wilderness of Zin .
6:15:002:0	The southern boundary began at the south bay of the Dead Sea ,
6:15:003:0	ran south of Scorpion Pass into the wilderness of Zin , and then went south of Kadesh-barnea to Hezron . Then it went up to Addar , where it turned toward Karka .
6:15:004:0	From there it passed to Azmon until it finally reached the Brook of Egypt , which it followed to the Mediterranean Sea . This was their southern boundary .
6:15:005:0	The eastern boundary extended along the Dead Sea to the mouth of the Jordan River.The northern boundary began at the bay where the Jordan River empties into the Dead Sea ,
6:15:006:0	went up from there to Beth-hoglah , then proceeded north of Beth-arabah to the Stone of Bohan . ( Bohan was Reuben 's son . )
6:15:007:0	From that point it went through the valley of Achor to Debir , turning north toward Gilgal , which is across from the slopes of Adummim on the south side of the valley . From there the boundary extended to the springs at En-shemesh and on to En-rogel .
6:15:008:0	The boundary then passed through the valley of Ben-Hinnom , along the southern slopes of the Jebusites , where the city of Jerusalem is located . Then it went west to the top of the mountain above the valley of Hinnom , and on up to the northern end of the valley of Rephaim .
6:15:009:0	From there the boundary extended from the top of the mountain to the spring at the waters of Nephtoah , and from there to the towns on Mount Ephron . Then it turned toward Baalah ( that is , Kiriath-jearim ) .
6:15:010:0	The boundary circled west of Baalah to Mount Seir , passed along to the town of Kesalon on the northern slope of Mount Jearim , and went down to Beth-shemesh and on to Timnah .
6:15:011:0	The boundary then proceeded to the slope of the hill north of Ekron , where it turned toward Shikkeron and Mount Baalah . It passed Jabneel and ended at the Mediterranean Sea .
6:15:002:1	The Land Given to Caleb
6:15:012:0	The western boundary was the shoreline of the Mediterranean Sea.These are the boundaries for the clans of the tribe of Judah .
6:15:013:0	The Lord commanded Joshua to assign some of Judah 's territory to Caleb son of Jephunneh . So Caleb was given the town of Kiriath-arba ( that is , Hebron ) , which had been named after Anak 's ancestor .
6:15:014:0	Caleb drove out the three groups of Anakites—the descendants of Sheshai , Ahiman , and Talmai , the sons of Anak .
