6:19:001:1	The Land Given to Simeon
6:19:001:0	The second allotment of land went to the clans of the tribe of Simeon . Their homeland was surrounded by Judah 's territory .
6:19:002:0	Simeon 's homeland included Beersheba , Sheba , Moladah ,
6:19:003:0	Hazar-shual , Balah , Ezem ,
6:19:004:0	Eltolad , Bethul , Hormah ,
6:19:005:0	Ziklag , Beth-marcaboth , Hazar-susah ,
6:19:006:0	Beth-lebaoth , and Sharuhen — thirteen towns with their surrounding villages .
6:19:007:0	It also included Ain , Rimmon , Ether , and Ashan — four towns with their villages ,
6:19:008:0	including all the surrounding villages as far south as Baalath-beer ( also known as Ramah of the Negev ) .This was the homeland allocated to the clans of the tribe of Simeon .
6:19:002:1	The Land Given to Zebulun
6:19:009:0	Their allocation of land came from part of what had been given to Judah because Judah 's territory was too large for them . So the tribe of Simeon received an allocation within the territory of Judah .
6:19:010:0	The third allotment of land went to the clans of the tribe of Zebulun.The boundary of Zebulun 's homeland started at Sarid .
6:19:011:0	From there it went west , going past Maralah , touching Dabbesheth , and proceeding to the brook east of Jokneam .
6:19:012:0	In the other direction , the boundary went east from Sarid to the border of Kisloth-tabor , and from there to Daberath and up to Japhia .
6:19:013:0	Then it continued east to Gath-hepher , Eth-kazin , and Rimmon and turned toward Neah .
6:19:014:0	The northern boundary of Zebulun passed Hannathon and ended at the valley of Iphtah-el .
6:19:015:0	The towns in these areas included Kattath , Nahalal , Shimron , Idalah , and Bethlehem — twelve towns with their surrounding villages .
6:19:003:1	The Land Given to Issachar
6:19:016:0	The homeland allocated to the clans of the tribe of Zebulun included these towns and their surrounding villages .
6:19:017:0	The fourth allotment of land went to the clans of the tribe of Issachar .
6:19:018:0	Its boundaries included the following towns : Jezreel , Kesulloth , Shunem ,
6:19:019:0	Hapharaim , Shion , Anaharath ,
6:19:020:0	Rabbith , Kishion , Ebez ,
6:19:021:0	Remeth , En-gannim , En-haddah , and Beth-pazzez .
6:19:022:0	The boundary also touched Tabor , Shahazumah , and Beth-shemesh , ending at the Jordan River — sixteen towns with their surrounding villages .
6:19:004:1	The Land Given to Asher
6:19:023:0	The homeland allocated to the clans of the tribe of Issachar included these towns and their surrounding villages .
6:19:024:0	The fifth allotment of land went to the clans of the tribe of Asher .
6:19:025:0	Its boundaries included these towns : Helkath , Hali , Beten , Acshaph ,
6:19:026:0	Allammelech , Amad , and Mishal . The boundary on the west touched Carmel and Shihor-libnath ,
6:19:027:0	then it turned east toward Beth-dagon , and ran as far as Zebulun in the valley of Iphtah-el , going north to Beth-emek and Neiel . It then continued north to Cabul ,
6:19:028:0	Abdon , Rehob , Hammon , Kanah , and as far as Greater Sidon .
6:19:029:0	Then the boundary turned toward Ramah and the fortress of Tyre , where it turned toward Hosah and came to the Mediterranean Sea . The territory also included Mehebel , Aczib ,
6:19:030:0	Ummah , Aphek , and Rehob — twenty-two towns with their surrounding villages .
6:19:005:1	The Land Given to Naphtali
6:19:031:0	The homeland allocated to the clans of the tribe of Asher included these towns and their surrounding villages .
6:19:032:0	The sixth allotment of land went to the clans of the tribe of Naphtali .
6:19:033:0	Its boundary ran from Heleph , from the oak at Zaanannim , and extended across to Adami-nekeb , Jabneel , and as far as Lakkum , ending at the Jordan River .
6:19:034:0	The western boundary ran past Aznoth-tabor , then to Hukkok , and touched the border of Zebulun in the south , the border of Asher on the west , and the Jordan River on the east .
6:19:035:0	The fortified towns included in this territory were Ziddim , Zer , Hammath , Rakkath , Kinnereth ,
6:19:036:0	Adamah , Ramah , Hazor ,
6:19:037:0	Kedesh , Edrei , En-hazor ,
6:19:038:0	Yiron , Migdal-el , Horem , Beth-anath , and Beth-shemesh — nineteen towns with their surrounding villages .
6:19:006:1	The Land Given to Dan
6:19:039:0	The homeland allocated to the clans of the tribe of Naphtali included these towns and their surrounding villages .
6:19:040:0	The seventh allotment of land went to the clans of the tribe of Dan .
6:19:041:0	The land allocated as their homeland included the following towns : Zorah , Eshtaol , Ir-shemesh ,
6:19:042:0	Shaalabbin , Aijalon , Ithlah ,
6:19:043:0	Elon , Timnah , Ekron ,
6:19:044:0	Eltekeh , Gibbethon , Baalath ,
6:19:045:0	Jehud , Bene-berak , Gath-rimmon ,
6:19:046:0	Me-jarkon , Rakkon , and the territory across from Joppa .
6:19:047:0	But the tribe of Dan had trouble taking possession of their land , so they attacked the town of Laish . They captured it , slaughtered its people , and settled there . They renamed the town Dan after their ancestor .
6:19:007:1	The Land Given to Joshua
6:19:048:0	The homeland allocated to the clans of the tribe of Dan included these towns and their surrounding villages .
6:19:049:0	After all the land was divided among the tribes , the Israelites gave a piece of land to Joshua as his allocation .
6:19:050:0	For the Lord had said he could have any town he wanted . He chose Timnath-serah in the hill country of Ephraim . He rebuilt the town and lived there .
6:19:051:0	These are the territories that Eleazar the priest , Joshua son of Nun , and the tribal leaders allocated as grants of land to the tribes of Israel by casting sacred lots in the presence of the Lord at the entrance of the Tabernacle at Shiloh . So the division of the land was completed .
