7:5:001:1	Déborah áádóó Bérak biyiin
7:5:001:0	Éí íídą́ą́' Déborah áádóó Abínowam biye' Bérak díí sin yee hóótáalgo ání, 
7:5:002:0	Bóhólníihii baa dahohniih, háálá Ízrel dine'é yisdáyíínil,índa diné t'áá bí ádeinízingo náá'áda'diisnii'. 
7:5:003:0	Shoo, aláahgo naat'áanii danohłíinii, aląąjį' nisoozíinii, hazhó'ó da'íísínółts'ą́ą́':shí éí Bóhólníihii bich'į' hashtaał;shí Ízrel dine'é biBóhólníihii Diyin God baa hashniihgo hashtaał. 
7:5:004:0	Bóhólníihii nílíinii, Síyerdę́ę́' ch'ííníyá yę́ędą́ą́',Íídam kéyahdóó ch'ííníyá yę́ędą́ą́' nahasdzáán ditsxiz, índa yádiłhiłdę́ę́' nahóółtą́;k'os ałdó' bits'ą́ą́dóó nahóółtą́. 
7:5:005:0	Bóhólníihii binááł dził nidaha'ná,t'áá éí Dził Sáínai si'ánígíí Ízrel dine'é biBóhólníihii Diyin God binááł nidi naha'ná.  
7:5:006:0	Shámgar éí Éínath biye' hináádą́ą́'áádóó Jéíyel hóyoołkááłdą́ą́'da'nítiingóó doo nida'aldeeh da,índa nidaaldeehii ats'á'iiztiinjí t'éí nídadikah. 
7:5:007:0	Kin dah naazhjaa'góó doo nidaagháhí da,Ízrel kéyahgi doo nidaagháhí da;wónáásee Déborah yinishyéii á yiizį'go Ízrel dine'é bitahdóó amá sélį́į́'. 
7:5:008:0	Diyin dabidi'níinii łahgo át'éii nideideez'ą́,áko dáń'dítį́hígi anaa' hazlį́į́'.Naagé, doodaii' tsiidétáán doo Ízrel dine'é dízdiindi mííl ánéelą́ą'go bitahgi hadeel'į́į' da. 
7:5:009:0	Ízrel dine'é bindanit'a'í t'áá bí ádeinízingodiné bitahgóó náá'áda'diisnii'ígíí baa shił hózhǫ́.Bóhólníihii baa dahohniih. 
7:5:010:0	Téliiłgaii nihił nidaaldlooshii,nihí ak'i dahi'niłí da'ílíinii bik'i dah nahísóotáanii,índa atiingóó nidaałdeehii dííbaa dahołne'. 
7:5:011:0	Tó háálį́įdi dibé ats'á'níiłgo bee í'dílzoołí diits'a'ígi át'éego nidaanéegoáádóó dahataałgo Bóhólníihii t'áá ákogi ááníiłii yaa náádahoolne'.Ízrel dine'é kin dah naazhjaa'góó kéédahat'ínígíí t'áá ákogi ááníiłii yaa náádahoolne'.Ákohgo Bóhólníihii bidine'é dáń'da'ditį́híjį' niníná. 
7:5:012:0	Ch'éénídzííd, Déborah, ch'éénídzííd! Ch'éénídzííd, sin ła' bee hótaał, ch'éénídzííd!Nídiidááh, Abínowam biye' Bérak yinílyéii, dasíníłná danilíinii dah dii'éésh. 
7:5:013:0	Áko daadzíi'ii bi'oh da'oogą́'ígíí éí aghádahideezį́į́ nít'é'ígíí binaat'áanii áhoolaa;Bóhólníihii éí ayóó ádajít'éii honanit'a'í áshiilaa. 
7:5:014:0	Íífreiyim dine'é bitahdóó ehétł'óól danilíinii Ámalek yik'ijį' danilį́;Bénjamin dine'é, danihik'éí bił danihikéé' ádaat'į́;Méíker bits'ą́ą́dóó naat'áanii yichíiłii áádóó Zébyulan dine'é bitahdóó naaltsoos ádeiił'íní ałdó' neheeskai. 
7:5:015:0	Ísakar dine'é bindanit'a'í éí Déborah yił yíkai,t'áá éí Ísakar dine'é Bérak ałdó' yił yíkai, honíts'aa' góyaa Bérak bikéé' hadajííjéé'.Rúben dine'é ał'ąą dah deíkáhígíí ádadooníiłgi t'áá íiyisí haleebee hazhó'ó nayik'ítsídaaskééz. 
7:5:016:0	Ha'át'íísh biniyé dibé bá í'dílzooł dadidoohts'į́įłgo dibé dabighandi t'óó nidaahkai nít'éé'?Rúben dine'é ał'ąą dah deíkáhígíí ádadooníiłgi t'áá íiyisí haleebee hazhó'ó nayik'ítsídaaskééz. 
7:5:017:0	Gíliyad dine'é éí Jórdan tooh wónaanídi t'óó nidaakai,áádóó ha'át'íísh biniinaa Dan dine'é t'áá tsinaa'eeł t'óó yii' hólǫ́?Ásher dine'é éí tábąąhgi táłts'á da'ii'eełígi t'ahdii t'óó nidaakai. 
