7:11:001:1	Jéfthah éí Áman dine'é bits'ą́ąjį' Ízrel dine'é yisdájíínil
7:11:001:0	Jéfthah éí Gíliyad kéyahdóó diné jílį́įgo anaa' ííł'íinii doo nánílyéesii jílį́, áádóó asdzání ałjiłnii biyáázh jílį́. Gíliyad éí Jéfthah bizhé'é jílį́. 
7:11:002:0	Áko Gíliyad hwe'asdzą́ą́ haye' há niyiishchį́, índa hwe'asdzą́ą́ biyáázhké daneeyą́ągo Jéfthah ch'ídeineeshchxą́ą'go ádeidííniid, Nihizhé'é ba'áłchíní bitahdóó nihíí' dadooleełígíí doo ła' níí' dooleeł da, háálá asdzání dé'éyóní nilíinii biyáázh nílį́. 
7:11:003:0	Ákohgo Jéfthah éí hak'isóó bits'ąą yóó'ajoolwodgo Tob kéyahgi kééhojit'į́į́ nít'éé' índa diné doo yá'ádaat'éehii Jéfthah yił ahínéikahgo yił naanáájah nít'éé'. 
7:11:004:0	Éí ákwe'é hoolzhish yę́ędą́ą́' Áman dine'é éí Ízrel dine'é yich'į' anaa' dahasłį́į́'. 
7:11:005:0	Áko Áman dine'é éí Ízrel dine'é yich'į' anaa' ánáádahoodlaago Gíliyad kéyahdóó dine'é aląąjį' naazíinii Tob kéyahdę́ę́' Jéfthah yił nídadookah yiniyé eekai. 
7:11:006:0	Áko Jéfthah ádeidííniid, Nihaa díínáałgo nihinanít'áago Áman dine'é bił da'ahidiigą́ą́ł. 
7:11:007:0	Nidi Jéfthah éí Gíliyad kéyahdóó dine'é aląąjį' naazíinii áyidííniid, Shą́ą́' dashijiinohłáa ni', áádóó shizhé'é bighandę́ę́' ch'ídashinoołchą́ą' ni'. Ha'át'íísh biniyé áłt'ąą nihich'į' dahodiiznáa'go shaa noohkai? 
7:11:008:0	Áko Gíliyad kéyahdóó diné aląąjį' naazíinii éí Jéfthah ádeidííniid, K'ad nich'į' nináániikai ni: Áman dine'é bił da'ahidiigą́ą́ł biniyé bich'į' nihił dadííbah. Áko Gíliyad kéyahgi kééhwiit'íinii t'áá áníiltso nihinanít'áa doo. 
7:11:009:0	Áádóó Jéfthah éí Gíliyadóó dine'é aląąjį' naazíinii áyidííniid, Áman dine'é bił da'ahidiigą́ą́ł biniyé hooghangóó shił nánoohkaigo índa Bóhólníihii shílák'ee hodíí'ą́ągo, ákódzaagoósh t'áá aaníí nihinanisht'áa doo? 
7:11:010:0	Áko Gíliyad kéyahdóó diné á naazíinii éí Jéfthah ádeidííniid, Bóhólníihii nihita'gi oo'íinii nilį́įgo t'áá aaníí t'áá ádínínígi ádadii'nííł. 
7:11:011:0	Ákohgo Jéfthah éí Gíliyadóó dine'é aląąjį' naazíinii yił dah diikaigo bóhólníihgo nant'áago ádayiilaa. Áko Bóhólníihii binááł Mízpeh kin haal'áagi Jéfthah hazaad t'áá át'é bee yájííłti'. 
7:11:012:0	Áko Jéfthah éí Áman dine'é aláahgo binanit'a'í bich'į' naal'a'í adziis'a'go ábizhdííniid, Haa dashohłéehgo shikéyah bii' hoł da'ahidiigą́ą́ł dashíínóh'níigo shaatįįh wooná? 
7:11:013:0	Áko Áman dine'é binanit'a'í éí Jéfthah binaal'a'í áyidííniid, Jó, Ízrel dine'é éí Ííjip kéyahdę́ę́' náá'nééł yę́ędą́ą́' Árnan tooh nílínídóó Jábak tooh nílíníjį' índa Jórdan toohjį' shikéyah shighadeideest'ą́. Éí bąą k'ad éí kédaayahígíí hasht'ehodít'é bił nihaa náhididíí'ááł. 
7:11:014:0	Áádóó Jéfthah éí Áman dine'é aláahgo binanit'a'í bich'į' naal'a'í anáádziis'a'go 
7:11:015:0	ábizhdííniid, Jéfthah ání, Ízrel dine'é éí Mó'ab kéyahígíí índa Áman dine'é bikéyahígíí t'áadoo bighadeit'ą́ą da, 
7:11:016:0	nidi Ííjip kéyahdę́ę́' ch'íníná yę́ędą́ą́' honoojíígóó Tónteel Łichíí' tsé'naa niikaigo Kéídesh haz'áníjį' yíkai. 
7:11:017:0	Ákohgo Ízrel dine'é éí Íídam dine'é aláahgo binanit'a'í yich'į' nidaal'a'í adayiis'a'go ádaaní, Nikéyah biyi'góó ch'ídii'néełgo baa nídaniikąąh. Nidi Íídam dine'é aláahgo binanit'a'í doo hwíists'ą́ą da nít'éé'. T'áá ákót'éego ałdó' Mó'ab dine'é aláahgo binanit'a'í yich'į' anááda'as'a', nidi doo t'áá k'ad ha'di'ní'ą́ą da. Ákohgo Ízrel dine'é éí t'áá Kéídesh haz'ánígi dah yinééł nít'éé'. 
