7:10:001:1	Tóla áádóó Jéíyer éí Ízrel dine'é yá nihodiyii'aah nít'éé'
7:10:001:0	Abímelek abíyííłką́ą́dóó bik'ijį' Ízrel dine'é yich'ą́ą́h naabaahii éí Ísakar bits'ą́ą́dóó oochíiłii Dódo biye' Púwa éí náábiye' Tóla wolyé. Shéímer kin shijaa'gi Dził Íífreiyimgi kééhojit'į́. 
7:10:002:0	Áko naadiin táá' nááhaijį' Ízrel dine'é bá nihozhdiyii'aah nít'éé'. Ákohgo dadziztsą́ągo Shéímer kin shijaa'gi yóó'áho'diilyaa. 
7:10:003:0	Ahóyííłką́ą́dóó bik'ijį' Jéíyer éí Gíliyad dine'é nilį́įgo naadiin naaki nááhaijį' Ízrel dine'é bá nihozhdiyii'aah nít'éé'. 
7:10:004:0	Áko haye'ké tádiin yilt'éego télii ałdó' tádiin; éí t'ááłá'í bik'eh nítį́įgo nidabiyéé nít'éé', índa Gíliyad kéyahgi tádiingo bikin hadaas'á; éí díí jį́į́góó Héívath-jéíyer hoolyé. 
7:10:002:1	Áman dine'é éí Ízrel dine'é yide ádahósin
7:10:005:0	Áko Jéíyer dadziztsą́ągo Kéíman hoolyéedi yóó'áho'diilyaa. 
7:10:006:0	Áko Ízrel dine'é éí Bóhólníihii bich'į' doo yá'áshónígi ánáádáát'įįdgo Béíyalda, Áshtarothda, áádóó Síriya dine'é bidiyin dabidi'níinii, Sáídan dine'é bidiyin dabidi'níinii, Mó'ab dine'é bidiyin dabidi'níinii, Áman dine'é bidiyin dabidi'níinii índa Filístiya dine'é bidiyin dabidi'níinii yich'į' nidahałáá nít'éé'. Áko Bóhólníihii éí doo deiniizį́į́'góó doo nidi yich'į' nidahałáa da nít'éé'. 
7:10:007:0	Áko Bóhólníihii éí Ízrel dine'é yich'į' báhóóchįįdgo t'óó Filístiya dine'é índa Áman dine'é yílák'ee hodíí'ą́. 
7:10:008:0	Éí yihah góne' bik'ee Ízrel dine'é chaał nidahoyiiníihgo áádóó yide ádahósin nít'éé'. Tseebííts'áadah nááhaijį' Ízrel dine'é t'áá ałtso yide ádahósingo Jórdan tooh biláahdi Gíliyad nahós'a'gi Ámor dine'é bikéyahdi kéédahat'į́į́ nít'éé'. 
7:10:009:0	Áko Áman dine'é éí Jórdan tooh tsé'naagóó Júdah áádóó Bénjamin índa Íífreiyim dine'é yik'ijį' anaa' nídahałeeh nít'éé', áko Ízrel dine'é t'áá íiyisí nisinákah nít'éé'. 
7:10:010:0	Áko Ízrel dine'é éí Bóhólníihii nídayookąąhgo ádaaní, Nich'į' ádił nida'ayeelzíi'go nihiDiyin God yóó'adadeet'ą́ągo Béíyal bich'į' nidahwiidláá nít'éé'. 
7:10:011:0	Áko Bóhólníihii éí Ízrel dine'é áyidííniid, Da' Ííjip dine'é áádóó Ámor dine'é áádóó Áman dine'é índa Filístiya dine'é bits'ą́ąjį'ísh doo yisdánihíínil da? 
7:10:012:0	Sáídan dine'é áádóó Ámalek dine'é índa Méíyana dine'é nihide ádahósingo biniinaa nídashoohkąąhgo bits'ą́ąjį' yisdánihíínil. 
7:10:013:0	Ákondi yóó'adashidoo'ą́ągo diyin dabidi'níinii bich'į' nidahohłáá nít'éé'; éí bąą doo yisdánáánihideeshnił da. 
7:10:014:0	Nílááh, diyin dabidi'níinii nidadinoo'ánígíí nídaohkąąh; ach'į' nahwii'ná biih noodee'ígíí háni'dii bits'ą́ąjį' yisdánihónííł. 
7:10:015:0	Áko Ízrel dine'é éí Bóhólníihii ádeidííniid, T'áá íiyisí ádił nida'ayeelzíí'; t'áá nił yá'át'éhí góne' ánihílééh nidi díí jį́ yisdánihidííniłígíí baa nídaniikąąh. 
7:10:016:0	Áko diyin dabidi'níinii nahjį' kódayiilaago Bóhólníihii yich'į' nidahasá, áádóó Ízrel dine'é ti'dahooníhígíí yaa nídzoozba'. 
7:10:017:0	Ákohgo Áman dine'é éí siláo danilíinii yíká ádadííniidgo Gíliyad kéyahgi nidahaazná, índa Ízrel dine'é ałdó' áłah silį́į'go Mízpeh kin haal'áagi nidahaazná. 
7:10:018:0	Áko diné danilíinii éí Gíliyad kéyahdóó aląąjį' naazíinii yił ahidiníłnáago áda'ahidi'ní, Háí diné shį́įshą' Áman dine'é bich'į' anaa' áhojiléeh dooleeł? Áko éí Gíliyad kéyahgi kéédahat'íinii t'áá ałtso binazhnit'áa doo.
