7:19:001:1	Líívai diné áádóó be'asdzą́ą́ yíł'íní
7:19:001:0	Éí yoołkááł yę́ędą́ą́' Ízrel dine'é bitahgi aláahgo naat'áanii doo hólǫ́ǫ da nít'ée'go Líívai diné léi' Dził Íífreiyimdę́ę́' níyáago Júdah kéyah nahós'a'gi Béthlehem kin shijaa'dóó asdzání nilį́įgo hwe'asdzą́ą́ jíł'íní ájiilaa. 
7:19:002:0	Áko hwe'asdzą́ą́ jíł'íní ałjiłgo hats'ą́ą́' dah yilwo' silį́į́'; Júdah nahós'a' Béthlehem kin shijaa'gi bizhé'é bighango ákǫ́ǫ́ eelwod. Áko dį́į́' nídeezidjį' áadi sidáá nít'éé'. 
7:19:003:0	Ákohgo hahastiin nídii'na'go hakéé' dah diiyá índa bá áhwiinít'į́'ígo hach'į' yáłti'go áádę́ę́' hoł nídoot'ash yiniyé dah diiyá. Bá naal'a'í yił dah dii'áázh índa télii ałdó' naakigo. Áko asdzání t'áá bí bizhé'é bighan góne' hoł yah íí'áazhgo bizhé'é hoołtsą́ągo haa bił nihoozhǫǫhgo haa níyá. 
7:19:004:0	Áko baadaaní jílíní, éí ch'ikę́ę́h bizhé'é t'áá ákwii dzizdáa doo hó'níigo bił dzizkéego táá' hwiiską́; t'óó ajiyą́ągo áádóó doodlį́įłii jidlą́ągo bighangi hwiiłkááh nít'éé'. 
7:19:005:0	Áko dį́į́' yiską́ągo t'ah abíínídą́ą́' nídiijée'go dashdidoogááł biniyé hasht'e'ázhdílnééh nít'éé'. Áko ch'ikę́ę́h bizhé'é éí baadaaní áyidííniid, Átsé, bááh ła' niyą́ągo índa bikiin nidziilgo náádáał doo. 
7:19:006:0	Ákohgo t'áá ájíłah t'ááłáhígi dzizkéego ajííyą́ą́' áádóó doodlį́įłii joodlą́ą́'; jó, íídą́ą́' ch'ikę́ę́h bizhé'é éí diné áyidííniid, Nił hózhǫ́ǫgo t'áá kǫ́ǫ́ náániyólka' baa nánooshkąąh, áko nijéí bee nił nihoozhǫǫh doo. 
7:19:007:0	Áko diné nídii'na'go niheeghááh nít'éé'; t'áá ákwii nááhwiidoolkáałgo baadaaní jílíní yaa náhooskan. Áádóó t'áá ákwii nááhwiiską́. 
7:19:008:0	Áko ashdla' hwiiską́ągo t'ah abínídą́ą́' nízhdii'na'go dashdiighááh nít'éé'; ch'ikę́ę́h bizhé'é ání, Nik'i hata' dooígíí baa nánooshkąąh, áko t'áá ákǫ́ǫ́ dzizkéego hidideeshch'į'go t'áá ájíłah ajííyą́ą́'. 
7:19:009:0	Áko diné nízhdii'na' áádóó hwe'asdzą́ą́ jíł'íní índa há naal'a'í ałdó' bił dashdiikáahgo baadaaní jílíní ch'ikę́ę́h bizhé'é nilíinii áhodííniid, Jó, k'ad t'áá íídą́ą́' e'e'aah. Nánooshkąąh, t'áá akǫ́ǫ́ náániyółkááł. Jó, ayáhíjį' ináá'oot'ą́; t'áá kǫ́ǫ́ náániyółkááł, áko nijéí bił hózhǫ́ǫgo yiską́ągo t'ah abínídą́ą́' nídidoohjahgo hooghangóó nihéédoohkah. 
7:19:010:0	Nidi doo ákwii náánihiidoolkáał da nízingo diné nídii'na'go dah diiyá. Áko Jííbas kin haal'áajį' jiníyá; ákwii Jerúsalem hoolyé. Télii naaki bik'i dah aznilgo joolóós áádóó hwe'asdzą́ą́ jíł'íní ałdó' hoł yi'ash. 
7:19:011:0	Jííbas kin haal'á bíighahgi jookahgo k'adę́ę e'e'aah, áko naal'a'í binanit'a'í áyidííniid, Tį', díí Jííbas dine'é bikin haal'áhíjį' diikahgo t'áá ákwii danihiidoołkááł. 
7:19:012:0	Áko honanit'a'í áhodííniid, Dooda, díí dé'éyóní bikin haal'áajį' doo diikah da, háálá doo Ízrel dine'é danilį́į da. Nidi t'óó bíighah ch'ídiikahgo Gíbiyah kin haal'áágóó diikah. 
7:19:013:0	Áko há naal'a'í ánáábizhdoo'niid, Haa'íshą' kin haal'áhí bit'áahjį' diikah. Gíbiyah kin haal'áagi, doodaii' Réímah kin haal'áagi danihiidoołkááł. 
7:19:014:0	Áko t'óó bíighah ch'íjíkai áádóó nihináájíkaigo i'íí'ą́ągo Bénjamin dine'é bikin haal'á Gíbiyahjį' jíkai. 
7:19:015:0	Áko dahwiidoołkááł biniyé Gíbiyah kin haal'áá góne' yah ajookai. Áko kintah da'nítiingóó dzineezdáago t'áá ákwii shiidoołkááł, dziniizį́į́', háálá diné ła' ba'ałk'ee dahwiidoołkáłígíí doo ła' náhodiiníił da. 
7:19:016:0	Nít'éé' shoo, i'íí'ą́ągo diné haastih léi' niilnishgo dá'ák'ehdę́ę́' náádááł; éí ałdó' Dził Íífreiyimdę́ę́' naagháago Gíbiyah kin haal'áagi t'óó átsééd níyáá lá, nidi Bénjamin dine'é éí íiyisí ákwii kéédahat'į́. 
7:19:017:0	Áko hastiin sání háághalgo kintahgi atiin bąąhgóó diné léi' sidáago yiyiiłtsą́ áádóó hastiin sání ání, Háágóoshą' díníyá? Háádę́ę'shą' yínááł? 
7:19:018:0	Áko ábizhdííniid, Júdah nahós'a' Béthlehem kin shijaa'dę́ę́' Dził Íífreiyimgóó yiikahgo ádeiit'į́; t'áá áádę́ę́' naashá. Júdah nahós'a' Béthlehemjį' niséyáago Bóhólníihii bikin bii' sohodizin si'ánígóó nááshdáałgo ásht'į́. Nít'éé' doo ła'da bighan góne' shá hooł'aahí da. 
7:19:019:0	Nihitélii deidoołchoshígíí índa deidoo'áłígíí nihee hólǫ́; bááh índa wáin ániidíii ałdó' nihee hólǫ́. Éí shí áádóó asdzání ná naal'a'í niidlíinii índa dinééh bił neiikaígíí ałdó' nił dadiidį́į́ł. T'áadoo bídin daniidlínígóó yiikah. 
7:19:020:0	Áko hastiin sání ání, Nihich'į' hózhǫ́ǫ le'. Ha'át'íhída danohsingo éí bee nihaa áháshyą́ą doo, nidi kintah da'nítiingóó éí doo danihiidoołkáał da. 
7:19:021:0	Ákohgo bikin góne' bił yah ajookai áádóó télii yá nida'azhjaa', áko hakee' táádadzizgiz áádóó da'jííyą́ą́' índa doodlį́įłii dajoodlą́ą́'. 
