7:4:001:1	Déborah áádóó Bérak éí Sísera wolyéii yik'eh deesdlį́į́'
7:4:001:0	Áko Ííhad daaztsą́ą́dóó bik'ijį' Ízrel dine'é éí Bóhólníihii binááł doo yá'áshónígi ánáádáát'įįd. 
7:4:002:0	Bóhólníihii éí Kéínan kéyahdóó aláahgo naat'áanii Jéíbin wolyéii yílák'ee hodíí'ą́; éí Héízor kin haal'áadi nant'á; Sísera éí Heirósheth-hagóyiim kin shijaa'di kééhajit'íinii éí hasiláo yinanit'a'í nilį́. 
7:4:003:0	Áko Ízrel dine'é éí Bóhólníihii bíká adoolwoł biniyé nídayookąąh, háálá Sísera éí tsindaabąąs bijáád naakiígíí béésh nitł'izii bee ádaalyaii náhást'éidi neeznádiin yis'nil áádóó Ízrel dine'é doo hasht'é'égóó yide áhósingo naadiin nááhai. 
7:4:004:0	Lápidath be'asdzą́ą́ Déborah éí Diyin God bá hojilne'í jílį́. Éí íídą́ą́' Ízrel dine'é bá nihozhdii'aah nít'éé'. 
7:4:005:0	Dził Íífreiyimgi Réímah kin haal'áii áádóó Béthel kin haal'áii bita'gi Déborah hatsin páam sikaadgo biyaagi kééhojit'į́įgo Ízrel dine'é haa nídaakahgo bá nihozhdiyii'aah nít'éé'. 
7:4:006:0	Áko Abínowam biye' Bérak éí Kéídesh-náftalai kin haal'áagi kééhat'íinii bíká ajííł'a'go ábizhdííniid, Ízrel dine'é biBóhólníihii Diyin God díí yee ná haadzíí': Nílááh, Náftalai dine'é índa Zébyulan dine'é bisiláo neeznáadi míilgo nił yinéeł doo. 
7:4:007:0	Áko Jéíbin bisiláo binanit'a'í Sísera nizahodínéesh'ahgo bitsindaabąąs bijáád naakiígíí yee deínéehii índa t'óó ahayóigo bił deínéehii éí Kíshan tooh nílínígi nidááh doonéełgo nílák'ee hodideesh'ááł. 
7:4:008:0	Nít'éé' Bérak áhodííniid, Shił díní'áazhgo t'éiyá deeshááł, nidi doo shił díní'áázhgóó éí doo deesháał da. 
7:4:009:0	Áko asdzání áhodííniid, T'áá aaníí nił deesh'ash, nidi doo yéí ayóó ánít'éego yínáał da dooleeł, háálá Sísera éí asdzání bílák'eejį' Bóhólníihii nahodiyoołnih. Ákohgo Déborah nídii'na'go Kéídesh kin haal'áágóó Bérak yił dah dii'áázh. 
7:4:010:0	Áko Bérak éí Zébyulan dine'é índa Náftalai dine'é danilíinii Kéídesh kin haal'áágóó dooleeł bizhdííniid, áko diné neeznáadi mííl yilt'éego hoł dah diiná índa Déborah ałdó' hoł ní'áázh. 
