7:17:001:1	Máíkah éí e'elyaii yich'į' nahałá
7:17:001:0	Dził Íífreiyimdóó diné ła' éí Máíkah wolyé. 
7:17:002:0	Áko hamá ábizhdííniid, Béésh łigaii ła'ts'áadahdi neeznádiin nits'ą́ą́' néidiinilii, éí bee hóyée'go hadíínídzíi'go áádóó baa yáníłti'go diséts'ą́ą́'; shoo, béésh łigaii éí nídiinilgo naashjaah. Áko hamá ání, Shiyáázh éí Bóhólníihii bik'ijidlíi le'. 
7:17:003:0	Áko béésh łigaii ła'ts'áadahdi neeznádiinígíí hamá baa níjí'nil, áko hamá ání, Shiyáázh bá béésh łigaii Bóhólníihii bich'į' diyingo nidiní'ą́; e'elyaii bik'i na'ashk'aazhgo ályaii índa e'elyaii nídoolyį́į'go ályaii ádoolnííł; éí bąą k'ad naa nídeesh'nił. 
7:17:004:0	Ákohgo hamá éí béeso baa níjí'nil áádóó béésh łigaii naakidi neeznádiingo hamá néidiinilgo béésh łigaii yitsidii yeinínil; éí e'elyaii bik'i na'ashk'aazhgo áyiilaa áádóó e'elyaii nídoolyį́į'go áyiilaa. Áko Máíkah bikin góne' nii'nil. 
7:17:005:0	Áko diné Máíkah joolyéii dadiyinii bikin ła' hwee hólǫ́, índa íífad wolyéii áádóó eda'alyaii térafim wolyéii ádajiilaago haye'ké ła' dílzingo ájiilaago hanáá'iiłniihii silį́į́'. 
7:17:006:0	Éí yoołkááł yę́ędą́ą́' Ízrel dine'é bitahgi aláahgo naat'áanii doo hólǫ́ǫ da nít'éé', nidi diné t'ááłá'í jinítínígo díí t'áá ákóne' ásht'į́ daznízingo ádajoonííł nít'éé'.  
7:17:007:0	Áko Júdah kéyahgi Béthlehem kin shijaa'dóó dinééh léi' naagháá nít'éé'; éí Júdah bighandóó nijigháago Líívai dine'é jílį́įgo ákwii t'óó átsééd kééhojit'į́. 
7:17:008:0	Áko Júdah kéyahgi Béthlehem kin shijaa'dóó dinééh dah diiyáago t'óó átsééd kééhat'į́į dooleełgi yíká dínéeztą́ą́', áko joogááł nít'éé' Dził Íífreiyimgi Máíkah bighandi jiníyá. 
7:17:009:0	Áko Máíkah áhodííniid, Háádę́ę'shą' naniná? Áko ábizhdííniid, Júdah kéyahgi Béthlehem kin shijaa'dóó Líívai dine'é nishłį́, índa háadi lá haz'ą́ą́ lá nisingo nanishtá. 
7:17:010:0	Áko Máíkah áhodííniid, T'áá kǫ́ǫ́ shił kééhót'į́įgo shizhé'é índa náá'iiłniihii shá nílį́į doo. Áko nináháháahgo béésh łigaii neeznáá naa násh'nił doo, índa éé' áádóó ch'iyáán niyą́ą dooígíí naa násh'nił doo. 
7:17:011:0	Áko Líívai dine'é éí diné yił bighango bił yá'áhoot'ééh áádóó diné ániid naagháhígíí t'áá ła' haye'ké ádaat'éhígi át'éego baa nitsídzíkees. 
7:17:012:0	Áko Máíkah éí Líívai diné yiyíísį́į́' índa diné ániid naagháhígíí hanáá'iiłniihii silį́į'go hakin góne' sidáá nít'éé'. 
7:17:013:0	Ákohgo Máíkah ájíní, K'ad shił bééhózingo Bóhólníihii shik'ijidlíi doo lá, háálá Líívai dine'é shináá'iiłniihii nilį́.
