7:6:001:1	Gídiyan bíká áhodoo'niid
7:6:001:0	Bóhólníihii binááł Ízrel dine'é doo yá'áshónígi ádáát'įįd, áko Bóhólníihii éí Mídiyan dine'é t'óó yílák'ee hodíí'ą́ągo tsosts'id nááhai. 
7:6:002:0	Áko Mídiyan dine'é éí Ízrel dine'é yik'eh dadidlį́įgo Mídiyan dine'é biniinaa dziłghą́ą'di adahasdzą́ą́góó áádóó tsé'áán dahasdzą́ą́góó índa nidahont'in nahaz'ą́ą́góó Ízrel dine'é t'áá bí ádá hasht'edahoolaa. 
7:6:003:0	Ákohgo Ízrel dine'é k'éédazhdidléehgo Mídiyan dine'é áádóó Ámalek dine'é índa ha'a'aahdę́ę́' dine'é haa nidahaakaigo hoł nidahwiiłchǫǫh. 
7:6:004:0	Áádóó haatįįh nídaa'néehgo náhinoot'į́łígíí ałtso hats'ą́ą́' áńdeiłdįįh; t'áá níléí Géíza kin haal'áágóó nidi áńdeiłdįįh, áádóó Ízrel dine'é bich'iyą' doo áńdeisįįh da; dibé, doodaii' béégashii, doodaii' téliida doo ła' yá ánínádeisįįh da. 
7:6:005:0	Háálá dabilį́į́' yił háádaa'néehgo biníbaal ninádei'nił; nahachagiitsoh t'óó ahayóí nánísánígi át'éego nídaa'nééh. Jó, bí áádóó bibighą́ą́'da'ask'idii doo jóołta' ádanéelą́ą́'góó kéyahgi nidahwiiłchxǫǫh yiniyé yił nídaa'nééh. 
7:6:006:0	Áko Mídiyan dine'é biniinaa Ízrel dine'é t'áá íiyisí hojooba' dahozhdiil'a' lá, áádóó Ízrel dine'é éí Bóhólníihii nídayookąąh. 
7:6:007:0	Ákódzaago Mídiyan dine'é biniinaa Ízrel dine'é éí Bóhólníihii nídayookąąhgo 
7:6:008:0	Bóhólníihii éí Diyin God yá halne'í ła' Ízrel dine'é yeiníł'a'go áyidííniid, Ízrel dine'é biBóhólníihii Diyin God ání, Shí Ííjip kéyahdę́ę́' ch'ínihiní'eezh; naalte' dasidinohdlį́į́' nít'éé' yę́ę bits'ą́ąjį' hanihíí'eezh. 
7:6:009:0	Áko Ííjip dine'é bílák'ee hanihíínil, áádóó nihide ádahósinii t'áá ałtso bílák'ee hanihíínil, índa nihilą́ąjį' ałtso shaa ch'íheezhjée'go bikédaayah nihílák'edíí'ą́. 
7:6:010:0	Áko ánihidííniid, Shí Bóhólníihii nihiDiyin God nishłį́; Ámor dine'é bikéyahgi kéédahoht'į́įgo bidiyin dabidi'níinii t'áadoo dadíínóhsiní, nihidííniid. Nidi t'áadoo shizaad bik'eh dahosooł'įįd da. 
7:6:011:0	Bóhólníihii bidiyingo naal'a'í honíle'go Áfra kin shijaa'gi Jó'ash joolyéii Éíbiyíízer dine'é jílį́įgo hachéch'il yiyaagi neezdá. Jó'ash biye' Gídiyan éí tł'oh naadą́ą́' nazhniłhaałgo ch'il na'atł'o'ii yiljizh góne' baa nijigháago Mídiyan dine'é bits'ąą nazhnił'in. 
7:6:012:0	Áko Bóhólníihii bidiyingo naal'a'í hach'į' yit'íní í'diilyaago áháłní, Bóhólníihii nił hólǫ́, diné ayóó át'éii doo nánílyéesii nílíinii. 
7:6:013:0	Áko Gídiyan éí diyingo naal'a'í ábizhdííniid, Bóhonishníihii nílíinii, Bóhólníihii nihił hólǫ́ǫgo ha'át'íí biniyé díí t'áá ałtso bee kónihi'dool'įįd? Áko álílee yee ááníłígíí danihizhé'é yę́ę ákót'éego yee nihił dahoolne'go ádaaní, Da' doósh Bóhólníihii Ííjip kéyahdę́ę́' ch'ínihiní'eezh da? Nidi k'ad Bóhólníihii yóó'anihidíí'ą́ągo Mídiyan dine'é yílák'ee nihidíí'ą́. 
7:6:014:0	Áko Bóhólníihii honíł'į́įgo áhodííniid, Nílááh, nidziilgo Ízrel dine'é danilínígíí Mídiyan dine'é bits'ą́ąjį' yisdádíínił. Da' shíísh doo nííł'aad da? 
7:6:015:0	Áko ábizhdííniid, Bóhonishníihii nílíinii, haa yit'éegoshą' Ízrel dine'é yisdádeeshnił? Shoo, Manáseh dine'é bitahgi shik'éí hojooba' ádaat'į́, índa shizhé' é bighangi t'ah ánísts'íísígo ádaa nitsískees. 
7:6:016:0	Áko Bóhólníihii áhodííniid, T'áá aaníí nił honishłǫ́ǫ doo, áádóó diné t'ááłá'í dziisxį́ nahalingo Mídiyan dine'é ałtso áhodííłdįįł. 
7:6:017:0	Áko ábizhdííniid, Ajooba' bee shich'ijí asíníłtą́ą́ ládą́ą́', bee ééhózinii shich'į' ííshją́ą́ ádíílíiłgo t'áá ni shich'į' yáníłti'ígíí shił bééhózin doo. 
7:6:018:0	Kodóó dah doóya' lágo, baa nánooshkąąh; nánísdzáago índa aa deeshłéełii ch'ídeeshjihgo nich'į' nideeshnił. Áko áhodííniid, Néínídzáajį' niba' sédáa doo. 
