7:7:001:1	Gídiyan bidiné éí Mídiyan dine'é yik'eh dadeesdlį́į́'
7:7:001:0	Ákohgo Jerabéíyal, éí Gídiyan óolyé, índa diné hoł naakaígíí t'áá ałtso t'ah doo hąhígóó nízhdiijée'go Héírad tó háálį́ bíighahgi nidadziizná. Mídiyan dine'é éí náhookǫsjígo Móreh dah daask'id bíighahgi honíts'aa'góoda nidahaazná. 
7:7:002:0	Bóhólníihii éí Gídiyan áyidííniid, Diné nił naakaígíí t'óó ahayóigo biniinaa Mídiyan dine'é doo nílák'ee dideesh'áał da. Doodaii' Ízrel dine'é shik'ijį' danilį́įgo ádaa daha'niihgo ádadidooniił, T'áá nihí yisdá'ádadee'nil. 
7:7:003:0	Éí bąą k'ad kódíníigo diné bił ch'íhoní'aah, T'áá háiida bił yéé' hólóonii áádóó ádił nahwiijaahgo náldzidii t'ah doo hąhígóó bíni'dii Dził Gíliyadóó hooghangóó nihéédahakááh. Naadiin naakidi mííl anáhaaskaigo neeznáadi mííl éí t'áá ákǫ́ǫ́ bił dah joonééł.  
7:7:004:0	Áko Bóhólníihii éí Gídiyan ánéídoo'niid, Diné t'ahdii t'óó ahayóí; tóojį' díí'ishgo áadi ła' ná bééhózingo ádeeshłíiłgo, Díí lą́ą, nidish'nínígíí nídidííniłgo éí nił yikah doo índa t'áá háiida, Díí doo nił dookah da, nidishnínígíí éí diné doo nił dookah da. 
7:7:005:0	Tóojį' diné jiní'eezhgo Bóhólníihii éí Gídiyan áyidííniid, Łééchąą'í ałch'alígi át'éego da'ałch'alígíí t'áá ałtso t'áá sahdii bits'ádíínił, índa t'áá ałtso nitsidadéesgo'go da'oodlą́'ígíí ałdó' t'áá sahdii bits'ádíínił. 
7:7:006:0	Áko bílák'eejį' tó deiłch'algo da'oodlą́'ígíí jííłta'go táadi neeznádiin yilt'éé lá, nidi ła'ígíí éí t'áá ałtso nitsidadéesgo'go taah danees'ą́ągo da'oodlą́ą́'. 
7:7:007:0	Áko Bóhólníihii éí Gídiyan ánéídoo'niid, Táadi neeznádiingo diné da'ííłch'alígíí éí áádeesįįłgo Mídiyan dine'é nílák'ee dideesh'ááł, áádóó ła'ígíí t'áá ałtso t'ááłá'í nítínígo t'áá bí dabinághangóó bíni'dii nídeíkááh. 
7:7:008:0	Áko Ízrel dine'é ła'ígíí t'áá ałtso dabiníbaal naaznilígóó béé'jiis'nii', nidi táadi neeznádiin dinéhígíí éí ch'iyáán áádóó deenásts'aa' bidee' bee í'dílzoołí nídeidiinil. Áko Mídiyan dine'é éí hayaajígo yíldzis góyaa dah yinééł. 
7:7:009:0	T'áá éí bitł'éé' Bóhólníihii áhodííniid, Nídiidááh, ana'í dah yinéłígóó dínááh, háálá éí nílák'edíí'ą́. 
7:7:010:0	Nidi dah oonéłígíí bik'ee nił yée'go éí Púra ná naal'a'í ákǫ́ǫ́ bił díí'ash. 
