7:14:001:1	Sámson áádóó Tímnah kin shijaa'dę́ę́' asdzání
7:14:001:0	Sámson éí Tímnah kin shijaa'góó jiníyáago áadi Filístiya dine'é bitsi'ké ła' dziiłtsą́. 
7:14:002:0	Áádę́ę́' nídzídzáago hazhé'é áádóó hamá bił hojoolne'go ájíní, Tímnah kin shijaa'gi Filístiya dine'é bitsi' ła' yiiłtsą́. Áko k'ad she'asdzą́ą doo biniyé shá bił nánóhkááh. 
7:14:003:0	Nidi hazhé'é áádóó hamá áhodííniid, Da' nik'éí bitsi'ké, doodaii' nihidine'é bitahgóó asdzání ádingoósh biniinaa Filístiya dine'é doo bąąh nídahineeshgizhii bitahdę́ę́' asdzání ła' ne'asdzą́ą doo? Nidi Sámson bizhé'é ánéidoo'niid, Shá bił nánít'aash, háálá t'áá íiyisí shił yá'át'ééh. 
7:14:004:0	Nidi díí éí Bóhólníihii bits'ą́ą́dę́ę́' át'éhígíí hazhé'é índa hamá doo bił bééhózin da, háálá Bóhólníihii éí Filístiya dine'é bíká doot'áałgi yíká déez'į́į́' nít'éé'. Ákwii hoolzhish yę́ędą́ą́' Filístiya dine'é ts'ídá ayóó át'éego Ízrel dine'é yee ádídahólnííh nít'éé'. 
7:14:005:0	Ákohgo Sámson éí Tímnah kin shijaa' góyaa hazhé'é áádóó hamá bił jíkai, áko Tímnahgi ch'il na'atł'o'ii k'éédílyéehgi jiníyáago, jó, náshdóítsoh yáázh bitsiijį' ditł'ooígíí bii' nahodi'ni'go haatįįh yíyá. 
7:14:006:0	Áko Bóhólníihii biNíłch'i Diyinii bibee adziilii hak' i hoole'go t'áadoo nijiléhígóó t'áá tł'ízí yázhí nijiiníshígi át'éego náshdóítsoh bitsiijį' ditł'ooígíí nijiizhnizh. Nidi ádziidzaaígíí bee t'áadoo hazhé'é áádóó hamá bił hojoolne' da. 
7:14:007:0	Áádóó Sámson dah náádiidzáago asdzání bił ahił hojoolne', áko Sámson éí t'áá íiyisí asdzání hoł yá'át'ééh. 
7:14:008:0	Áádóó éí bik'ijį' asdzání bił nihéézhdoot'ash biniyé náájoodááł nít'éé'; náshdóítsoh bitsiijį' ditł'ooígíí bits'íís jidínóoł'įįł biniyé naanii hajííyá. Nít'éé' jó, tsés'ná éí náshdóítsoh bitsiijį' ditł'ooígíí bits'íís yiih yínáá lá áádóó tsés'ná bitł'izh bii' hazlį́į́' lá, 
7:14:009:0	áko ła' nízhdiinilgo jiyą́ągo níjoodááł, áko hazhé'é áádóó hamá baa nídzídzáago ła' baazhnínilgo éí ałdó' ła' yiyííyą́ą́'. Nidi náshdóítsoh bitsiijį' ditł'ooígíí bits'íís bii'dóó tsés'ná bitł'izh nízhdiinilígíí éí t'áadoo bee bił hojoolne' da. 
7:14:010:0	Áádóó hazhé'é éí asdzání yich'į' níyá, áko áadi Sámson éí ída'azįįd ájiilaa, háálá diné ániid nidaakaii da'iiyehgo ákóda'ał'į́. 
