59:3:001:1	Atsoo' nilínígíí
59:3:001:0	Shik'isóó, lą'í nołt'éego na'nitiní daohłe' lágo, háálá nida'niitinígíí t'ah aláhídi át'éego bik'e'ashch'íi'go nihaa nídahódóot'įįłgo nihił béédahózin. 
59:3:002:0	T'áá áníiltso lą'ígóó nida'ayiilzííh. T'áá háiida saad doo nidziisííhgóó hadziidziihígíí éí diné ts'ídá t'áá ákóne' át'éii jílį́, hats'íís ałdó' hak'eh hół'į́ ádzósingo bízhneel'ą́. 
59:3:003:0	Jó, łį́į́' nihik'eh hół'į́į doo biniyé biza'iilt'ihgo bee bits'íís neidlo'. 
59:3:004:0	Tsinaa'eeł ałdó' baa nitsídaahkees; azhą́ ayóó áníłtso nidi, áádóó níyol bidziilii yee naa'eeł nidi, bee naadlo'í áłts'íísí nidi na'ał'eełii t'áá bí nízingóó neilo'. 
59:3:005:0	T'áá ákót'éego ałdó' atsoo' áłts'íísí lá nidi ayóó ádaat'éii yee ádaa ha'niih. Jó'akon, kǫ' t'įįhdígo nidi, tsin ayóogo bee hodíłch'ilii yidiiłtłi'! 
59:3:006:0	Atsoo'ígíí éí kǫ' nahalin. Atsoo' éí íiyisí doo yá'át'éehii nilį́įgo nihits'íís yee hadít'éii yitah hólǫ́, nihits'íís t'áá át'é niyiiłchxǫǫh. Hool'áágóó ti'hoo'nííh bił haz'ą́ądi hodook'ą́łígíí bits'ą́ą́dóó nihił hoolzhishígíí yidiiłtłi'. 
59:3:007:0	Jó, naaldlooshii, nidaat'a'ii, nidaa'na'iida índa tónteel yii' dahólóonii nidi nidahazhǫǫh, éí diné nidabiishǫǫh. 
59:3:008:0	Nidi diné éí atsoo' doo yóshǫǫh át'ée da. Doo hasht'edít'éégóó doo yá'áshóonii nilį́, da'agháanii bii' hééł. 
59:3:009:0	Éí Diyin God aTaa' nilíinii bee baa dahwii'niih, áádóó Diyin God honáłt'éego diné ájiilaaígíí ałdó' bee dayíníidziih. 
59:3:010:0	Azéé' t'ááłá'íígíí bits'ą́ą́dóó saad bee ak'ihojidlí índa saad bee ódziihii hahwiileeh. Shik'isóó, díí doo ákódeiit'į́į da dooleeł nít'éé'! 
59:3:011:0	Da' t'ááłá'í tó háálínídę́ę́'ésh tó łikango índa dók'ǫ́ǫzhgo háálį́į łeh? 
59:3:002:1	Hódzą́ yá'ąąshdę́ę́' hólóonii
59:3:012:0	Shik'isóó, fig sikaadgoósh álivz bąąh hodooleeł, éí doodago ch'il na'atł'o'ii sikaadgoósh fig bąąh hodooleeł? Dooda lą́ą! T'áá ákót'éego tó dók'ǫ́ǫ́zh háálį́į́dóó tó łikanii doo hóle' át'ée da. 
59:3:013:0	Nihitahdóoshą' háí hóyą́ áádóó ak'idi'yiitįįh? Háni'dii yá'át'éehgo jiinánígíí áádóó baa hojíyą́ągo a'ohgo íz'dólzingo ájooníłígíí ííshjání ádzósin le'. 
59:3:014:0	Nidi da'iinołch'į́įdgo nihii' nidahodik'ǫǫsh ládą́ą́' áádóó ałch'ą́ą́h nidaah'na' ládą́ą́', t'áadoo ádaa dahoh'niihí, t'áá aaníinii t'áadoo bik'ijį' danihiyooch'ídí. 
59:3:015:0	Hódzą́ ákót'éhígíí doo yá'ąąshdę́ę́' nihwiileeh da, nidi nihokáa'gi hólóonii át'é, áko doo Diyin God bits'ą́ą́dóó át'ée da, nidi níłch'i bi'iiníziinii bits'ą́ą́dóó át'é. 
59:3:016:0	Háálá t'áá haa'ída ooch'į́į́d índa ałch'ą́ą́h na'a'na' hólǫ́ǫgi ákwii doo hasht'ehodít'ée da, áádóó baa'ihii t'áá ałtso baa ooldah łeh. 
59:3:017:0	Nidi yá'ąąshdę́ę́' bee hódzáanii éí, átséhí góne' chin bąąh ádinii át'é, áádóó k'é'nídzin, áádóó á'áhwiinít'į́'í, índa lą́ nízin, t'áá íiyisí aa a'ááh hasin índa yá'át'ééh ó'oo'nííł, áádóó ał'ohgo ahaa nitsáhákeesii índa t'óó áhodi'į́ bąąh ádin. 
59:3:018:0	K'é nídahoołeełii t'áá ákogi át'éii bineest'ą' bąą hózhǫ́ǫgo k'éédeididle'.
