53:2:001:1	Pen . ij .
53:2:002:1	Dangos y may yddynt na ddaw dyð yr Arglwydd , nes dyvot ymadael a’r ffydd yn gyntaf . A’ theyrnas
53:2:003:1	*
53:2:004:1	Gvvrthgrist
53:2:005:1	Anchrist . Ac am hyny y mae yn eu rhybuddio rrac eu hudo , eithr sefyll o hanynt yn ddiyscoc yn y petheu a ddyscawdd ef yðwynt .
53:2:001:0	WEithion yr Atolygwn ywch , vroder , er dyvodiat ein Arglwydd Iesu Christ , ac er ein cydgynulliad ato ef ,
53:2:002:0	na’ch ysmuder yn ddisyfit ywrth eich meðwl , ac nach cynnyrfer , na chan yspryt , na chā ’air , na chan lythyr , megis scrivenedic ywrthym ni , val be bei dyð Christ yn gyfagos .
53:2:003:0	Na thwyllet neb chwi ym‐modd yn y byd : can na’s davv’r dydd hvvnvv nes dyvot yr ymadawiat yn gyntaf , a’ bod dadguddio y dyn y pechoturus , ’sef map y cyfergoll ,
53:2:004:0	yr hwn a ’wrthnepa , ac a ymðerchaif yn erbyn pop dim a elwir yn Dduw , neu y addolir : yd yn yd eistedd megis yn Dduw yn-Tēpl Dduw , gan y ddangos ehun mae efe yw Duw .
53:2:005:0	Any ddaw yn eich cof , pan oeddwn eto gyd a chwi , ddarvot i mi ddywedyt ywch y petheu hyn ?
53:2:006:0	Ac yr awrhon y gwyddoch y rhwystr ’sy yw ðatcuðio ef yn ei amser .
53:2:007:0	Can ys dirgelwch yr enwiredd ys y yn gweithio eisius : yn vnic yr hwn ’sy yr awrhon yn rhwystro , a rwystr yn‐es myned ac ef y ar y ffordd .
53:2:008:0	Ac yno yd atguddir yr enwir hwnw , yr hwn a ddiva yr Arglwydd ac Yspryt ei eneu , ac ai diflanna a dysclaerdab ei ddyuodiat ,
53:2:009:0	ys ef yr hwn ’sy ei ddyuodiat o waithred Satan , wrth oll veddiant , ac arwyddion , ac aruthroeð gauoc ,
53:2:010:0	ac wrth oll ehudrwydd ancyfiawnder , ym‐plith yr ei a gyfergollir , can na dderbyniesont y cariat y gwirionedd , val yr iacheëit hwy .
53:2:011:0	Ac am hyn ydd envyn Duw yddwynt ehudrwydd cadarn , val y credant ir gau ,
53:2:012:0	val y barner yr oll ’rei ny chredrent y’r gwirionedd , anyd ymvoddhau yn ancyfiawnder .
53:2:013:0	Eithr nyni a ðlyem ðiolvvch yn oystat y Dduw y trosoch , vroder caredigion can yr Arglwydd , o bleit y Dduw o’r ddechreuad eich dethol chwi i iechedvvrieth , trwy sancteiddiat yr Yspryt , a’ ffydd gwirionedd ,
53:2:014:0	ir hyn y galwodd ef chwi trwy ein Euangel ni , y berchenogi gogoniāt ein Arglwydd Iesu Christ .
53:2:015:0	A’ chan hyny , vroder , byðwch safadwy , a’ chynneliwch yr athraweth , ich dyscwyt , paun bynac ai gan ’air , ai ein Epistol ni .
53:2:016:0	Ac efe ein Arglwydd Iesu Christ , a’n Duw ’sef y Tat yr hwn a’n carawdd , ac a roddes y ni ddiddanwch tragyvythawl a’ gobeith trwy rat ,
53:2:017:0	a ddiddano eich calonae , ac ach ffyrfhao ym‐pop gair a gweithred dda .
