53:3:001:1	Pen . iij .
53:3:002:1	Deisyfu y mae arnnynt weddiaw drostaw , ar lwyddo ganto precethu r’ Euangel , A’i rhybyddiaw i geryddu yr ei segur , Ac yno damuno yddynt oll ddawnged .
53:3:001:0	BEllach , vroder , gweddiwch drosom , ar rwyddhau rac gair yr Arglwydd , a’ e i ogoneddu , megis a chyd a chwitheu ,
53:3:002:0	ac ar ein rhyðhau ywrth ddynion anresimol a drigionus : can nad oes ffyð gan bawp .
53:3:003:0	Eithr bot yr Arglwydd yn‐ffyddlawn , yr hwn ach ffyrfha , ac ach caidw rac y drwc .
53:3:004:0	Ac ydd ym yn gobaitho am danoch trwy ’r Arglwydd , ac ych bot yn gwneuthu’r , ac y gwnelwch rhac llavv y petheu a ’orchymynwn y‐chwy .
53:3:005:0	A’r Arglwyð a gyfrwyðo eich caloneu at cariad ar Dduw , ac y ðysgwyliad am Christ .
53:3:006:0	Ys gorchmynwn ywch , vroder , yn Enw ein Arglwyð Iesu Christ , ar ychwy ymdymu ymaith ywrth bop brawt ’sy yn rhotio yn afreolus , as nyd wrth yr athraweth , a dderbyniawdd ef genym ni .
53:3:007:0	Can ys‐chwychwi eichunain a wyddoch po’dd y dylech ein dylyn ni : can nad ymddugesam‐yn‐afreolus yn eich cyfrwng ,
53:3:008:0	ac ny’s bwytesam vara gan nep yn rhat : anyd gweithio avvnaem trwy lafur a’ lluddet nos a’ dydd , er mwyn na phwysem ar neb o hanoch .
53:3:009:0	Nyd can nad oedd i ni awturtot , yn amyn val y dodem einunain yn esempl y’wch i’n dilyn .
53:3:010:0	Can ys‐pan oeddem gyd a chwi , hyn ich rhybyddiesam amdano , can a’s byðei neb , a’r nyd wyllysei weithio , na chei vwyta chvvaith .
53:3:011:0	Can ys‐clywsam , vot ’rei yn rhotio yn eich plith yn afreolus , eb weithio dim oll , anyd gwaithio afraid .
53:3:012:0	Can hyny yr ei ’sy gyfryw , a ’orchymynwn ac a gygcorwn can eun Arglwydd Iesu Christ , ar yddyn waithio y gyd a llonyddwch , a’ bwyta ei bara euhunain .
53:3:013:0	A’ chwitheu , vroder , na ddefficiwch yn gwneuthu’r dayoni .
53:3:014:0	Ad oes nep ny’s vvyddhao i’n ymadrodd , arwyddocewch ef trwy lythyr , ac na vit ywch’ or gymddeithas ac ef , megis y cywillyddio .
53:3:015:0	Er hyny na chymerwch ef val gelyn , eithyr cygcorwch ef brawt .
53:3:016:0	A’ gwir Arglwyð y tangneddyf a roddo yw’ch tangeddyf yn ’oystatawl ym‐pop modd . Yr Arglwydd vo y gyd a chwi oll .
53:3:017:0	Yr anerch y can‐y‐vi Paul , a’m llaw vyhun , yr hwn yw’r arwydd ym‐pop epistol : val hyn y’r scrivēnaf ,
53:3:018:0	Rat ein Arglwydd Iesu Christ vo y gyd a chwi oll , Amen . Yr ail Epistol ad y Thessalonicceit a scrivennwyt o Athen . O Lyver cenedleth . &c . yd y van hyn , W . S . ; a’r Epistol iso D . R . D . M . ei translatoddRr . ij .
