53:1:001:1	Pen . j .
53:1:002:1	Dyolwch y Dduw y mae am y ffydd hwy , ei cariat a’i dyoddefgarwch . Y mae yn gweddio ar angwanegu y cynneddfae hyny , Ac ymdangos pa ffrwyth a ddaw ywrth hyny .
53:1:001:0	PAul a’ Siluanus , ac Thimorheus at Eccles y Thessaloniceit rhon ’sy yn Duw ein Tat , ac yn yr Arglwydd Iesu Christ :
53:1:002:0	Rat a vo gyd a chwi , a’ thangneddyf ywrth y Dduw ein Tat , ac ywrth yr arglwyð Iesu Christ .
53:1:003:0	Diolvvch a ddlyem y Dduw yn oystadol trosoch , vroder , val y mae yn addas , am vot eich ffydd yn cynnyddu yn ðirvawr , a’ bot eich cariat bawp y’w gylydd yn lliosocau ,
53:1:004:0	val ydd ym nine yn ymhoffy o hanoch in Ecclesi Duw , o bleit eich ammynedd , a’ch ffydd yn eich oll ymlidiae a’r gorthrymderae ydd ych yn ei goðef ,
53:1:005:0	yr hyn sy yn argoel‐goleu o cyfiawn‐varn Duw , val ich teilynger i deyrnas Dduw , er mvvyn yr hon ydd ych eisioes yn goddef .
53:1:006:0	Can ys cyfiawn yw gan Dduw , dalu gorthrymder ir sawl ’sydd ich gorthrymu chwi ,
53:1:007:0	ac y chwithe yr ei a ’orthrymir , llonyddwch y gyd a ni pan vydd yr Arglwydd Iesu yn ymddangos o’r nef y gyd aei alluawc Angelion ,
53:1:008:0	yn tanflameoc , gan roddi dial ir sawl nyd adwaenant Dduw , ac nyd vvyddhant i’r Euangel ein Arglwydd Iesu Christ ,
53:1:009:0	yr ei ’n a boenir a chyfergoll dragyvythawl , o drach bron yr Arglwydd , ac ywrth ’ogoniant ey veddiant ef ,
53:1:010:0	pan ddel ef y’w ’ogoneddu yn ei Sainctæ , ac y’w ryfeddu yn yr oll rei a gredant ( can ys ein testiolaeth ni tu ac atoch a gredwyt ) yn y dydd hwnw .
53:1:011:0	O bleit hyny ydd ym hefyt yn gweddiaw yn ’oystadavvl y trosoch , ar vod i’n Duw eich teilygy yvv ’alwedigeth , a’ chyflawny oll ddawyllysgarvvch y ddayoni ef , a’ gwaith ffydd , gan veddiant ,
53:1:012:0	val y gogonedder Enw eun Arglwydd Iesu Christ ynoch , a’ chwithe ynthaw yntef , erwydd rhat ein Duw , a’n Arglwydd Iesu Christ .
