57:1:001:1	Pen . j .
57:1:002:1	5 Y mae ef yn llawenychu glywet ffydd a’ chariat Philemon , 9 Yr hwn y mae ef yn deisyfu arno vaddae yw was Onesimus , a’i dderbyn yn garedigawl drachefn .
57:1:001:0	PAul carcharawr Iesu Christ , a’n brawd Timotheus , at Philemon ein caredic gar , a’n cydweithwr ,
57:1:002:0	Ac at ein caredic chvvaer Apphia , ac at Archippus ein cydvilwr , ac at yr Eccles ys ydd yn dy duy di :
57:1:003:0	Rat y gyd a chwi , a’ thangneðyf y can Dduw Dat , a’ chan yr Arglwydd Iesu Christ .
57:1:004:0	Diolvvch ydd wyf im Duw , gan dy gofio yn ’oystadol yn vy‐gweddieu ,
57:1:005:0	( Wrth y mi glywet am dy gariat ath ffydd , yr hon ’sy canyt ar yr Arglwydd Iesu , ac ar ei oll Sainctæ ) ,
57:1:006:0	Mal y gwneler cyfraniat dy ffydd yn ffrwythlawn , a’ mal yr adwaener pa ddaioni pynac ys ydd ynoch trwy Iesu Christ .
57:1:007:0	Can ys y mae genym lawenydd mawr a’ dyddanwch yn dy gariat ti , can ys trwyo ti , vrawt , y diddenir caloneu y Sainctæ .
57:1:008:0	Erwydd paam , cyd bo mawr vy hyder yn‐Christ y orchymyn yty yr hyn ’sy weddus .
57:1:009:0	Er hyny o ran cariat gwell cenyf atolwgy yty , cyd bwyf val yr ytwyf , ys ef Paul henvvr , ac owrhon hefyt carcharor er mvvyn Iesu Christ .
57:1:010:0	Atolygaf yty dros vy map Onesimus , yr hwn a genhedlais i yn y rrwymeu ,
57:1:011:0	Yr hwn gynt a vu yty yn amproffitiol , amyn yr awrhon yn profitiol y ti ac y minheu ,
57:1:012:0	Yr hwn a ddanvonais drathefn : a’ chymer ditheu yntef , ’sef vy ymyscaroedd vy hun ,
57:1:013:0	Yr hwn a wyllyswn i ei attal gyd a mi , mal troso ti y bysei yddo vy‐gweini i yn y rrwymeu yr Euangel .
57:1:014:0	Eithr eb lavv dy veddwl di ny wnawn i ddim mal na byddei dy ddaioni di megis gan angen , anyd o vodd .
57:1:015:0	Ef allei gan hyny y vyned ef ymaith dros amser , mal yd erbynyt ef yn dragyvyth ,
57:1:016:0	Nyd yr owrhon mal gwasanaethvvr , amyn uchlaw gwasanaethvvr , ’sef mal brawd yn caredic , yn enwedic y mi : pa veint mwy y ti , ac yn y cnawt , ac yn yr Arglwydd ?
57:1:017:0	A’s gan hyny y tyby yr petheu eiddom yn gyffredin , derbyn ef mal myhun .
57:1:018:0	A’s gwnaeth ef eniwet yty , neu vot yn dy ddlet , dod hyny yn gyfrif arna vi .
57:1:019:0	Mi Paul a scrivendodd hyn am llaw vy un : mi a dalaf‐y‐pwyth , cyd na ddywedaf yty , ydd wyt yn vy‐dlet ys am dana ty vn .
57:1:020:0	Do , vrawt , mwynhawy vi y ged hyn gan‐yt yn yr Arglwydd : dyhudda vy emyscaroedd yn yr Arglwydd .
57:1:021:0	Gan ymddiriet yn dy vvyðdot , yr escrivennais atat , gan wybot y gwnai ys mwy nac a ddywedaf .
57:1:022:0	Eb law hyn hefyt paratoa i mi letuy : canys gobeithaf trwy eich gweddieu im rroddir ychwy .
57:1:023:0	Y mae yn dy anerch Epaphras vy cydcarcharor in‐Christ Iesu ,
57:1:024:0	Marcus , Aristarchus , Demas a’ Lucas , vy‐cydweithwyr .
57:1:025:0	Rat ein Arglwydd Iesu Christ vo gyd a’ch yspryt , Amen . O Ruuein yr escrivenwyt ad Philemon , ac a ddanvonvvyt trwy lavv Onesimus wasanaethvvr . Tt . ij .
