14:19:001:0	And Jehoshaphat the king of Judah returned to his house in peace to Jerusalem .
14:19:002:0	And Jehu the son of Hanani the seer went out to meet him , and said to king Jehoshaphat , Shouldest thou help the ungodly , and love them that hate the ? therefore is wrath upon thee from before the .
14:19:003:0	Nevertheless there are good things found in thee , in that thou hast taken away the groves out of the land , and hast prepared thine heart to seek God .
14:19:004:0	And Jehoshaphat dwelt at Jerusalem : and he went out again through the people from Beer–sheba to mount Ephraim , and brought them back unto the God of their fathers .
14:19:005:0	And he set judges in the land throughout all the fenced cities of Judah , city by city ,
14:19:006:0	And said to the judges , Take heed what ye do : for ye judge not for man , but for the , who is with you in the judgment .
14:19:007:0	Wherefore now let the fear of the be upon you ; take heed and do it : for there is no iniquity with the our God , nor respect of persons , nor taking of gifts .
14:19:008:0	Moreover in Jerusalem did Jehoshaphat set of the Levites , and of the priests , and of the chief of the fathers of Israel , for the judgment of the , and for controversies , when they returned to Jerusalem .
14:19:009:0	And he charged them , saying , Thus shall ye do in the fear of the , faithfully , and with a perfect heart .
14:19:010:0	And what cause soever shall come to you of your brethren that dwell in their cities , between blood and blood , between law and commandment , statutes and judgments , ye shall even warn them that they trespass not against the , and so wrath come upon you , and upon your brethren : this do , and ye shall not trespass .
14:19:011:0	And , behold , Amariah the chief priest is over you in all matters of the ; and Zebadiah the son of Ishmael , the ruler of the house of Judah , for all the king 's matters : also the Levites shall be officers before you . Deal courageously , and the shall be with the good .
