22:1:001:1	Bá'doogehii áádóó Jerúsalem bich'é'éké
22:1:001:0	Díí Sálaman biyiin aláahgo át'éhígíí :
22:1:002:0	Bíni'dii náshiits'ǫs , háálá ne'ayóó'ó'ó'ni' éí wáin biláahgo łikan .
22:1:003:0	Ne'ak'ah éí łikání halchin ; nízhi' éí ak'ah łikání halchinii yadziidígíí nahalin ; éí bąą ch'ikéí ayóó'ádanó'ní .
22:1:004:0	Ách'į' shidídzį́įsgo ahiniilchéeł doo . Aláahgo naat'áanii t'áá bí bighan góne' shił yah íí'áázh . Naa nihił dahózhǫ́ǫ doo áádóó t'áá íiyisí nihił nidahoozhǫǫh doo . Ne'ayóó'ó'ó'ni' éí wáin biláahgo béédeiilniih doo . T'áá ákogi ádaat'éii ayóó'ádanó'ní .
22:1:005:0	Jerúsalem bich'é'éké danohłíinii , Kíídar dine'é biníbaal naaznilígi át'éego áádóó Sálaman biníbaal biyaadi daníbaalii daalzhinígi át'éego łinishzhíínígo nishóní .
22:1:006:0	Łinishzhíínígo biniinaa t'áadoo dashinół'íní , háálá jį́honaa'éí shiishį́į́' . Shimá biyáázhké shich'į' bá nídahachįįhgo ch'il na'atł'o'ii yíl'áii baa áháshyą́ągo ádashiilaa . Nidi t'áá shí shich'il na'atł'o'ii doo baa áháshyą́ą da nít'éé' .
22:1:007:0	Ni lą́ą shii' sizíinii ayóó'ánó'níinii , shił hólne' : Háadishą' nidibé nída'ałchosh ? Ałné'é'áahgo háadishą' hanínádaalyįh ? Ha'át'íísh biniyé nida'niłkaadii bił ałch'odani'níinii yikéé' asdzání binii' yik'íná'áłtihgo yóó'anádáhígi ásht'į́į doo .
22:1:002:1	Bá'doogehii áádóó adooyehii
22:1:008:0	Asdzání baa dzólníinii nílíinii , doo nił bééhózingóó , nílááh , t'áá dibé eekaigóó yínááł . Nida'niłkaadii biníbaal binaagi nitł'ízí yázhí nida'ałchozh le' .
22:1:009:0	Ni lą́ą ayóó'áníínísh'níinii , Féro bitsindaabąąs bijáád naakiígíí łį́į́'tsa'ii bighą́ą́h dízíinii éí bił ahąąh nininínil .
22:1:010:0	Nitł'iz ałtaas'éí da'ahólzha'go nitsii' názt'i'go niniitsį' bik'ijį' nidahaazhjée'go bee nízhóní ; yoo' nizhóníii nizénázt'i' .
22:1:011:0	Óola éí béésh łigaii bee naashch'ąą'go niyo' ná ádadiilnííł .
22:1:012:0	Aláahgo naat'áanii bibikáá' adání yich'į' dah sidáago shitłah łikání halchinii bee łikání bits'áhoní'á .
22:1:013:0	Ayóó'óósh'níinii éí tsin bijeeh łikání halchinii dádeestł'ǫ́ǫgo shibe' bita'gi dah siłtsooz nahojílingo yiską́ .
22:1:014:0	Ayóó'óósh'níinii éí Engíídai kéyahdi ch'il na'atł'o'ii yíl'áii bitahgóó héna wolyéii bílátah nídeigahígíí nahojílin .
22:1:015:0	Ayóó'áníínísh'níinii , dooládó' ayóó áníínílnin da , shoo , ayóó áníínílnin , jó , hasbídí yinílnáá' .
22:1:016:0	Ayóó'áníínísh'níinii , dooládó' naa dzólníi da , jó'akon . T'áá aaníí , ayóó áníínílnin . Nihitsásk'eh ałdó' hoolcházhí .
22:1:017:0	Gadtsoh bits'áoz'a' éí nihikin bá áah sitáán áádóó ch'ó éí bééhéeshjéé' nahalin .
