22:5:001:1	Bits'ą́ą́' yóó'ííyáii yąąh bíni'
22:5:001:0	Shidá'ák'ehgi níyá , shilah índa bá'deeshxehii nílíinii , mir éí spáis shee hólóonii bił áłah íishłaa . Shitsés'ná bitł'izh bits'a' t'áá bił yíyą́ą́' ; shiwáin áádóó abe' yishdlą́ą́' . Da'ohsą́ , shik'isóó danohłíinii ; ídlą́ , ayóó'óósh'níinii , łą́ągo ahíkaah .
22:5:002:0	Ashhosh , nidi shijéí éí t'áá aniih nít'éé' . Ayóó'óósh'níinii biinéé' diséts'ą́ą'go dáádílkał néiniłts'ingo kóní , Shilah , ayóó'ánósh'níinii , shihasbídí nílíinii , hadaałt'éii nílíinii , shá ąą ánílééh , háálá dahtoo' bee shitsiits'iin nástłéé' ; dahtoo' bee shitsii' ałtso nástłéé' .
22:5:003:0	Shi'éénééz hadiistsooz ; haash yit'éego biih nídeeshdááł . Shikee' táásígiz ; haash yit'éego t'óó baa'ih ánáánáshdléeh doo ?
22:5:004:0	Ayóó'óósh'níinii dáádílkał bee ąą ánál'įįhgo ahoodzą́ą́ góne' adoolnii'go bąąh tsíníkéezgo shijéí yidiisnáá' .
22:5:005:0	Ayóó'óósh'níinii bá ąą ádeeshłííł biniyé nídiish'na' áádóó shíla' índa shílázhoozh bąąhdóó łikání halchinii tózhą́ągo dáádílkał bee dáń'dílkałígíí bąąhjį' nahidilch'ą́ą́ł .
22:5:006:0	Ayóó'óósh'níinii bá ąą áshłaa , nít'éé' ayóó'óósh'níinii dah náádiidzáá lá , áko doo naagháhí da . Haadzíí' yę́ędą́ą́' k'asdą́ą́' shíni' ásdįįd ; hanítą́ą́' , nidi t'áadoo bik'íníyáa da ; bíká ádííniid , nidi t'áadoo shich'į' haadzíi' da .
22:5:007:0	Nidi tł'éé' naagháhí kintahgóó hada'asíidgo nidaakaígíí shik'ídaaskaigo nídashineesxaalgo atídashiilaa ; kin haal'á binaa ahééda'astł'inígíí yaa ádahalyáanii shibeeldládí éé' shighadeistsooz .
22:5:002:1	Bá'ásgehii éí azyehii yaa haniih
22:5:008:0	Jerúsalemdóó ch'ikéí danohłíinii , ayóó'óósh'níinii bik'ídasoohkaigo , Ayóó'ó'ó'ní bídin shi'niitsą́ , shá dabididoohniił .
22:5:009:0	Asdzání bitahgóó ayóó áníínílninii , haash yit'éego náánáła' ayóó'ábi'dó'níinii biláahgo ayóó'ííní'níinii nił nilį́ ? Kódaohnééh , nihidiníinii haash yit'éego náánáła' ayóó'ábi'dó'níinii biláahgo ayóó'ííní'níinii nił nilį́ ?
22:5:010:0	Ayóó'óósh'níinii éí t'óó łigáhí áádóó t'óó łichxíí' ; neeznáadi mííl yilt'éego bitahdóó aláahgo át'é .
22:5:011:0	Bitsiits'iin éí óola nídoolyį́į'ii nahalin ; bitsii' éí yishch'il áádóó gáagii nahalingo łizhin .
22:5:012:0	Hanáá' éí abe' bee tánásgiz nahalin , áádóó nizhónígo hasht'e'nii'nilgo éí tooh danílį́ bibąąhgi hasbídí sikéhígíí nahalin .
22:5:013:0	Biniitsį' éí łikání dahalchinii spáis yíl'áii áádóó ch'ilátah hózhóón yíl'áii bits'ą́ą́dóó łikání honí'á nahalin . Bidaa' éí tł'éé' iigahí nahalingo bąąhdę́ę́' tsin bijeeh łikání halchinii mir wolyéii nahidilch'ą́ą́ł nahalin .
22:5:014:0	Bíla' éí tsihał óola bee ályaii tsé ílíinii béril wolyéii bee naashch'ąą' nahalin ; bibid gónaa éí chį́į́h yee adilohii biwoo' , áívori wolyéii , éí tsé yá nahalingo dootł'izhii sáfair wolyéii binídaas'nil nahalin .
22:5:015:0	Bijáád éí áyah nii'áhígíí nahalingo tsé dildǫ́'ii márbel wolyéii bee ályaa áádóó óola t'áá bízhání bitł'ááh sinilgo t'ááłáhíjí biih hodzánígíí ályaa . Ánoolninígíí éí Dził Lébanan nahalin ; gadtsoh agháago yá'ádaat'éehiigi át'é .
22:5:016:0	Ayóo łikango yáłti' . T'áá aaníí , t'áá sizį́į́ nít'éé' ayóó ánóolnin . Jerúsalemdóó ch'ikéí danohłíinii , díí ayóó'óósh'níinii áádóó shich'ooní át'é .
