42:8:001:1	Ministering Women
42:8:001:0	Soon afterwards , He began going around from one city and village to another , proclaiming and preaching the kingdom of God . The twelve were with Him ,
42:8:002:0	and also some women who had been healed of evil spirits and sicknesses : Mary who was called Magdalene , from whom seven demons had gone out ,
42:8:002:1	Parable of the Sower
42:8:003:0	and Joanna the wife of Chuza , Herod’s steward , and Susanna , and many others who were contributing to their support out of their private means .
42:8:004:0	When a large crowd was coming together , and those from the various cities were journeying to Him , He spoke by way of a parable :
42:8:005:0	“ The sower went out to sow his seed ; and as he sowed , some fell beside the road , and it was trampled under foot and the birds of the air ate it up .
42:8:006:0	Other fell on rocky and as soon as it grew up , it withered away , because it had no moisture .
42:8:007:0	Other fell among the thorns ; and the thorns grew up with it and choked it out .
42:8:008:0	Other fell into the good soil , and grew up , and produced a crop a hundred times as great . ” As He said these things , He would call out , “ He who has ears to hear , let him hear . ”
42:8:009:0	His disciples began questioning Him as to what this parable meant .
42:8:010:0	And He said , “ To you it has been granted to know the mysteries of the kingdom of God , but to the rest in parables , so that , .
42:8:011:0	“ Now the parable is this : the seed is the word of God .
42:8:012:0	Those beside the road are those who have heard ; then the devil comes and takes away the word from their heart , so that they will not believe and be saved .
42:8:013:0	Those on the rocky those who , when they hear , receive the word with joy ; and these have no root ; they believe for a while , and in time of temptation fall away .
42:8:014:0	The which fell among the thorns , these are the ones who have heard , and as they go on their way they are choked with worries and riches and pleasures of life , and bring no fruit to maturity .
42:8:003:1	Parable of the Lamp
42:8:015:0	But the in the good soil , these are the ones who have heard the word in an honest and good heart , and hold it fast , and bear fruit with perseverance .
42:8:016:0	“ Now no one after lighting a lamp covers it over with a container , or puts it under a bed ; but he puts it on a lampstand , so that those who come in may see the light .
42:8:017:0	For nothing is hidden that will not become evident , nor secret that will not be known and come to light .
42:8:018:0	So take care how you listen ; for whoever has , to him shall be given ; and whoever does not have , even what he thinks he has shall be taken away from him . ”
42:8:019:0	And His mother and brothers came to Him , and they were unable to get to Him because of the crowd .
42:8:020:0	And it was reported to Him , “ Your mother and Your brothers are standing outside , wishing to see You . ”
42:8:004:1	Jesus Stills the Sea
42:8:021:0	But He answered and said to them , “ My mother and My brothers are these who hear the word of God and do it . ”
42:8:022:0	Now on one of those days Jesus and His disciples got into a boat , and He said to them , “ Let us go over to the other side of the lake . ” So they launched out .
42:8:023:0	But as they were sailing along He fell asleep ; and a fierce gale of wind descended on the lake , and they began to be swamped and to be in danger .
42:8:024:0	They came to Jesus and woke Him up , saying , “ Master , Master , we are perishing ! ” And He got up and rebuked the wind and the surging waves , and they stopped , and it became calm .
42:8:005:1	The Demoniac Cured
