42:12:001:1	God Knows and Cares
42:12:001:0	Under these circumstances , after so many thousands of people had gathered together that they were stepping on one another , He began saying to His disciples first of all , “ Beware of the leaven of the Pharisees , which is hypocrisy .
42:12:002:0	But there is nothing covered up that will not be revealed , and hidden that will not be known .
42:12:003:0	Accordingly , whatever you have said in the dark will be heard in the light , and what you have whispered in the inner rooms will be proclaimed upon the housetops .
42:12:004:0	“ I say to you , My friends , do not be afraid of those who kill the body and after that have no more that they can do .
42:12:005:0	But I will warn you whom to fear : fear the One who , after He has killed , has authority to cast into hell ; yes , I tell you , fear Him !
42:12:006:0	Are not five sparrows sold for two cents ? not one of them is forgotten before God .
42:12:007:0	Indeed , the very hairs of your head are all numbered . Do not fear ; you are more valuable than many sparrows .
42:12:008:0	“ And I say to you , everyone who confesses Me before men , the Son of Man will confess him also before the angels of God ;
42:12:009:0	but he who denies Me before men will be denied before the angels of God .
42:12:010:0	And everyone who speaks a word against the Son of Man , it will be forgiven him ; but he who blasphemes against the Holy Spirit , it will not be forgiven him .
42:12:011:0	When they bring you before the synagogues and the rulers and the authorities , do not worry about how or what you are to speak in your defense , or what you are to say ;
42:12:002:1	Covetousness Denounced
42:12:012:0	for the Holy Spirit will teach you in that very hour what you ought to say . ”
42:12:013:0	Someone in the crowd said to Him , “ Teacher , tell my brother to divide the family inheritance with me . ”
42:12:014:0	But He said to him , “ Man , who appointed Me a judge or arbitrator over you ? ”
42:12:015:0	Then He said to them , “ Beware , and be on your guard against every form of greed ; for not when one has an abundance does his life consist of his possessions . ”
42:12:016:0	And He told them a parable , saying , “ The land of a rich man was very productive .
42:12:017:0	And he began reasoning to himself , saying , ‘What shall I do , since I have no place to store my crops ? ’
42:12:018:0	Then he said , ‘This is what I will do : I will tear down my barns and build larger ones , and there I will store all my grain and my goods .
42:12:019:0	And I will say to my soul , “ Soul , you have many goods laid up for many years take your ease , eat , drink be merry . ” ’
42:12:020:0	But God said to him , ‘You fool ! This night your soul is required of you ; and who will own what you have prepared ? ’
42:12:021:0	So is the man who stores up treasure for himself , and is not rich toward God . ”
42:12:022:0	And He said to His disciples , “ For this reason I say to you , do not worry about life , what you will eat ; nor for your body , what you will put on .
42:12:023:0	For life is more than food , and the body more than clothing .
