46:16:001:1	Jerúsalemgi Diyin God bidiyį́į́' yáál bá ahi'nííł
46:16:001:0	K'ad Diyin God bidiyį́į́' yáál bá ahi'nííłjí baa néinísht'į́: Galéíshiyagi da'oodlání áłah nídaadleehii bínabiníłtą́ą́' yę́ęgi át'éego nihí ałdó' ákódaaht'į́į doo. 
46:16:002:0	T'áá Damį́įgo ná'ádleeh bik'eh t'ááłá'í nootínígo yáál bee nihik'idahojisdli'ígíí bik'ehgo ła' áádoosįįłgo hasht'e'nidooh'ááł, áko aadi níyáago doo yáál anáádahidoohnił da. 
46:16:003:0	Áko níyáago, aa dasooláhígíí Jerúsalemgóó dazhdoojih biniyé t'áá háiida hwee lą́ da'soohłį́'ígíí naaltsoos bee haa hashne'go bił dahodeesh'aał. 
46:16:002:1	Paul naha'á
46:16:004:0	Áádóó t'áá ákónéehee shí ákǫ́ǫ́ hoł deeshkah ládą́ą́', háni'dii shił jookah doo. 
46:16:005:0	Masedóniyagóó ch'íníyáago nihaa deeshááł, háálá Masedóniyagóó ch'íníshááh nisin. 
46:16:006:0	Áko t'áá áadi daats'í nihił naháshtą́ą dooleeł, nihił daats'í shidoohah, áko áádóó t'áá háajigoda dah náádiishdááh ládą́ą́' shíká adoohjah. 
46:16:007:0	Háálá k'ad nihíighahgóó ch'ínísháahgo, t'óó kónígháníjį' da'ahiizhdooltséłígíísh biniyé haa jígháah doo nisin. Nidi Bóhólníihii shadi'ní'ą́ą́ ládą́ą́' haada nízahjį' nihił naháshtą́ą dooleełgo shił chohoo'į́. 
46:16:008:0	Nidi Péntekast wolyéhígíí bee bééhániihii bijį́ baa hoolzhíísh biná t'áá kwe'é Éfesasgi sédáa dooleeł. 
46:16:009:0	Háálá azhą́ shik'ijį' nidaaldzilii t'óó ahayói nidi Bóhólníihii bá nideesh'aałígíí idídóołniił biniyé hótsaago shá ąą ályaa.  
46:16:010:0	Timothy aadi nihaa níyáago t'áadoo bił yé'í k'é dabidohníigo ádeínóhsin doo, háálá t'áá shí ásht'ínígi át'éego bí ałdó' Bóhólníihii yá naalnish. 
46:16:011:0	Éí bąą nihił danilį́įgo t'áadoo diné ła' baa daadlohí doo. Nidi aadóó dah náádiidáahgo bíká adoohjahgo bił hózhǫ́ǫgo dah náádidoodááł, áko shaa nídoodááł, háálá nihik'isóó danilíinii ła' bił nayíníshłí. 
46:16:003:1	Saad bee naaltsoos niilt'i'ii
46:16:012:0	Nidi Apálas nihik'is jílíinii, éí ałk'isóó danilíinii ła' bił aadi nihaazhdookah nihósh'níigo baa náhwiisiskan, nidi k'ad ákǫ́ǫ́ doogáłígíí t'ah doo yee hasht'e'nitsíkees da nisin. Nidi há ashja hoodzaago daats'í índa akǫ́ǫ́ jidoogááł. 
46:16:013:0	Hada'ísídół'į́į́', áádóó na'nitin woodláanii bee nihidziilgo nisoozį́, t'áadoo dasoohti'í, danihidziilgo áda'díínółzin. 
46:16:014:0	Háni'dii ádaahníłígíí t'áá ałtso ayóó'ó'ó'ní bee baa naahkai. 
46:16:015:0	Shik'isóó, k'ad éiyá nánihooshkąąh, Stéfanas bighandóóígíí éí Akéya hoolyéegi ts'ídá átsé da'oosdląądii daazlį́į́', áko Diyin God bidiyį́į́' yindaal'a' dooleełgo ádaa deideest'ą́ągo nihił béédahózin. 
46:16:016:0	Diné ákódaat'éhígíí áádóó t'áá háiida naanish yee áká anájahgo yił nidaalnishígíí bida'oł'į́įgo bikéé' dayínóhkáah dooleeł nihósh'ní. 
46:16:017:0	Stéfanas índa Fortunéítas índa Akéyikas yíkaigo baa shił hózhǫ́, háálá nihí doo nidahisoohkai yę́ęgi éí yíkaigo bee yá'íít'ééh, 
46:16:018:0	háálá t'áá aají nihik'éédahojííłtaa'ígi át'éego shí ałdó' shik'éédahojííłtaa'. Diné ákódaat'éii baa ákodanohsin. 
46:16:019:0	Éízhagi da'oodlání áłah nídaadleehígíí k'é danihiłní. Ákwila áádóó Prisíla índa bighandi da'oodlání áłah nádleehígíí Bóhólníihii binahjį' k'é danihiłní. 
46:16:020:0	Nihik'is danilíinii t'áá ałtso k'é danihiłní.Ahíláłk'e dadołniihgo k'é béé'ahohjih. 
46:16:021:0	Shí Paul, k'é nihidishnínígíí t'áá shí shíla' bee ak'e'ashchí. 
46:16:022:0	T'áá háiida Bóhólníihii Jesus Christ doo ayóó'áyó'níígóó, éí ádooldįįłgo bá ha'doodzih. NihiBóhólníihii nánídááh. 
46:16:023:0	NihiBóhólníihii Jesus Christ bibee ajooba' nihił hólǫ́ǫ doo. 
46:16:024:0	Christ Jesus binahjį' ayóó'ánihósh'ní. T'áá ákót'ée doo.
