46:4:001:1	Christ yá nidaal'a'ii binaanish
46:4:001:0	Háni'dii Christ bá neiil'a'go, índa Diyin God yee na'nitinii doo bééhózin da yę́ę baa áhwiilyą́ągo nihaa nitsídaahkees le'. 
46:4:002:0	Jó, kwe'é kót'é, diné bá aa áhojilyáanii éí hananit'a'í ha'ólíi dooleełgo bee haz'ą́. 
46:4:003:0	Nidi nihí shaa nídadóoht'įįłígíí, doodaii' aa náhát'į́įgi shaa náhódóot'įįłígíí doo bik'ee nitseeshdáa da. T'áá shí nidi doo ádá nihodeest'áał da. 
46:4:004:0	Háálá ha'át'íhída doo ákogi é'ét'éii doo ła' ádá shił bééhózin da, ákondi éidíígíí doo bee shohodiit'i' da éí doo dishníi da. Nidi Bóhólníihii éí shaa nídóot'įįł. 
46:4:005:0	Éí bąą Bóhólníihii náádoodáłígíí t'ah doo baa hoolzhííshgóó t'áadoo aa nídaaht'į́įgo ándahoyo'aahí. Bóhólníihii nádzáago índa chahałheełdi ádajíít'įįdii yikáá' haidoonił índa t'áá hayi'ídi nidahodziz'áanii ííshjání íidoolííł. Áko éí bik'ehgo t'ááłá'í jinítínígo Diyin God haa haniih doo. 
46:4:006:0	Shik'isóó, díí ádíshnínígíí éí shí índa Apálas beinísht'į́, nidi nihinahjį' ídahwiidooł'ááł biniyé ádíshní. Áko Diyin God bizaad bik'ehgo t'áadoo diné aghánídahohnihgo bee ádaa dahohniihí. 
46:4:007:0	Háishą' náánáła' biláahdi ánít'éego ániilaa? Ha'át'íísh nee hólónígíí t'áadoo neílyáa da? Ła' neílyáago ha'át'éegoshą' t'áá ni shóisíníłt'e' nahalingo bee ádaa hó'niih? 
46:4:008:0	T'áá íídą́ą́' diyin k'ehgo hwiih dasiidlį́į́' danohsin! T'áá íídą́ą́' diyin k'ehgo aa deet'áanii dasiit'įįd danohsin! T'áá nihídin naat'áanii k'ehgo nidanoht'áá lá ya'. T'áá aaníí nidanoht'áa dooleeł yę́ę laanaa, áko nihí ałdó' nihił nidaniit'áa dooleeł nisin. 
46:4:009:0	Háálá daal'aadii daniidlínígíí akéédę́ę́' Diyin God ninihinínil nisin, diné nabidi'dootsiłjį' ninádeet'ánígi át'éego, diyingo nidaal'a'í índa nihokáá' dine'é t'áá ałtso t'óó danihidínóoł'įįł nahalingo bá ch'ínihi'dee'nil. 
46:4:010:0	Nihí Christ yá naal'a'í daniidlį́; biniinaa doo ádahwiilyą́ą́góó bee nihaa nitsáhákees, nidi nihí aají éí Christ binahjį' dahonohsą́! Nihí doo danihidziil da, nidi nihí aají éí ayóó ádanihóodziil! Nihí aají éí nihaa daha'niih, nidi nihíjí danihiji'joodlá! 
46:4:011:0	T'áá díí nihoolzhiizhíjį' dichin áádóó dibáá' daniidlį́; bee hadi'doo'níiłii nihee ádaadin; nídanihidi'nilts'in; nihighan ádaadin, 
46:4:012:0	áádóó t'áá nihíla' bee yéego nideiilnishgo t'áá nihí ák'inideiildzil. Danihódziihii bá sodadiilzin; atídanihi'dil'į́įgo hada'ííníilní; 
46:4:013:0	t'áá ádzaagóó nihaa dahane'go k'é nidahwiidle'go yádeiilti'. Díí jį́į́góó nihokáa'gi ts'iilzéí daniidlį́įgo nihaa nitsáhákees; t'áá ałtsoní bitł'ááshjání daniidlį́įgo nihaa nitsáhákees. 
46:4:014:0	T'óó ádaa yádadínóohdzįįł éí doo biniyé nihich'į' ak'e'ashchíi da, nidi sha'áłchíní ayóó'óósh'níinii danohłį́įgo díí bee nihi'nishníihgo ak'e'ashchí. 
46:4:015:0	Háálá azhą́ Christ yee nidanihinitinii doo jóołta' ánéelą́ą' da nidi, Christ bee nihizhé'é doo daałą́ą da, háálá shí átséedi hane' yá'át'éehii bee nihił dahweeshne'ígíí bąą Christ Jesus bee nihizhé'é sélį́į́'. 
46:4:016:0	Áko shida'oł'į́į dooleełígíí baa nídanihooshkąąh. 
46:4:017:0	Éí bąą Timothy, Bóhólníihii bee shiye' nilíinii, ayóó'óósh'níinii áádóó ba'ahódlíii nilį́įgo nihich'į' ííł'a'. Haash yit'éego Christ bee hinishnánígíí áádóó da'oodlání t'áá ałtsogóó áłah nídaadleehii bee na'nishtinígíí yéénihidiyoołnih biniyé nihich'į' ííł'a'. 
46:4:018:0	Nihitahgóó ła' doo nihaazhdoogáał da dashó'níigo ádaa dadzódlí. 
46:4:019:0	Nidi Bóhólníihii íinízin ládą́ą́' t'áá hahígo nihaa deeshááł, áko ádaa dadzódlíigo yee ayóó ádaalzaadígíí doo biniyé deesháał da, nidi ha'át'íí binahjį' dabidziilígíí shił bééhodoozįįł biniyé aadi deeshááł. 
46:4:020:0	Háálá Diyin God bee bóhólníihgo bił haz'áanii éí doo t'óó saad t'éí át'ée da, nidi Diyin God bibee adziilii át'é. 
46:4:021:0	Háidíígíishą' danohsin? Da' tsihałísh yishtį́įłgo nihaa deeshááł, doodaii' ayóó'ánihósh'níigo shá áhwiinít'į́'ígo daats'í nihaa deeshááł?
