62:1:001:1	Iiná saad jílíinii
62:1:001:0	Iiná saad jílíinii éí t'áá hodeeyáádę́ę́' hojílǫ́ , éí dahosidiits'ą́ą́' índa t'áá nihí nihináá' bee dahoníil'į́į́' áádóó hódadeelnii' .
62:1:002:0	Éí iiná jílínígíí yit'íní ízh'diilyaago dahoníil'į́į́' , áko éí bee haa nidahwiilne' , índa iiná doo ninít'i'ii jílį́įgo aTaa' bił hojílónígíí nihich'į' ííshjání ízh'diilyaago hwee nihił nidahwiilne' .
62:1:003:0	Ts'ídá t'áá aaníí Diyin God aTaa' áádóó biYe' Jesus Christ bił ahił daniidlį́ . Nihí ałdó' ahidiníłnáago nihił ahił daniidlį́į doo biniyé dahoníil'į́'ígíí áádóó dahosidiits'ą́'ígíí bee nihił dahwiilne' .
62:1:002:1	Diyin God adinídíín jílį́
62:1:004:0	T'áá yíní át'éegi nihił dahózhǫ́ǫ doo biniyé nihich'į' naaltsoos ádeiilnééh .
62:1:005:0	Áko Diyin God biYe' bits'ą́ą́dę́ę́' hane' dasidiits'ą́'ígíí áádóó bee nihił dahwiilne'ígíí éí kót'é : Diyin God adinídíín jílį́ , áko chahałheeł ts'ídá doo bił ahízhdéét'i' da .
62:1:006:0	Bił ahił daniidlį́ , dadii'níi nidi , chahałheeł biyi' dayíníikáahgo danihiyooch'ííd , áádóó t'áá aaníinii doo bik'ehgo dahinii'náa da .
62:1:007:0	Nidi t'áá adinídíín biyi' hojílónígi át'éego adinídíín biyi' dayíníikáahgo , ahidiníłnáago ahił daniidlį́ , áko haYe' Jesus Christ t'áá bí bidił yee nihibąąhági át'éii t'áá át'é ałtso nihąąh tánéigis .
62:1:008:0	Bąąhági át'éii nihii' ádin dadii'níigo ádinda'iidlo' , áko t'áá aaníinii doo nihii' dahólǫ́ǫ da .
62:1:009:0	Bąąhági ádeiit'ínígíí bee ádaa dahwiilne'go , hó ha'ahódlíii índa ts'ídá t'áá ákogi ááníiłii jílį́įgo nihibąąhági ádaat'éii ałtso nihá yóó'azhdidoo'ááł , áádóó doo t'áá ákogi ádeiit'įįdii ałtso nihąąh táázhdoogis .
62:1:010:0	Doo bąąhági ásht'į́į da , dadii'níigo Diyin God biyooch'íidii nilį́įgo ádeíníilzin . Áádóó bizaadígíí nihii' ádin .
