62:5:001:1	Hwe'oodlą' bee nihokáá' bił nidahazt'i'ii bik'eshdidlį́
62:5:001:0	T'áá háiida Jesus éí Christ nilį́įgo joodlánígíí Diyin God bits'ą́ą́dóó bi'dizhchíinii jílį́ . T'áá háiida azhé'é ayóó'ájó'nínígíí ba'áłchíní ałdó' ayóó'ájó'níi doo .
62:5:002:0	Diyin God ayóó'ádeíníi'nínígíí índa yee has'áanii bik'eh dahoniil'ínígíí bąą Diyin God ba'áłchíní ayóó'ádeíníi'níigo nihił béédahózin .
62:5:003:0	Háálá yee has'áanii bik'eh hól'ínígíí éí Diyin God ayóó'óó'ní át'é . Áádóó yee has'áanii doo ade át'ée da ,
62:5:004:0	háálá Diyin God bits'ą́ą́dóó nidabi'diizhchíinii nihokáá' bił nidahazt'i'ii yik'eh dadidlį́įgo át'é . Jó , nihe'oodlą' bee nihokáá' bił nidahazt'i'ii bik'eh dadiniidlį́ .
62:5:002:1	Jesus Christ t'áá aaníí Diyin God biYe' nilį́įgo bee baa hane'
62:5:005:0	Háishą' nihokáá' bił nidahazt'i'ii yik'eh didlį́ ? Jó , Jesus éí Diyin God biYe' nilį́įgo yoodláanii lą́ą .
62:5:006:0	Jesus Christ tó áádóó dił yee níyá . Doo tó t'éiyá bee da , nidi tó áádóó dił bee jiníyá . Áádóó Níłch'i Diyinii oo'íinii nilį́įgo éí yee nihił halne' , háálá Níłch'i Diyinii t'áá aaníinii nilį́ .
62:5:007:0	Jó , yá'ąąshdi díí táa'go [ oo'íinii danilį́įgo ch'ídahwii'aah , éí aTaa' áádóó Saad índa Níłch'i Diyinii , áko díí táa'go danilínígíí t'ááłá'í nilį́ .
62:5:008:0	Áko díí táa'go nahasdzáán bikáa'gi oo'íinii danilį́įgo ch'ídahwii'aah , ] éí Níłch'i Diyinii áádóó tó índa dił , díí táa'go t'áá aheełt'éego ch'ídahwii'aah .
62:5:009:0	Diné éí Jesus baa dahojilne'ígíí deiniidlą́ , nidi Diyin God t'áá bí biYe' yaa halne'jígo agháago bidziil , háálá Diyin God éí Jesus biTaa' jílį́įgo oo'íinii jílį́įgo baa hojilne' .
62:5:010:0	T'áá háiida Diyin God biYe' joodlą́ągo baijólíii Diyin God t'áá bí biYe' yaa halne'ígíí hoł bééhózin doo . Nidi t'áá háiida Diyin God doo joodláanii éí Diyin God biyooch'íidii nilį́ jinízin , háálá Diyin God t'áá bí biYe' yaa halne'ígíí t'áadoo joosdląąd da .
62:5:011:0	Jó , kót'éego baa hane' , Diyin God iiná doo ninít'i'ii nihaidiní'ą́ , éí iinánígíí haYe' bii' hólǫ́ .
62:5:003:1	Iiná doo ninít'i'ii
62:5:012:0	Diyin God biYe' hwee hólóonii iiná hwee hólǫ́ , nidi Diyin God biYe' doo hwee hólóonii iiná hwee ádin .
62:5:013:0	Diyin God biYe' bízhi' deinohdlą́ągo baa dadzíínóhłíii iiná doo ninít'i'ii nihee dahólónígíí nihił béédahózin doo [ áádóó Diyin God biYe' bízhi' deinohdlą́ągo baa dadzíínóhłíhígíí bee náás wohkah doo ałdó' biniyé] díidí bee nihich'į' ak'e'ashchí .
62:5:014:0	Diyin God t'áá bí íinízinii bik'ehgo ha'át'íhída bídayíníikeedgo nihididoots'į́łígíí nihił béédahózin , áko baa dadzííníidlíigo bich'į' sodadiilzin .
62:5:015:0	Áko t'áá ha'át'íhída bídayíníikeedii yidiits'a'go nihił béédahózingo , bídin daniidlíinii bídayíníikeedgo bits'ą́ą́dóó nishódahiilt'eehgo nihił béédahózin .
62:5:016:0	Diné ła' hak'is nilíinii bąąhági át'éii biniinaa doo da'dootsaałii áyoolíiłgo joo'į́įgo bá sozdilzin doo , áko Diyin God hinááh ánábidoodlííł . Bąąhági át'éii biniinaa doo da'dootsaałii hólǫ́ǫgo iiná haa didoot'ááł . Nidi bąąhági át'éii biniinaa da'dootsaałii hólǫ́ ; éí yee bąąhági ádzaii bá sodołzin , doo dishníigo ádíshníi da .
62:5:017:0	Doo t'áá ákogi áhooníiłii t'áá ałtso bąąhági át'éii ádaat'é , nidi bąąhági át'éii doo biniinaa da'dootsaałii ła' hólǫ́ .
62:5:018:0	T'áá háiida Diyin God bits'ą́ą́dóó bi'dizhchíinii bąąhági át'éii doo t'áá náás yoołt'ihgóó nihił béédahózin , háálá Diyin God biYe' haa áhályą́ , áko doo yá'áshǫ́ǫ́góó naagháii doo haada hóle' át'ée da .
62:5:019:0	Diyin God bits'ą́ą́dóó dahoniidlǫ́ǫgo nihił béédahózin , áádóó doo yá'áshǫ́ǫ́góó naagháii nihokáa'gi t'áá át'éé nít'éé' bee bóhólníihgo ałdó' nihił béédahózin .
62:5:020:0	Diyin God biYe' níyáhígíí nihił béédahózin , áádóó Diyin God t'áá aaníinii nilį́įgo béédahoniilzin doo biniyé ak'idi'yiitįįh nihaidiní'ą́ . Áko Diyin God t'áá aaníinii nilíinii bii' dahoniidlǫ́ , haYe' Jesus Christ bii' dahoniidlǫ́ . Díí éí Diyin God t'áá aaníinii índa iiná doo ninít'i'ii nilį́ .
62:5:021:0	Sha'áłchíní , eda'alyaii bich'į' nahadláii bits'ąą ádaa ádahołyą́ . [ T'áá ákót'ée doo . ]
