62:4:001:1	Diyin God biNíłch'i Diyinii áádóó Christ bi'ana'í nilíinii biníłch'i
62:4:001:0	Ayóó'ánihósh'níinii , Níłch'i Diyinii shii' hólǫ́ , daanínígíí t'áadoo t'áá ałtso deinohdlání , nidi éí t'áá ałtso nidaałkaah , t'áá daats'í aaníí Diyin God biNíłch'i Diyinii bii' dahólǫ́ . Háálá t'óó ádahodil'į́įgo dahalne'ii nihokáá'góó t'óó ahayóí deíkááh .
62:4:002:0	Díí bee Diyin God biNíłch'i Diyinii bii' dahólónígíí nihił béédahózin doo , jó éí , Jesus Christ diné silį́į'go bi'dizhchį́ , daanínígíí Diyin God biNíłch'i Diyinii bii' hólǫ́ .
62:4:003:0	Nidi t'áá háiida , Jesus Christ doo diné silį́į'go bi'dizhchį́į da , dajinínígíí , éí Diyin God biNíłch'i Diyinii hwii' ádin . Nidi Christ bi'ana'í nilíinii biníłch'i t'éí hwii' hólǫ́ . Christ bi'ana'í biníłch'i doogááł ha'níigo dasidoots'ą́'ígíí k'ad t'áá íídą́ą́' nihokáa'gi hólǫ́ .
62:4:004:0	Sha'áłchíní , nihí Diyin God bíí' danohłį́ , áko doo t'áá aaníí át'éégóó nida'nitinii bik'eh dasidoohdlį́į́' , háálá nihiyi' hojílónígíí éí nihokáá' dine'é bitahdi hólónígíí biláahgo áhóodziil .
62:4:005:0	Éí nihokáá' yits'ą́ą́dóó ádaat'į́ , éí bąą nihokáá' dine'é k'ehgo yádaałti' , áádóó nihokáá' dine'é dabidiits'a' .
62:4:002:1	Diyin God éí ayóó'ó'ó'níinii nilį́
62:4:006:0	Nidi nihí éí Diyin God bíí' daniidlį́ . T'áá háiida Diyin God yééhósinígíí danihidiits'a' , nidi Diyin God doo bíí' danilíinii doo danihidiits'a' da . Díí bee t'áadoo bahat'aadí Níłch'i t'áá aaníinii índa níłch'i bina'adlo'ii nihił béédahózin .
62:4:007:0	Ayóó'ánihósh'níinii , haa'íshą' ayóó'áda'áhííníi'níi doo , háálá ayóó'ó'ó'ní éí Diyin God bits'ą́ą́dę́ę́' , áádóó ayóó'ó'ó'níinii éí Diyin God bits'ą́ą́dóó bi'dizhchį́ , áko Diyin God yééhósin .
62:4:008:0	T'áá háiida doo ayóó'á'jó'níinii éí Diyin God doo bééhodzísin da , háálá Diyin God ayóó'ó'ó'níinii nilį́ .
62:4:009:0	Jó , Diyin God biYe' t'ááłá'í bá yizhchínígíí bee dahinii'náa doo biniyé nihokáá' dine'é yitahjį' yiníł'a' . Díí bee Diyin God ayóó'ánihó'nínígíí nihił béédahoozin .
62:4:010:0	Díí éí ayóó'ó'ó'ní bee bééhózinii : nihídóogo Diyin God ayóó'ádeíníi'nínígíí éí dooda , nidi bídę́ę'go ayóó'ánihó'níigo biYe' nihá dadootsaał biniyé yiníł'a'go nihibąąhági át'éii ałtso nihá yóó'iidíí'ą́ .
62:4:011:0	Ayóó'ánihósh'níinii , díigi át'éego Diyin God ayóó'ánihó'níigo , haa'íshą' nihí ałdó' ayóó'áda'ahííníi'níi doo .
62:4:012:0	Diné ts'ídá doo ła' Diyin God yiyiiłtsą́ą da , ayóó'áda'ahííníi'níigo , Diyin God nihiyi' hólǫ́ , áko Diyin God bee ayóó'ó'ó'ni' nihiyi' hadaałt'éego hasht'eelyaa .
62:4:013:0	Diyin God haNíłch'i Diyinii nihaazhníł'a'ígíí bee Diyin God hwii' dahoniidlǫ́ áádóó nihii' hojílǫ́ǫgo nihił béédahózin .
62:4:014:0	Áádóó aYe' nihokáá' dine'é yisdáyiinííł dooleełgo aTaa' biníł'a'ígíí daníil'į́į́' , áko éí baa ch'ídahoyiit'aah .
62:4:015:0	T'áá háiida Jesus éí Diyin God biYe' nilį́įgo bee hadziidziihígíí éí Diyin God hayi' hólǫ́ , áádóó Diyin God biyi' hojílǫ́ .
62:4:016:0	Áko Diyin God ayóó'ánihó'níigo nihił béédahózin áádóó deisiidląąd . Diyin God ayóó'ó'ó'ní át'é , áko ayóó'ó'ó'ní biyi' hojílónígíí , éí Diyin God biyi' hojílǫ́ , áádóó Diyin God hayi' hólǫ́ .
62:4:017:0	Éí lá bee ayóó'ó'ó'ní nihiyi' hadaałt'éego hasht'eelyaa ni , áko ánihwiit'aah beiníłką́ądi doo nitsideiidáa da dooleeł , háálá nihokáa'gi nihí ałdó' t'áá bí át'éhígi ádaniit'é .
62:4:018:0	Ayóó'ó'ó'ní , yéé' bąąh ádin , nidi ayóó'ó'ó'ní hadaałt'éii yéé' baa yóó'ahijeeh . Háálá yéé' atí'él'į́ bił naat'i' , áko bił yéé' hólóonii doo hadaałt'éego ayóó'ó'ó'níi da .
62:4:019:0	Diyin God átsé ayóó'ánihó'níigo bąą ayóó'ádeíníi'ní .
62:4:020:0	Diné ła'da , Diyin God ayóó'óósh'ní , jiníi nidi hak'is jijoołáago , biyooch'íidii jílį́ , háálá éí hak'is t'áá joo'į́į nidi doo ayóó'ájó'níígóó , ha'át'éegoshą' Diyin God doo joo'į́į da nidi ayóó'ájó'níi dooleeł ?
62:4:021:0	Áádóó díí bik'eh ó'oo'níiłii Diyin God bits'ą́ą́dę́ę́' nihee dahazlį́į́' , éí t'áá háiida Diyin God ayóó'ájó'nínígíí hak'is ałdó' ayóó'ájó'níi dooleeł .
