62:2:001:1	Christ nihá na'ak'íyáłti'ii
62:2:001:0	Sha'áłchíní , doo bąąhági ádaaht'į́į da doo , nihósh'níigo díí bee nihich'į' ak'e'ashchí , nidi nihí ła' bąąhági íit'į́įgo ííshją́ą́ Jesus Christ ts'ídá t'áá ákogi át'éii jílíinii , éí Diyin God aTaa' bich'į' nihá na'ak'íyájíłti' .
62:2:002:0	Jó , hó nihá dadziztsánígíí bee nihibąąhági át'éii nihá yóó'azhdíí'ą́ . Doo t'áá nihí t'éiyá nihá dadziztsą́ą da , nidi nihokáá' dine'é t'áá ałtso bibąąhági át'éii bá dadziztsą́ .
62:2:003:0	Diyin God bibik'eh ó'oo'níiłii bik'eh dahoniil'į́įgo , éí bee t'áá aaníí béédahoniilzingo nihił béédahózin .
62:2:004:0	Bééhasin , jiníigo ákondi bibik'eh ó'oo'níiłii doo bik'eh hojíł'į́į́góó , éí biyooch'íidii jílį́ , índa t'áá aaníinii doo hwii' hólǫ́ǫ da .
62:2:005:0	Nidi t'áá háiida Diyin God bizaad bik'eh hojíł'ínígíí éí ts'ídá hadaałt'éego Diyin God ayóó'ájó'ní . Díí bee t'áá aaníí nihił béédahózingo Diyin God bii' dahoniidlǫ́ .
62:2:002:1	Bik'eh ó'oo'níiłii ániidíii
62:2:006:0	Diyin God bii' honishłǫ́ , jinínígíí , Jesus Christ naayá yę́ęgi át'éego joogáał doo .
62:2:007:0	Shik'isóó ayóó'ánihósh'níinii , bik'eh ó'oo'níiłii ániidíii doo bee nihich'į' ak'e'ashchíi da , nidi díí t'áá ałk'idą́ą́' bik'eh ó'oo'níiłii , bik'eh ó'oo'níiłii saad bee hodeeshzhiizhii , t'áá íídą́ą́' dasidoots'ą́ą'ii t'áá éí át'é .
62:2:008:0	Náá'áłdó' bik'eh ó'oo'níiłii ániidíii bee nihich'į' ak'e'ashchíigo át'é , éí t'áá aaníinii hwii' hólǫ́ǫgo nihí ałdó' nihii' hólǫ́ . Háálá chahałheeł yóó'eeldoh áádóó adinídíín t'áá aaníinii k'ad bee hool'in .
62:2:009:0	T'áá háiida hool'ingi naashá , jinínígíí , ákondi hak'is bik'eezhdiniihgo éí t'ahdii chahałheeł bii' joogáałgo át'é .
62:2:010:0	Hak'is ayóó'ájó'nínígíí éí t'áá áłahjį' hool'ingi hojílǫ́ , áko ła'da doo haniinaa didoogoh da .
62:2:011:0	Nidi hak'is bik'eezhdiniihii éí chahałheeł bii' hojílǫ́ , áádóó chahałheeł bii' joogááł , áko joogááłgóó doo hoł bééhózin da , háálá chahałheeł hanáá' íísdįįd .
62:2:012:0	Sha'áłchíní , nihich'į' ak'e'ashchí , háálá Christ bee nihibąąhági ádaat'éii nihá yóó'ahideest'ą́ .
62:2:013:0	Azhé'é danohłíinii , nihí ałdó' nihich'į' ak'e'ashchí , háálá hodeeyáádę́ę́' hojílóonii hwéédahonohsin . Tsíłkéí danohłíinii , nihich'į' ak'e'ashchí , háálá bąąhági át'éii nilínígíí bik'eh dasidoohdlį́į́' . Áłchíní danohłíinii , nihich'į' ak'e'ashchí , háálá Diyin God aTaa' béédahonohsin .
62:2:014:0	Azhé'é danohłíinii , nihich'į' ak'eshéłchį́ , háálá hodeeyáádę́ę́' hojílóonii hwéédahonohsin . Tsíłkéí danohłíinii , nihich'į' ak'eshéłchį́ , háálá danihidziil , áádóó Diyin God bizaad nihii' dahólǫ́ , áko bąąhági át'éii nilínígíí bik'eh dasidoohdlį́į́' .
62:2:015:0	Nahasdzáán bikáá'góó dahólóonii t'áadoo ayóó'ádeínóh'níní , nihokáá' bił nidahazt'i'ii nidi dooda . T'áá háiida nihokáá' bił nidahazt'i'ii ayóó'ájó'nínígíí éí aTaa' bibee ayóó'ó'ó'níinii doo hwii' hólǫ́ǫ da .
62:2:016:0	Háálá nihokáá' bił nidahazt'i'ii t'áá ałtso , ats'íís yidánoolníinii , áádóó anáá' yidánoolníinii áádóó iiná bee ádaa hodzódlíii éí doo aTaa' bits'ą́ą́dę́ę́' ádaat'ée da , nidi nihokáá'dóó ádaat'é .
62:2:003:1	Christ bi'ana'í nilíinii
62:2:017:0	Índa nihokáa'gi dahólóonii áádóó ił bidádahonooníinii t'áá bił yóó'ahodoogááł , nidi Diyin God íinízinii bik'ehgo ájooníiłii éí hool'áágóó hojílǫ́ .
62:2:018:0	Sha'áłchíní , k'adę́ę nihoolzhíísh , Christ bi'ana'í nilíinii doogááł ha'níigo dasidoots'ą́ą́' yę́ęgi át'éego , k'ad nidi Christ bi'ana'í danilíinii lą'í nidahaaskai ; díí bee k'adę́ę nihoolzhíshígíí nihił béédahózin .
62:2:019:0	Nihits'ą́ą́dóó aheeskai , nidi éí doo t'áá aaníí nihíí' danilį́į da , háálá nihíí' danilį́įgo , t'ah nihił naakai doo nít'éé' , nidi éí t'áadoo bahat'aadí doo nihits'ą́ą́dóó danilínígíí béédahodoozįįł biniyé nihits'ą́ą́dóó aheeskai .
62:2:020:0	Nidi Diyin God jílíinii ats'ánihizhnínil áádóó t'áá ałtsojį' nihił ééhodzísin .
