62:3:001:1	Diyin God ba'áłchíní
62:3:001:0	Dooládó' ayóó át'éego aTaa' ayóó'ánihó'níi da lá ! Jó , Diyin God ba'áłchíní danihidi'ní , áko t'áá aaníí éí daniidlį́ . Nihokáá' dine'é t'áadoo hwéédahoosįįdgóó biniinaa nihí ałdó' doo nihéédahósin da .
62:3:002:0	Ayóó'ánihósh'níinii , k'ad Diyin God ba'áłchíní daniidlį́ . Ádaniit'ée dooleełii t'ah doo bééhózin da nidi , Christ nádzáago t'áá bí át'éhígi ádaniit'é dadiidleełgo nihił béédahózin , háálá ázhnoolninígíí nihił béédahodoozįįł .
62:3:003:0	Áko Christ t'áá hó ájít'éhígi át'éego diné t'ááłá'í nítínígo ákót'éego hwee bił chodahoo'íinii bąąhági át'éii bijéí bąąh ádaadingo áda'dólzin .
62:3:004:0	T'ááłá'í jinítínígo bąąhági ádajit'íinii éí bee haz'áanii dayiitíihii dajílį́ ; bąąhági át'éii éí bee haz'áanii hitíihii óolyé .
62:3:005:0	Jesus Christ éí nihibąąhági ádaat'éii nihits'ázhdidoo'ááł biniyé jiníyá áádóó bąąhági át'éii doo hwii' hólǫ́ǫ daígíí nihił béédahózin .
62:3:006:0	T'áá háiida Christ bii' hojílónígíí bąąhági át'éii doo t'áá náás joołt'ih da doo ; t'áá háiida bąąhági át'éii t'áá náás joołt'ihígíí Christ t'ah doo jiiłtséeh da , doo nidi bééhojísin da .
62:3:007:0	Sha'áłchíní , t'ááká ła'da nihi'dóleeh lágo ! Ts'ídá t'áá ákogi ájooníiłii éí Christ ts'ídá t'áá ákogi át'éii nilínígi át'éego ts'ídá t'áá ákogi át'éii jílį́ .
62:3:008:0	Bąąhági ájít'ínígíí éí níłch'i bida'iiníziinii binanit'a'í bits'ą́ą́dę́ę́' hojílǫ́ , háálá níłch'i bida'iiníziinii binanit'a'í éí t'áá hodeeyáádę́ę́' bąąhági áánííł . Diyin God biYe' éí níłch'i bida'iiníziinii binanit'a'í binaanish íidoołdįįł yiniyé níyá .
62:3:009:0	T'áá háiida Diyin God bits'ą́ą́dóó bi'dizhchínígíí bąąhági át'éii doo t'áá náás yoołt'ih da doo , háálá Diyin God yee át'éii bii' hólǫ́ , áko bąąhági át'éii doo t'áá náás joołt'ih le' át'ée da , Diyin God bits'ą́ą́dóó bi'dizhchį́ , éí bąą .
62:3:002:1	Ayóó'áda'ahíínóh'ní
62:3:010:0	Díí bee Diyin God ba'áłchíní índa níłch'i bida'iiníziinii binanit'a'í ba'áłchíní ał'ąą át'éego bee bééhózin : t'áá háiida doo ts'ídá t'áá ákogi ájooníłígíí éí doo Diyin God bits'ą́ą́dóó hojílǫ́ǫ da , áádóó Christ bee hak'is nilíinii doo ayóó'ájó'níinii éí doo Diyin God bits'ą́ą́dóó hojílǫ́ǫ da .
62:3:011:0	Háálá , Ayóó'áda'ahíínóh'ní , ha'níigo ts'ídá átséedi hane' dasidoots'ą́ą́' .
62:3:012:0	Kéin áát'įįd yę́ęgi doo ádeiit'į́į da doo . Jó , Kéin éí níłch'i bida'iiníziinii binanit'a'í bíí' jílį́įgo biniinaa hatsilí jiisxį́ . Ákoshą' ha'át'íí biniinaa hatsilí jiisxį́ ? Jó , t'áá hó doo ákogi ájoonííłgóó biniinaa , áádóó hatsilí éí t'áá ákogi ááníiłgo biniinaa jiisxį́ .
62:3:013:0	Shik'isóó , nihokáá' dine'é danihijoołáhígíí t'áadoo bik'ee nihił adahayóí .
