52:5:001:1	K'eegwaadhat Naaheedyaa Eenjit Shreegadhoh'ąįį
52:5:001:0	Shijyaa nąįį , nijin ji' K'eegwaadhat Jesus nineeheedyaa geenjit nakhwats'ą' ch'adareheentł'oo ts'ą' nakhwaa gwarahaandak geenjit diinaa gwik'it goo'aii kwaa
52:5:002:0	Jii jyaa digwinyąą gwinzii gaakhwandaii geh'an K'eegwaadhat needyaa ji' , nijin ch'ihłee gaa gineeyuulii kwaa gwiizhit , dinjii ch'an'įį tǫǫ neech'ahaan'ik k'it neeheedyaa t'inchy'aa .
52:5:003:0	Nijin dinjii nąįį “ Jii nankat gwik'eerahtii ts'ą' tsinehdan goo'aii , ” ginyąą gwiizhit , khan hee goovaagwigweheetrii nagwahaadhal , tr'injaa tr'iinin haa iłts'ik naanaii k'it . Duuyeh jii googwantrii gwats'an tr'igijyaa t'oonchy'aa .
52:5:004:0	Gaa shijyaa nąįį , jii nankat tr'agwaanduu t'igii'in haa tǫǫ goo'aii k'it t'oonchy'aa gwats'an ǫhłįį kwaa . Ąįįts'ą' zhat drin nijin K'eegwaadhat goorahtee dinjii ch'an'įį k'it nineezhii ji' diinankat gwidinjii nąįį k'it nakhwarahtee t'igweheenjyaa kwaa t'oonchy'aa .
52:5:005:0	Datthak ts'ą' adrii ts'ą' drin haa gwats'an ǫhłįį . Khaa ts'ą' tǫǫ haa gwats'an tr'iinlii kwaa t'oonchy'aa .
52:5:006:0	Ąįįts'ą' t'ee juu iłchųų nąįį k'it t'aroochy'a' shrǫ' , deegweheenjyaa gaagwiindaii kwaa gaa gwik'eerohti' ts'ą' deegwii'in chan gwik'eerohti' .
52:5:007:0	Juu iłchųų nąįį tǫǫ hee giłchųų , ts'ą' juu ch'iinįį nąįį tǫǫ hee ch'igiinįį .
52:5:008:0	Drin gwats'an tr'iinlii geh'an deegwii'in gwik'eerahtii , niveet'ah'in ch'iitsii chyah dril didrihtsii naazhii k'it diigwik'injigwiighit ts'ą' ch'eet'igwiniindhan haa dik'eerahtii geenjit vit'injiraahchy'aa . Vit'eegwijyąhchy'aa neediihahshii geenjit vit'injarahchy'aa , ąįį haa niveet'ah'in goots'eenaraa'aii k'it t'oonchy'aa .
52:5:009:0	Vit'eegwijyąhchy'aa , diinaa gwagwantrii haa khaiinjich'ireheeghit geenjit gwitee tr'idiiniinlii kwaa , gaa K'eegwaadhat Jesus Christ vik'iighai' neereheezhii geenjit .
52:5:010:0	Ąįįts'ą' niriindhat akwat gwarandaii , ji' datthak vaa t'igweheechy'aa ąįį geenjit Jesus diineenjit niindhat t'oonchy'aa .
52:5:002:1	Nats'ąą Vit'eegwijyąhchy'aa Shoo Tr'ahahtsyaa Ąįį Paul Jyaa Dakhwa'in nyąą .
52:5:011:0	Gwandaa gwinzii t'akhwa'in nihtł'ohnyąą ts'ą' t'aih nihts'an ohtsii , ąįį gwik'it t'akhwa'in tseenjyaa nihts'ą' jyaa dakhwa'in .
52:5:012:0	Shijyaa nąįį , it'ee juk juu nakhwatee gwintł'oo gwitr'it t'agwah'in nąįį khadhoo'ee , juu K'eegwaadhat zhit nakhwakhaihkwaii nilii nąįį , ts'ą' tr'agwaanduu t'akhwa'in kwaa nakhwahnyąą nąįį t'aihnyąą .
52:5:013:0	Gwintł'oo gwitr'it t'agwagwah'in geh'an gwintł'oo gookhadhoo'ee ts'ą' gooveenjit ch'eet'igwiniindhan akhwa'įį . Tsinehdan zhit nihłaa t'ohchy'aa .
52:5:014:0	Diijyaa nąįį datthak jyaa goovohnyąą juu tr'agoodiinjik nąįį gwitr'it t'agoh'in goovohnyąą ts'ą' naajat nąįį chan noojat kwaa goovohnyąą , juu vat'aii kwaa nąįį chan ts'ohnyaa ts'ą' juu nąįį datthak haa khadhoochį' kwaa ts'ą' dinjii ǫhłįį .
52:5:015:0	Nakhwatee ch'ihłee dinjii ts'ą' gwiizųų t'iizhik ji' yats'ą' k'eegwiichy'aa t'oo'ya' shrǫ' , gaa khit nihłeenjit ts'ą' juu nąįį datthak haa nakhweeshroonchy'aa .
52:5:016:0	Khit nakhwaa shroonchy'aa ,
52:5:017:0	gweedhaa datthak khagadǫhjii ,
52:5:018:0	Gwiizųų akwat gwinzii haa datthak geenjit Vit'eegwijyąhchy'aa mahsį' vohnyąą , ji' t'ee Christ Jesus k'iighai' Vit'eegwijyąhchy'aa jyaa dakhwa'ya' nakhoonyaa t'oonchy'aa .
52:5:019:0	Vit'eegwijyąhchy'aa Vach'anky'aa Shroodiinyąą nakhwatee tr'agwah'in ąįį goots'į' t'ohchy'a' shrǫ' .
52:5:020:0	Nijin ch'izhii gwik'injiighit nąįį Ch'anky'aa Shroodiinyąą shats'ą' gwigweełkįį ginyąą dąį' akhagavohnyą' shrǫ' !
52:5:021:0	Gaa jidii datthak gwinzii t'iginyąą ji' geenjit gwinzii gooh'in , ąįį gwik'iighai' łyaa t'iginyąą gaahahkhwandaii geenjit , gwinzii t'iginyąą ji' ąįį gǫhtą' .
52:5:003:1	Paul Khaiinkǫǫ Goots'ą' Ch'adąąntł'oo Dąį' Gooveiinyą'
52:5:022:0	Jidii tr'aanduu datthak akhohnyąą , tr'agwaanduu t'iginyąą łee ji' gwik'eegǫhthat shrǫ' .
52:5:023:0	Vit'eegwijyąhchy'aa , tsinehdan gwats'ąnh ąhtsii , ąįį shroodiinyąą datthak nohtsyaa . K'eegwaadhat Jesus Christ nineeheedyaa gwats'ą' nizhin , nanky'aa , ts'ą' natthąį' haa tr'agwaanduu gwitr'it t'agwahah'yaa gwits'į' nat'aii goh'į' .
52:5:024:0	Vit'eegwijyąhchy'aa gwitee tr'anąąhchįį t'ee deehee'yaa nyąą gwik'it t'ihee'yaa t'inchy'aa .
52:5:025:0	Diijyaa nąįį , diineenjit chan khagadǫhjii .
52:5:026:0	Nakhwachaa nąįį gwik'injiighit zhit , nǫh'in dąį' gooyineedohtrat , ts'ą' diineenjit nakhwadivee doonchy'aa goovohnyąą .
52:5:027:0	Jii dęhtły'aa K'eegwaadhat vat'aii k'iighai' nakhwachaa gwik'injiighit zhit nąįį haa nǫh'in .
52:5:028:0	Diik'eegwaadhat Jesus Christ vich'eegoonzhrii nakhwaa oolį' .
