52:4:001:1	Nats'ąą Gǫhdaii Gwik'iighai' Vit'eegwijyąhchy'aa Shoo Hohtsyaa .
52:4:001:0	Ąįįts'ą' t'ee diijyaa nąįį , nats'ąą Vit'eegwijyąhchy'aa shoo hohtsyaa k'it goohǫhdaii geenakhwaroołtin , ts'ą' jyąhts'ą' juk gwik'it gǫhdaii . Juk it'ee K'eegwaadhat Jesus voozhri' k'iighai' tseenjyaa gwandaa gwik'it t'akhwa'in nakhwarahnyąą t'igwinyąą .
52:4:002:0	K'eegwaadhat Jesus jyaa dakhwa'in diinahnyąą gwik'it geenakhwaraahtan t'igwii'in gaakhwandaii .
52:4:003:0	Vit'eegwijyąhchy'aa , shroodiinyąą ǫhłį' nakhwoihnyąą , ąįį geh'an ch'ihłok gaa juu veedhoodii kwaa haa khohchyaa kwaa t'oonchy'aa .
52:4:004:0	Ąįįts'ą' nakhwatthąį' juu veedhoodii kwaa haa tr'oochį' nohthan gwits'į' gwak'ǫǫhtii , shroodiinyąą ts'ą' łi'didlii ky'aa gǫhdaii , jyaa dakhwa'in ji' dinjii nąįį nakhweenjigahah'aa t'oonchy'aa .
52:4:005:0	Juu haa nagwaroo'aa nohthan ąįį gwats'ą' t'ee doo'ya' shrǫ' , juu Vit'eegwijyąhchy'aa haandaii kwaa ts'ą' k'injiighit kwaa nąįį jyaa dii'in gwik'it t'akhwa'ya' shrǫ' .
52:4:006:0	Ąįįts'ą' ch'izhii dinjii nąįį ts'ą' gwiizųų t'akhwa'ya' shrǫ' ts'ą' goo'at haa nagoh'aa shrǫ' , juu jyąhts'ą' vatr'agwaanduu gwanlii nąįį K'eegwaadhat googwahąhshii ts'ą' , ch'adąį' hee jyaa nakhwaraiinyą' t'oonchy'aa .
52:4:007:0	Gwiizųų ch'aanigwirehee'aa geenjit nakwaa gaa shroodiinyąą tr'iheelyaa haa gwinzii adagwarahaandaii geenjit Vit'eegwijyąhchy'aa aanaii shatąįį hinkhaii diinahnyąą t'oonchy'aa .
52:4:008:0	Ąįįts'ą' juu jii jyaa deekhwa'in gwinyąą ąįį gwik'it dinjii nilii kwaa t'ee dinjii geech'ǫąąhtan gwik'eegwahthat t'ii'in kwaa gaa Vit'eegwijyąhchy'aa jyaa dakhwa'yaa nyąą ąįį gwik'eegwahthat kwaa t'igii'in ts'ą' Vit'eegwijyąhchy'aa t'ee Ch'anky'aa Shroodiinyąą nakhwats'an ąhtsii t'oonchy'aa .
52:4:009:0	Vit'eegwijyąhchy'aa ch'adąį' hee nihłeenjit ch'eet'igwiniindhan khwa'yaa geenjit geenakhoołtin geh'an , juk nihłeenjit ch'eet'igwiniindhan khwa'yaa geenjit nakhwats'ą' ch'adaraantł'oo gwit'eegwaahchy'aa kwaa .
52:4:010:0	Ąįįts'ą' diijyaa nąįį , Macedonia nahkat gwizhit datthak juu gwik'injiighit nąįį datthak eenjit ch'eet'igwiniindhan akhwa'įį ąįį tseenjyaa gwandaa jyaa dohchy'aa nakhwarahnyąą t'oonchy'aa .
