52:2:001:1	Paul , Thessalonica Kwaiik'it Gwachoo gwizhit Jidii gwitr'it T'agwah'ya'
52:2:001:0	Diijyaa nąįį , nijin nakhwaatr'aak'į' dąį' deegwehee'yaa goo'aii datthak gwinzii gwik'it t'igwiizhit gaakhwandaii .
52:2:002:0	Thessalonica gwizhit nakhwats'ą' tr'iheedaa gwats'ą' dąį' Philippi kwaiik'it gwizhit diits'ą' giizųų ts'ą' ginjik iizųų haa diits'ą' giginkhii ąįį gaakhwandaii , lęįį nąįį diitąįį neelzhii kwaa googaa nihk'it Vit'eegwijyąhchy'aa t'aih diinantł'eiin'ąįį haa nakhwats'ą' tr'ahaajil ts'ą' Vagwandak Nizįį nakhwaagwaraandak .
52:2:003:0	Gwandak Nizįį nakhwaagwaraandak ąįį zhyaa gweheezųų geenjit t'igwinyąą kwaa ts'ą' tsinteenakhwarahahkaii eenjit t'igwinyąą kwaa .
52:2:004:0	Gaa Vit'eegwijyąhchy'aa doonyą' diinoonyąą gwik'it girinkhii ts'ą' Gwaandak Nizįį eegariinkhii ąįį gwinzii t'igweheenjyaa gaandaii geh'an diinantł'eegwiin'ąįį . Dinjii shoo tr'ahahtsyaa gwik'eegwarandaii t'igwii'in kwaa gaa Vit'eegwijyąhchy'aa diidrii gwinzii vaadha'aii ji' geenjit gwik'it teediidahtii .
52:2:005:0	Nakhwatthąį' heezyaa geenjit nakhwats'ą' ginjik tr'ahtsii t'igwii'in kwaa akwat nakhwalaraa gwiindhan geenjit nakhwats'ą' girinkhii t'igwinyąą kwaa ąįį datthak gaakhwandaii . Vit'eegwijyąhchy'aa łi'didlii haa jyaa digwii'in kwaa diinaandaii t'inchy'aa .
52:2:006:0	Nakhwan akwat ch'izhii dinjii nąįį gwinzii t'akhwa'in diinahąąnjyaa geenjit t'igwii'in kwaa .
52:2:007:0	Christ va-tr'ihił'ee tr'iinlii geenjit gwinlęįį diineenjit jyaa dakhwa'in nakhwarahaanjyaa gaa gwik'it t'igwiinyą' kwaa , ts'ą' nijin nakhwaagwirinch'i' dąį' ch'ahan , diigii tr'iinin tsal khai'gwidlii gwinzii k'ineehahdak k'it t'anakhwarah'ya' .
52:2:008:0	Nakhweenjit gwintł'oo ch'eet'igwiniindhan tr'ii'įį geh'an Vit'eegwijyąhchy'aa vats'an Gwandak Nizįį nakhwaagwaraandak shoo tr'iinlii , ąįį zhrįh nakwaa gaa łyaa gwintł'oo nakhweet'igwiindhan geh'an gwintł'oo nakhwats'aroonyą' gwiindhan .
52:2:009:0	Diijyaa nąįį , nakhwatee gwint'aii gwitr'it t'agwarah'in gaanoondaii . Zhyaa nakhwaa gwireheechy'aa kwaa geenjit drin , tǫǫ haa gwint'aii gwitr'it t'agwarah'in , ąįį nakhwaagwirich'įį gwiizhit Vit'eegwijyąhchy'aa vats'an Gwandak Nizįį eenakhwaarahtan geenjit .
52:2:010:0	Izhit dąį' zhat gwa'an nakhwan gwik'injiighit nąįį datthak nakhwats'ą' shroodiinyąą tr'iinlii ts'ą' diitr'agwaanduu gwakwaa haa nakhwatee gwinzii gwirich'įį , Vit'eegwijyąhchy'aa vaa gwinzii nirilzhii gwik'it diitr'agwaanduu gwakwaa ąįį diinooh'in ts'ą' Vit'eegwijyąhchy'aa chan diinah'in .
52:2:011:0	Nakhwateegwagwąąnchy'aa ts'ą' nats'ahts'ą' ch'iti' , diigii k'ąąhtii gwik'it nakhwak'eeraaht'į' gaakhwandaii .
52:2:012:0	Ąįįt'ee Vit'eegwijyąhchy'aa nats'ąą khit gǫhdaii nakhwoihnyąą gwik'it gahǫhdaii haa shoo hohtsyaa nakhwarahnyąą ts'ą' Veegwinii'ee ch'eegwąhndit zhit vaa hohłyaa geenjit khit nakhwagwik'injigwiighit heent'aii gwik'eegwarandaii gwarahtsii t'igwii'in .
52:2:013:0	Ts'ą' jii geenjit Vit'eegwijyąhchy'aa khit mahsį' varahaanjyaa ąįį akhagoorahoonjyaa kwaa : ąįį nijin geenakhwaraahtan dąį' , diikhwakhai' ginjik tr'ahtsii k'it ninjich'ǫhthat kwaa gaa Vit'eegwijyąhchy'aa vats'an ginjik nilii k'it gwinzii oodhohjik Vit'eegwijyąhchy'aa , łyaa juu gwik'injiighit nąįį datthak zhit tr'agwah'in .
52:2:014:0	Diijyaa nąįį , nakhwanahkat gwizhit gwats'an Vit'eegwijyąhchy'aa vitr'igiinkhii zheh juu Christ Jesus k'injiighit nąįį Jews khaiinjich'agoogahthat gwik'it nakhwant'ee khaiinjich'anakhwagahthat , t'oonchy'aa .
52:2:015:0	Ąįį Jews nąįį t'ee K'eegwaadhat Jesus ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii ts'ą' diikhwan haa diigeełkhwąįį . Łyaa Vit'eegwijyąhchy'aa shoo gahtsii kwaa ! ts'ą' dinjii nąįį datthak ts'į' t'iginchy'aa !
52:2:002:1	Paul chan hee Thessalonian Nąįį Nooł'ya' Yiindhan
52:2:016:0	Jews nilii kwaa nąįį neegeheezhii geenjit Gwandak Nizįį geegoorahtan gwits'į' t'idiigahthan , jyąhts'ą' gwandaa tr'agwaanduu t'igii'in gilii ąįįts'ą' it'ee Vit'eegwijyąhchy'aa googwahąąhshii nigwiindhat .
52:2:017:0	Diijyaa nąįį , nijin ch'ihłee nakhwałeerahoojil dąį' , nakhwaa t'igwinchy'aa kwaa gaa zhit nakhwaninjich'arahthat ts'ą' neenakhwarahaan'yaa geenjit gwint'aii gwik'eegwarandaii .
52:2:018:0	Nakhwats'eerahoojyaa gwiindhan , ts'ą' shįį , Paul nakhwats'eehihdyaa gwinlęįį gwik'eegwihdaii gaa Satan ąįį gwits'į' zhat diinoontą' .
52:2:019:0	Nakhwagwik'injigwiighit niint'aii gaagwiindaii ąįį geenjit shoo tr'iinlii , ts'ą' nijin K'eegwaadhat Jesus Christ nineezhii ji' ąįį gwik'injuhkhit geenjit vandah nakhwashoo tr'ahahłyaa .
52:2:020:0	Aahą' , ąįį geh'an nakhweech'ari'in ts'ą' nakhweenjit shoo tr'iinlii t'oonchy'aa .
