54:3:001:1	Tr'igiinkhii Zheh Gwizhit Ndak Khii Dilk'ii Nąįį
54:3:001:0	Jii it'ee łyaa t'igwinyąą, dinjii tr'igiinkhii zheh gwizhit ndak khii oihłi' nihthan łyaa gwik'it t'ihee'yaa ji' gweheezyaa. 
54:3:002-003:0	Tr'igiinkhii zheh gwizhit dinjii ndak khii nilii ąįį zhyaa gwiizųų vigwitr'it gooli' shrǫ', va'at ch'ihłak zhrįh gweheelyaa, ch'iheenjyaa chan kwaa, khan vik'iigwahaadhak chan kwaa ts'ą' dee'in deenyąą haa gwinzii gwik'eehaahtyaa, dizheh gwizhit aakin haandaii kwaa ji' nihk'it nihdeehahchik, geech'oohąąhchyaa gadhan ch'anahoonį' chan heelyaa kwaa khan vik'iigweheelyaa kwaa, gaa veeshrigweheechy'aa ts'ą' tsinehdan heelyaa, laraa hił'ee heelyaa kwaa. 
54:3:004:0	Da'at digii nąįį haa gwinzii k'eehąąhtyaa gihee'yaa goo'aii, ts'ą' vigii nąįį giiyahah'aa gwizhit giik'eegwahahthat goovahah'yaa. 
54:3:005:0	Da'at digii nąįį gwinzii k'ąąhtii kwaa ji', nats'ąą Vit'eegwijyąhchy'aa vitr'igiinkhii zheh gwik'eehaahtyaa? 
54:3:006:0	Niighit kwaa dąį' gwats'an dinjii gwik'injiighit dhidlit ji' tr'igiinkhii zheh gwizhit ndak khii nilii heelyaa kwaa chan goo'aii. Jyaa dizhik ji' duulee tr'ihkhit ideenjit ninjich'iheedhat heelyaa ts'ą' an heelyaa, ąįį Ch'anky'aa Tr'aanduu deezhik gwik'it. 
54:3:002:1	Tr'igiinkhii Zheh Gwizhit Tr'agwah'in Nąįį.
54:3:007:0	Tr'igiinkhii zheh eh'ok dinjii nąįį gaa giiyeenjit hah'aa goo'aii, jyaanchy'aa ji' voozhri' iizųų heelyaa kwaa ts'ą' Ch'anky'aa Tr'aanduu vigwitr'it zhit heekhaa kwaa eenjit. 
54:3:008:0	Dinjii nizįį gwinzii niinjich'adhat ts'ą' łyaa gwik'it t'iindhan ji' gwizhrįh tr'igiinkhii zheh gwizhit geetr'agwahah'yaa goo'aii. Duuyeh chan gwintł'oo jak chų' giinįį goo'aii, ideenjit gwizhrįh chan ninjich'igiheedhat kwaa goo'aii. 
54:3:009-010:0	Vigwik'injigwiighit łi'didlii gwizhrįh dha'aii łyaa dagwandaii datthak haa hǫǫntą' goo'aii, tr'igiinkhii zheh gwizhit geetr'agogwah'in gagadhan ji' eenjit googahąąh'yaa ts'ą' gagadhan ji' tr'igiinkhii zheh gwizhit gwitr'it t'agogwahah'yaa eenjit gwinzii.
54:3:011:0	Goo'at nąįį chan tr'injaa nizįį giinlii gwinzii niinjich'agadhat giheelyaa ts'ą' łyaa gwik'it t'igiindhan t'igiin'in ji' gwizhrįh gookai' tr'igiinkhii zheh gwizhit gwitr'it t'agwahaah'yaa. Duuyeh chan ch'eegiginkhii goo'aii. Duuyeh chan ch'igiinįį goo'aii ts'ą' jidii datthak eenjit łi'didlii giheelyaa. 
54:3:012:0	Va'at ch'ihłak zhrįh chan hee'yaa goo'aii, da'at, digii nąįį haa gwinzii k'eehąąhtyaa chan goo'aii. 
54:3:003:1	Gwit'eh Goo'aii Gwihil'ee Gwachoh
54:3:013:0	Juu gwinzii vigwitr'it gwanli' nąįį gwinzii nagadhat idigeenjit gaayiigahaahtsyaa ts'ą' Christ Jesus eenjit gwik'injigwiighit gii'įį, ąįį tee haa nigiheedhat. 
54:3:014:0	Jii dęhtły'aa nats'ą' ałtsii gwiizhit łyaa neenoihshi' ts'ą' khan nooł'ya' nihthan. 
54:3:015:0	Gaa gwik'it goodlit kwaa ji' jii dęhtły'aa zhit nats'ąą gwik'it Vit'eegwijyąhchy'aa vizhehk'aa gwizhit dinjii tr'iheelyaa goo'aii geenaagwahaldak, ąįįt'ee Vit'eegwijyąhchy'aa khit gwandaii vitr'igiinkhii zheh t'oonchy'aa, ąįį vik'iighai' t'ee gwinzii k'iidak goo'aii ts'ą' łi'didlii ootą'. 
54:3:016:0	Gwik'iinjirighit gwizhit deegwahtł'oo gwihil'ee goo'aii, ąįį geenjit gwit'eh goo'aii izhit geenjit duuyeh łi'deegwidlii kwaa gwinyąą.Dinjii nilii ts'ą' gwizhrįh niinzhiiCh'anky'aa Shroodiinyąą chan łi'haa łi'didlii yahnyąą,zheekat gwich'in nąįį chan yąąh'ya'.Jii nankat an-nihłik dinjii gwich'įį nąįįdatthak ts'ą' veenjit geech'arǫąąhchya'.Jii nahkat datthak giik'iinjiindhat,ąįįtł'ęę zheekat gwits'eehoozhii.
