54:6:001:1	Slaves Nąįį Deegoorahnyąą Gwik'eegoogwahthat
54:6:001:0	Slaves nilii nąįį, juu goots'ą' k'eedeegwaadhat nąįį eenjit giiyahah'aa goo'aii, jyąhts'ą' ji' geech'arǫąąhtan gwizhit akwat Vit'eegwijyąhchy'aa voozhri' zhit gwiizųų geegireheehkhyaa kwaa eenjit. 
54:6:002:1	Oots'it Haa Geech'ǫąąhtan Nąįį, Laraa Zhrįh Ininjich'agahthat
54:6:002:0	Zhit juu goots'ą' k'eedeegwaadhat gwik'iinjiighit ji' duuyeh gwintsal gwizhrįh giiyeenjit hił'ee goo'aii, gavoondee akwat goochaa nilii geh'an. Łyaa gwinzii gooveegwitr'it t'agogwahah'yaa goo'aii. Juu ch'andaa gwinzii tr'agwah'in nąįį t'ee gwik'iinjigiighit ts'ą' zhit juu goots'ą' k'eedeegwaadhat ch'andaa gooveet'iindhan t'oonchy'aa.Łyaa jii kwaii datthak geenjit geech'oohąąhchyaa goo'aii. 
54:6:003:0	Juu oots'it haa geech'ǫąąhtan ts'ą' Diik'eegwaadhat Jesus Christ viginjik łi'didlii ąįį gwik'iinjiighit kwaa ts'ą' jidii diitr'igiinkhii zheh gwizhit geerǫąąhtan gwik'iinjiighit kwaa t'ee 
54:6:004:0	gwihil'ee idininjich'aadhat ts'ą' tr'igwinjik. Vit'eegwijyąhchy'aa viginjik zhyaa k'ii'an ehk'aa hee eeginkhii ts'ą' dinjii nąįį zheedąąn'ee ts'ą' veh'an dinjii nąįį nihtr'igii'ee, nihłik'iinjigiighit kwaa, tr'eedeenihłagaajyaa, ts'ą' gwiizųų gwizhit nihts'ą' nagogoolii, ts'ą' 
54:6:005:0	juu gwinzii vaagoo'aii kwaa ts'ą' gwik'iinjiighit kwaa dhidlit nąįį chan dinjii gweedhaa datthak izheedagąąn'ee. Gwik'iinjirighit ji' diilaraa gweheelyaa giindhan. 
54:6:006:0	Akwat t'ee, dinjii gwik'iinjiighit t'ee valaraa gwanlii k'it nihk'it t'igwiichy'aa, jidii di'įį haa veenjit gwinzii ji'. 
54:6:007:0	Diigwanlii dąį' jidii adahaa k'eera'ak? Ch'akwaa! Niriidhat ji' jidii adahaarehee'aa? Ch'akwaa! 
54:6:008:0	Shih akwat gwach'aa haa tr'ii'įį ji', ąįį zhrįh gaa nizįį t'inchy'aa. 
54:6:009:0	Juu shalaraa gooli' niindhan nąįį laraa gihee'yaa eenjit ninjigwaroozhii zhrįh giindhan ts'ą' gwiizųų gwizhrįh googwitr'it gwanlii, gwiizųų gwizhrįh niinjich'agadhat ts'ą' jyąhts'ą' t'ee an gilik. 
54:6:003:1	Paul Ąįį Timothy Jyaa Ni'in Ahnyąą
54:6:010:0	Dinjii laraa zhrįh eet'iindhan dąį' jidii gwiizųų datthak yeh'an t'ii'in. Dinjii lat nąįį łyaa gwintł'oo laraa gihił'ee ts'ąįį gwik'iinjigiighit akhagagoonjik ts'ą' ąįįtł'ęę gwinlęįį geenjit tr'igwidii adats'an googwaatsik. 
