33:1:001:1	Samériya áádóó Jerúsalem baa chahasin
33:1:001:0	Jótham áádóó Éíhaz índa Hezekéíyah éí Júdah dine'é aláahgo yinanit'a'í danilį́įgo yoołkááł yę́ędą́ą́' Móreshethdóó dine'é Máíkah éí Samériya áádóó Jerúsalem át'éii bídéét'i'go Bóhólníihii kóníigo yidiizts'ą́ą́'. 
33:1:002:0	Ał'ąą dine'é t'áá ánółtso, da'doohts'į́į́h; nahasdzáán nílíinii índa t'áá ałtso niyi' dahojílóonii, da'jółts'ą́ą' doo; Bóhólníihii Diyin God bikin bii' sohodizin hodiyingo haz'ą́ą́dóó bíni' nihainít'įįh. 
33:1:003:0	Áádóó Bóhólníihii bił haz'ą́ą́dę́ę́' ch'íhodooleełgo nahasdzáán bikáá' wódahgo nahaz'ą́ąjį' hadahodooleełgo yik'i nidoogaał, jó'akon. 
33:1:004:0	Kǫ' bíighahgi ak'ahkǫ' si'ą́ągo dííłhį́'ígíí nahalingo daadził biyaajį' dadidoołhįh, índa dahoníts'aa' góyaa tó yajiinilgo bikooh hats'ózí dahazlį́'ígíí nahalin doo. 
33:1:005:0	Háálá Jéíkab dine'é bee haz'áanii dayiizti'ígíí éí Ízrel dine'é yee ádił ni'iisí'ígíí t'áá ałtso biniinaa át'é. Ha'át'íísh yee Jéíkab bee haz'áanii yiyiizti'? Samériya lą́ą. Ha'át'íísh éí Júdah kéyahgi ninádahałaah doo biniyé wódah nahaz'ą́ągo ályaaígíí át'é? Jerúsalem lą́ą. 
33:1:006:0	Éí bąą Samériya éí dzígaigi yanáalk'idgo ákwii ch'il na'atł'o'ii k'éédadilyéeh doo índa tsé bee daakin honíts'aa' góyaa ahideesiłgo atł'ááh nídaastł'inii yit'íní dadooleełgo áhodeeshłííł. 
33:1:007:0	Áádóó eda'alyaii t'áá ałtso hasht'e'nidaashk'aazhii dadidoolzéí, áádóó bik'é nijishnishii t'áá ałtso adidoolk'ą́ą́ł, índa eda'alyaii daahóhígíí nideeshbéezhgo ádeeshłííł, áko ałjiłnii baa daha'níiłgo bee shódaozt'e'ii náánáła' chonáádayooł'į́į doo. 
33:1:008:0	Éí bąą shiyid nánísts'ingo atínídinishdleehgo dishwoshgo yishcha doo; shitsį' aheshgéeshgo áádóó t'áá łichí'ígo mą'ii índa ná'áshjaa' yínííł danilį́įgo ádaaní nahalingo yishcha doo. 
33:1:009:0	Háálá tídílyaii t'áadoo bidééłníní da índa Júdah baa hoolzhiizh k'ad; shidine'é bił yah e'etiingi éí Jerúsalemjį' niníyá. 
33:1:010:0	Gathgi doo baa ch'íhodíí'áał da; t'áadoo nichaí doo; Áfrah dine'é bitahgi łeezh dibahí bii' nidíímas. 
33:1:011:0	Séífer kin shijaa'gi kéédahat'íinii t'áá łichí'ígo t'óó nihaa yáhásingo nihighan bits'ą́ą́' dah doohkááh; Zéíyanan kin shijaa'gi kéédahat'íinii doo ch'íkáah da; Beth-íízel dine'é yéego daachago biniinaa hasih haz'áanii nihits'ą́ą́' nídidoolyééł. 
33:1:012:0	Háálá Méírath kin shijaa'gi kéédahat'íinii bá yá'át'ééh hodooleeł k'adę́ę dayiiłtséehgo yiba' ádaat'éé nít'éé', háálá Jerúsalem bich'é'étiinjį' Bóhólníihii bits'ą́ą́dę́ę́' doo yá'áshóonii ahóóle'. 
33:1:013:0	Léíkish kin haal'áadi kéédahoht'íinii, nihitsindaabąąs bijáád naakiígíí éí łį́į́' dilwo'ii bighą́ą́h dadohnííł; Záíyan bich'é'é ádił ni'iidzííh bee deezt'i'ii nilį́, háálá Ízrel dine'é bee haz'áanii dayiizti'ii nits'ą́ą́dóó bee bééhoozin. 
33:1:014:0	Éí bąą Móresheth-gath ba'díílééł; Ákzib dine'é éí Ízrel dine'é aláahgo binanit'a'í danilíinii deinó'áah doo. 
33:1:015:0	Ákohgo Marííshah kin haal'áagi kéédahoht'íinii nihił ałts'ą́ą́' ałk'iiz dooleełii nihaa deesłóós; éí Ízrel dine'é binaat'áanii nilíinii Adálam kin haal'áajį' adoogááł. 
33:1:016:0	Niha'áłchíní nihił nida'íshǫǫhii dabi'disnáago nihits'ą́ąjį' kólyaago biniinaa nihitsii' daohshééh; jeeshóó' bitsiits'iin dilkǫǫhígi át'éego áda'doołnééh.
