44:15:001:1	Jerúsalemgi áłah azlį́į́'
44:15:001:0	Nidi diné léi' Judíyadę́ę́' yíkaigo ałk'isóó danilíinii nideinitingo ádaaní, Mózes yee has'áanii bik'ehgo doo nihąąh nídahineeshgizhgóó doo yisdádahohkááh át'ée da. 
44:15:002:0	Áko Paul índa Bárnabas, éí ayóó át'éego bił ałghadazh'dit'áahgo bił na'ahíyádadzisti', áko Paul áádóó Bárnabas índa náádaała' éí daal'aadii áádóó da'oodlání yá aląąjį' naazíinii Jerúsalemdi naháaztánígíí díí áhodoo'niidígíí baa nídazhdóot'įįł biniyé ákǫ́ǫ́ jidookahgo nídahodiinil. 
44:15:003:0	Áko da'oodlání áłah nádleehii dah dahodiił'a'go dashdiikai, áádóó doo Jew dine'é danilíinii Bóhólníihii yich'į' dah dahidiikaígíí baa dahojilne'go, Finííshiya índa Samériya kéyah biyi'góó ch'íjíkai, áko ałk'isóó danilíinii t'áá íiyisí bił dahojííshǫǫd. 
44:15:004:0	Jerúsalemgi jíkaigo da'oodlání áłah nádleehii índa daal'aadii áádóó da'oodlání yá aląąjį' naazíinii bił dajílį́įgo baa jíkai, áko Diyin God hanahjį' yaa naayáhígíí t'áá ałtso baa nidahodzisne'. 
44:15:005:0	Nidi da'oodlání ła' Férisii yich'ijí danilį́į́ nít'éé' yę́ę nídahidii'néehgo ádadííniid, Ts'ídá t'áá nihąąh nídahinilgish doo, índa Mózes yee has'áanii bik'eh dahonoł'į́į doo, bidi'doo'niiłgo ts'ídá bohónéedzą́. 
44:15:006:0	Daal'aadii índa da'oodlání yá aląąjį' naazíinii díidí yaa nídadóot'įįł biniyé ahíikai. 
44:15:007:0	Áko t'áá łą́ą́góó saad hazlį́į'go, Peter nídii'na'go áhodííniid, [Shahastóí áádóó] shik'isóó, nihił béédahózingo doo Jew dine'é danilíinii hane' yá'át'éehii deididoots'į́į́ł índa da'iidoodląął biniyé t'ah ałk'idą́ą́' nihitahdóó Diyin God náshidiiłtį́. 
44:15:008:0	Áádóó Diyin God éí diné bijéí ádaat'éegi bił bééhózinii, Níłch'i Diyinii nihaidiní'ánígi át'éego éí ałdó' yeidiní'ą́ągo Diyin God bił yá'íít'éhígíí hach'į' ííshją́ą́ áyiilaa. 
44:15:009:0	Doo bił ał'ąą ádaniit'éégóó ánihiilaa, nidi bi'oodlą' bee bijéí doo bąąh daachinígóó áyiilaa. 
44:15:010:0	Éí bąą k'ad ha'át'íí biniyé Diyin God nabídanohtaah, danihizhé'é yę́ę áádóó nihí ałdó' doo bídaniil'áanii baa nahonitł'aii, éí ídahooł'aahii bide ádaat'éego ádaahłééh. 
