44:25:001:1	Síízar shaa nídóot'įįł, níigo Paul ná'ookąąh
44:25:001:0	Féstas kéyahgi níyáádóó táá' yiską́ągo Sesaríyadóó Jerúsalem góde ííyá. 
44:25:002:0	Áko aláahgo nááda'iiłniihii índa Jew dine'é bitahdóó alááh dahideezíinii Paul yee yaa nídaat'íinii yee hoł dahoolne' áádóó nídahooskango, 
44:25:003:0	Jerúsalemjį' Paul jidoogáałgo háká i'dííł'aał t'áá shǫǫdí, deidííniid, nidi t'áá bita'gi yaa nihidookahgo deidiyoołhéełgo yiniyé ádaaní. 
44:25:004:0	Nidi Féstas haadzíi'go ání, Paul t'áá Sesaríyadi baa áháyą́ą dooleeł, áko shí t'áá hahí ákóyaa déyá. 
44:25:005:0	Éí bąą nihitahdóó diné bídahólníhígíí ákóyaa bił deeshkahgo, éí diné doo ákǫ́ǫ́ át'į́į́ ládą́ą́', bíni'dii yee asiihígíí yee yik'i dahodidoo'ááł jidííniid. 
44:25:006:0	Áádóó t'áadoo tseebíí, doodaii' neeznáá daats'í hwiiłkaahí, Sesaríya góyaa jiníyáago, biiskání bikáá'dóó ánihwiit'aah bikáá' dasneezdáago, Paul nídoohłóós, jidííniid. 
44:25:007:0	Áko Paul niho'deedlóozgo Jerúsalemdę́ę́' Jew dine'é neheeskaígíí dabidziilgo hak'i dahodii'aahii lą'í yee yádaałti'go hanaagóó naazį́, nidi t'áadoo yee t'áá aaníí ádayóle'é da. 
44:25:008:0	Paul ádík'i hazdoodzíi'go ájíní, Jew dine'é bibee haz'áanii índa kin bii' sohodizin, áádóó Síízarda, t'áadoo ha'át'éegoda bich'į' bee ádąąh dah hosist'ą́ą da. 
44:25:009:0	Nidi Féstas, éí Jew dine'é yił dahodooshǫǫł biniyé Paul yich'į' haadzíi'go ání, Da' Jerúsalem gódeésh díínáałgo áadi díidí shinááł bee naa náhódóot'įįł? 
44:25:010:0	Nidi Paul ádííniid, Síízar einít'į́įdi shaa náhódóot'įįłgo sézį́, t'áá shaa náhódóot'įįł bá haz'ą́ągi, háálá t'áá íiyisí nił bééhózingo Jew dine'é bich'į' doo bąąhági ásdzaa da. 
44:25:011:0	Ákondi doo aaníígóó ásdzaago, áádóó biniinaa dadeestsaałii áshłaago, dadeestsaałgi dooda, doo dideeshniił da, nidi díí yee shik'ídaha'áhígíí t'ááłá'í nidi doo t'áá aaníígóogo, diné doo ła' Jew dine'é yich'į' nináshididoo'áał dago haz'ą́. Síízar éí shaa nídóot'įįłgo baa ná'ooshkąąh. 
44:25:002:1	Agrípa índa Bernáísii bidááhdę́ę́' Paul niidlóóz
44:25:012:0	Ákohgo Féstas bił nidahoji'áhígíí éí bił baa nídadzist'įįdgo Paul ábijiní, Síízar shaa nídóot'įįł, dííníniidgo Síízar bich'į' díínááł. 
44:25:013:0	Áádóó bik'ijį' t'áá díkwíí yiską́ągo, Agrípa aláahgo naat'áanii nilínígíí, índa Bernáísii éí Féstas k'é yididooniił biniyé Sesaríyagi ní'áázh. 
44:25:014:0	Áko t'áá ákwii sikéego lą'í yiską́, nít'éé' Féstas, éí Paul yeinít'íinii aláahgo naat'áanii bidááhdę́ę́' niinínil kóníigo, Fííliks éí diné léi' t'áá awáalyaa sidáago áyiilaa, 
44:25:015:0	áko Jerúsalemdi naashá yę́ędą́ą́', aláahgo nááda'iiłniihii índa Jew dine'é yá aląąjį' naazíinii hwee shił dahoolne'go, Haa nídíít'įįłgo há nihodíí'ááł, dashidííniid. 
44:25:016:0	Bik'i hodiit'áanii índa ak'i dahodii'áanii t'áadoo ałch'į' nii'níłí, áádóó bik'i hodiit'áanii ák'i hadidoodzihgi t'áadoo bá ashja'aléhí, diné ninádidoot'áałgi Rome dine'é doo yee nahas'ą́ą da, dishní. 
44:25:017:0	Éí bąą kwe'é neheeskaigo, biiskání t'áadoo t'ah hwiindziní, bikáá'dóó ánihwiit'aahii bik'i dah nédáago, Éí diné bił yah oohkááh, dííniid. 
44:25:018:0	Ákohgo hak'i dahodii'aahii haniyé nídiijée'go bąąhági ádaat'éii daats'í yee hak'ídahodoo'ah niizį́į́' nít'éé', t'áadoo ła' yee hadaasdzíi' da, 
44:25:019:0	nidi t'áá bí bindahagha' bídadéét'i'ii biniinaa, índa Paul éí ła' Jesus yolyéii daaztsą́ą́ nít'é'ígíí t'ahdii hiná níigo ałdó' biniinaa hoł ałgha'da'dit'ááh lá. 
44:25:020:0	Éidí bee haa hwiinít'íinii nideeshkahgi doo shił bééhózingóó, Da' Jerúsalem gódeésh díínáałgo áadi bee shaa náhódóot'įįł nínízin? hodííniid. 
44:25:021:0	Nidi Paul aláahgo naat'áanii shaa nídóot'įįł nínígíí biniyé bi'dótą' doogo yaa ná'ooskan, éí Síízar bich'į' ahóół'a'jį' ho'dótą' dooleełígíí bee hooł'a'. 
44:25:022:0	Nít'éé' Agrípa éí Féstas áyidííniid, T'áá shí ałdó' éí diné yáłti'go jidoots'ą́ą́' laanaa nisin. Áko Féstas ání, Yiską́ągo yájíłti'go hodidííts'į́į́ł. 
44:25:023:0	Áko biiskání, Agrípa índa Bernáísii, ayóó át'éego baa dzólníigo ní'áazhgo aa hwiinít'į́į́ góne' siláo aląąjį' bindanit'a'í índa kin haal'áádóó diné alááh dahideezíinii yił yah aakai. Índa Féstas bizaad k'ehgo, Paul yił yah adaaskai. 
44:25:024:0	Áko Féstas ání, Agrípa aláahgo naat'áanii nílíinii, áádóó nihił haoł'áhígíí t'áá ánółtso, díí hastiin dahonół'ínígíí, Jerúsalemdi índa kwe'é, Jew dine'é t'áá yíl'áá nít'éé' há nihodeesh'áałgi yaa nídasooskango, náásgóó doo jiináa da dooleełgo dadilwosh. 
44:25:025:0	Nidi biniinaa dazdootsaałii doo ła' ájiilaa da lágo shił bééhoozin, áádóó t'áá hó, ts'ídá aláahgo naat'áanii shaa nídóot'įįł, jiníigo ní'dzooskango, ákǫ́ǫ́ hodeesh'aał niizį́į́'. 
44:25:026:0	Nidi íiyisí bee haa ch'íhodeesh'áałgo shinanit'a'í bee bich'į' ak'e'deeshchíiłii éí t'áá ádin. Éí bąągo nihidááhdę́ę́' nihonílóóz, Agrípa aláahgo naat'áanii nílíinii, ni íiyisí nidááhdę́ę́' nihonílóóz, áko nidahódéelkidóó bik'ijį' bééhózingo bee ak'e'deeshchíiłii hólǫ́ǫ doo. 
44:25:027:0	Háálá diné awáalyaa sidáhígíí, bee bik'i hodiit'áanii t'áadoo bééhóziní deesh'aałgi, doo shił beełt'ée da.
