44:18:001:1	Kórinthgi Paul naaghá
44:18:001:0	Éí bik'ijį' Paul éí Áthenzdóó dah diiyáago Kórinth hoolyéedi níyá. 
44:18:002:0	Ákwii Jew dine'é ła' Ákwila yolyéé léi' Pántas dine'é nilį́įgo bik'ízhníyá, éí Kládiyas Jew dine'é Romedóó ch'ídahohnééh yidííniidgo biniinaa Ítalidę́ę́' t'áá ániidígo be'asdzą́ą́ Prisíla yił ní'áázh lá. Áko baazhníyáago 
44:18:003:0	naanish t'ááłá'íígíí hanaanish danilį́į́ léi' t'áá ákwii ba'ałk'ee dzizdáago nidajishnish, háálá níbaal ííł'íní dajílį́. 
44:18:004:0	T'áá háá'áyį́į́h jį́ ná'ádleeh bik'eh kin bii' áłah ná'ádleeh góne' bighazhdit'áahgo Jew dine'é índa Gríik dine'é da'oodlą́ą dooleełgo bíni' bá ádahojiilaa. 
44:18:005:0	Sáílas áádóó Timothy éí Masedóniyadę́ę́' ní'áazhgo, Paul t'áadoo áhozdiilzéhí, Jesus éí Christ nilį́, jiníigo Jew dine'é bił nahojilne'. 
44:18:006:0	Nidi hats'ą́ąjį' naastee' áádóó daha'į́įgo ha'éé' bich'į' jíígháadgo ábizhdííniid, Danihidił t'áá nihí bá ninádínóohdah! Shí éí doo bá ninádeeshtłish da. K'ad kodóó doo Jew dine'é danilíinii bitahgóó dah dideeshááł. 
44:18:007:0	Áko áádóó dashdiiyáago, diné léi' Táítas éí Jústas ałdó' yolyéhígíí bighangi yah ajííyá, éí Diyin God yidísinii nilį́į́ lá; kin bii' áłah ná'ádleehí bíighahgóó bighan si'ą́. 
44:18:008:0	Kríspas, áłah ná'ádleehgo á dah nánídaahígíí éí Bóhólníihii yoosdląąd, bighandóó danilíinii ałdó' t'áá ałtso, áádóó Kórinth dine'é lą'í Paul deidiizts'ą́ą'go da'oosdląądgo tó bee dabi'doolzį́į́'. 
44:18:009:0	Áko tł'ée'go Paul bił áhát'į́įgo Bóhólníihii ábidííniid, T'áadoo náníldzidí áádóó t'áadoo áhodiilzéhí yáníłti', 
44:18:010:0	háálá nił honishłǫ́, áko diné ła' doo nik'iidoolwołgo atíndoolíił da, háálá díí kin haal'áagi diné shíí' danilíinii t'óó ahayóí. 
