44:5:001:1	Ananáíyas áádóó Safáíra
44:5:001:0	Nidi diné ła' Ananáíyas joolyéii hwe'asdzą́ą́ Safáíra yolyéego bił nizhdilt'éego hakéyah ła' haa nahaaznii', 
44:5:002:0	áko éí bą́ą́h azlį́'ígíí hwe'asdzą́ą́ t'áá bił bééhózingo ła'jį' ádá áádzísįįd, ła'jį' éí jiníjaa'go daal'aadii biyaajį' nizhnínil. 
44:5:003:0	Nidi Peter áhodííniid, Ananáíyas, ha'át'éegoshą' Níłch'i Diyinii díníí'ah biniyé níłch'i bida'iiníziinii binanit'a'í Séítan yolyéii níni' ná áhoolaago, kéyah bą́ą́h azlį́'ígíí ła'jį' ádá áásínísįįd? 
44:5:004:0	T'ah doo naa nahaniih yę́ędą́ą́', éí ni nít'éé' ya'? Naa nahaaznii'dóó bik'ijį' béeso ałdó' bee níhólnííh nít'éé' ya'? Ha'át'íí biniyé díí íinidzaaígíí bee nijéí bii' bąąh tsídíníkééz? Doo diné nííní'aa' da, nidi Diyin God nííní'aa'. 
44:5:005:0	Ákohgo Ananáíyas díí jidiizts'ą́ą'go, naa'ajíígo'go hajííyol. Áko t'áá ájít'é díí dajíínii'go t'áá íiyisí bik'ee hoł yéé' dahazlį́į́'. 
44:5:006:0	Áádóó tsíłkéí ła' hoł da'azdisgo ch'ídahastį́įgo yóó'ádahoolaa. 
44:5:007:0	Áádóó díí áhoodzaaígíí hwe'asdzą́ą́ doo bił bééhózingóó, táadi daats'í ahéé'ílkidgo ákwe'é níyá. 
44:5:008:0	Áko Peter hach'į' haadzíi'go ání, Shił hólne', da' nihikéyahásh kohgo bą́ą́h ílį́įgo nahoołnii'? Áko ájíní, Aoo', ákohgo lą́ą. 
44:5:009:0	Nidi Peter áháłní, Ha'át'éegoshą' Bóhólníihii biNíłch'i bídínóohtahgo ahadi'nooht'ą́? Jó'akon, nahastiin yę́ę yóó'ádayiilaaígíí tł'óó'dę́ę́' bikédil dadiits'a', áko ni ałdó' ch'ídandoołtééł. 
44:5:010:0	Nít'éé' t'áá áko hayaajį' naa'ajíígo'go hajííyol. Áádóó tsíłkéí yah aakai, nít'éé' dadziztsą́ą́ lágo dahoołtsą́, áko ch'ídahastį́, áádóó hahastiin yę́ę bíighahgóó łeeh dahastį́. 
