44:21:001:1	Paul éí Jerúsalemjį' deeyá
44:21:001:0	Áko áádóó bits'ą́ą́' dah da'diil'éelgo, Kó'as hoolyéejį' t'óó k'ídahosiildǫǫdgo biiskání Róodzjį' niikai áádóó Pátara hoolyéedi nihił aní'éél. 
44:21:002:0	Áko tsinaa'eeł ła' Finííshiyagóó ha'naa deez'éél léi' bik'íniikai, áko biih yiikaigo nihił dah adii'éél. 
44:21:003:0	Kéyah Sáípras yit'į́ silį́į'go shádi'ááhjígo bíighah ch'ídasiil'éél, áko kéyah Síriya hoolyéejį' nihił aní'éelgo tábąąhgi Táir kin haal'áhígi hadeiikai, háálá ákwe'é tsinaa'eeł biyi'dóó hééł bidahidoo'nił lá. 
44:21:004:0	Áadi ídahooł'aahii ła' bik'íniikaigo ákwe'é tsosts'id danihiiską́. Éí Níłch'i Diyinii bik'ehgo Paul ádeidííniid, Jerúsalemgóó doo díínáał da. 
44:21:005:0	Ákwe'é tsosts'id danihiiską́ągo dah náádiikai, áádóó ídahooł'aahii t'áá ałtso, be'asdzą́ą́ áádóó bada'áłchíní t'áá bił éí kin haal'áádóó nihił ch'ékai, áko tábąąhgi nitsidadiniigo'go, sodadiilzin. 
44:21:006:0	Áádóó, Diyin God nihił hólǫ́ǫ doo, da'ahidii'niidgo nihí tsinaa'eeł biih yiikaigo, bí éí dabighangóó dah nídahidiikai. 
44:21:007:0	Táirdę́ę́' Talaméíyisjį' nihił ni'ní'éél, áko ałk'isóó danilíinii bił k'é da'ahidii'niidgo bił naháatą́ągo ła'a jį́ azlį́į́'. 
44:21:008:0	Biiskání Paul bił neikaígíí Sesaríyajį' niikai, áko Philip, hane' yá'át'éehii yaa halne'ii bighan góne' yah iikaigo ba'ałk'ee naháatą́ą́ nít'éé', Philip éí diné tsosts'idgo nídadii'nilii ła' át'į́. 
44:21:009:0	Éí bitsi'ké dį́lt'éego t'ah doo diné bee dahaleehii danilį́į́ lá, éí Diyin God yá dahalne' lá. 
44:21:010:0	T'áá ákwe'é naháatą́ągo lą'í yiską́, áko Judíyadę́ę́' Diyin God yá halne'ii léi', Ágabas yolyéego ákwe'é níyá. 
44:21:011:0	Áko nihaa níyáago, Paul biziiz néidiiláago t'áá bí bikétsíín índa bíla' yee ye'aztł'ǫ́ǫgo ání, Níłch'i Diyinii kóní, Díí sis t'áá nijiléhígíí Jerúsalemdi Jew dine'é kót'éego hoda'dootł'óołgo doo Jew dine'é danilíinii yílák'ee dahodoołtééł. 
44:21:012:0	Díidí dasidiits'ą́ą'go, nihí lá índa ákwe'é kéédahat'ínígíí ałdó', Jerúsalemgóó doo díínáał da, Paul ch'ééh dabidii'níigo ch'ééh nídeisiikan. 
44:21:013:0	Nidi Paul haadzíi'go ání, Ha'át'íísh biniyé daahchago shijéí ti'dabiyołnííh? Háálá Jerúsalemdi doo t'óó dashidi'yootł'ółígíí t'éiyá biniyé hasht'e'í'diishyaa da, nidi Bóhólníihii Jesus bízhi' bá dadeestsaałígíí ałdó' biniyé hasht'e'í'diishyaa. 
44:21:014:0	Áko doo bagha'dót'ááł át'éégóó niiltee'go nihí t'óó dadiilyeelgo ádadii'niid, Bóhólníihii yee íinízinii bohodoolnííł. 
