44:4:001:1	Peter áádóó John éí diné ándaha'áii bidááhdę́ę́' nizh'ní'áázh
44:4:001:0	Diné t'ah bich'į' yájíłti'go, nááda'iiłniihii índa kin bii' sohodizin bił haz'ą́ągi siláo binanit'a'í áádóó Sádjusii danilíinii hach'į' niikai, 
44:4:002:0	háálá, Daneeznáanii Jesus yee náádidoojah, jiníigo diné nazneeztą́'ígíí t'óó yá dadoosnih. 
44:4:003:0	T'áá áko i'íí'ą́ągo biniinaa, t'óó dahoołtsoodgo hoos'įįdjį' awáalyaa góne' yah adahaznil. 
44:4:004:0	Nidi lą'í saad deidiizts'ą́'ígíí da'oosdląąd, áko da'oosdląądígíí ashdladi mííl daats'í yilt'é silį́į́'. 
44:4:005:0	Biiskání diné yinanit'a'í danilíinii áádóó diné yá aląąjį' naazíinii índa bee haz'áanii yínda'niłtinii Jerúsalemgi áłah silį́į́'. 
44:4:006:0	Aláahgo náá'iiłniihii Ánas áádóó Kéíyafas índa John áádóó Alezáander, índa aláahgo náá'iiłniihii bik'éí danilíinii t'áá ałtso ałdó' yił áłah silį́į́'. 
44:4:007:0	Áko áłah silį́'ígíí biníi'gi nidahazh'eezhgo, Ha'át'íí bee adziilii shį́įshą', índa háishą' bízhi' binahjį' díí baa nishoo'áázh? daaníigo nidahódééłkid. 
44:4:008:0	Áko Peter, Níłch'i Diyinii bii' hadeezbingo, hach'į' haadzíi'go ání, Diné binanit'a'í danohłíinii áádóó Ízrel dine'é bá aląąjį' nisoozíinii, 
44:4:009:0	diné naaljį́į́d nilį́į́ nít'éé' yę́ę díí jį́ yá'át'éhígi ábi'diilyaago áádóó hadaałt'é ánábi'diilyaago éí bíńdanihídółkidgo, 
44:4:010:0	áko t'áá ánółtso nihił béédahodoozįįł, áádóó Ízrel dine'é t'áá ałtso bił béédahodoozįįł, jó, Názarethdóó Jesus Christ bízhi' bee, t'áá éí tsin ałnáoszid bikáa'jį' bił ada'soołkaal yę́ę, nidi daaztsą́ą́dę́ę́' Diyin God náábidiisáhígíí bibee adziilii bee díí diné kǫ́ǫ́ nihidááhgóó doo át'éhígóó sizį́. 
44:4:011:0	Díí tséhígíí lą́ą, éí nihí kin ádaał'íní doo danoozį́į' da yę́ę át'é, nidi t'áá éí tsé bee naaná'ástł'inii silį́į́'. 
44:4:012:0	Náánáła' bee yisdá'doodáałii doo nááhódlǫ́ǫ da, háálá yádiłhił biyaagi yízhí náánáła' bee yisdáhiikáah dooleełii ts'ídá doo ła' nihokáá' dine'é baa náádeet'ą́ą da. 
44:4:013:0	Ákohgo Peter índa John doo hazhó'ó íhooł'ą́ą'ii índa t'áá bóhólníhígíí nilį́į nidi, doo yisti'góó yáłti'ígíí yaa ákodaniizį́į'go, yik'ee t'óó bił adahóóyóí, áko Jesus bił nijikai nít'ée'go bił béédahoozin. 
44:4:014:0	Áko diné náábi'diilzáhígíí bił nidzizį́įgo deiníł'į́įgo, t'áadoo yee yaa nídaot'įįhí da. 
44:4:015:0	Nidi t'áá bí t'éiyá haa nídadóot'įįł biniyé diné ándaha'áii naháaztánídóó áłtsé ch'ínóh'aash daaníigo yee dahooł'a', 
44:4:016:0	áko ádaaní, Díí dinéshą' haa dadiilnííł? Háálá t'áadoo bahat'aadí bee ééhózinii yaa naazh'ázhígíí Jerúsalemgi kéédahat'íinii t'áá ałtso bił béédahoozin, áko doo ákót'ée da doo dadóne' át'ée da. 
44:4:017:0	Nidi diné bitahgóó doo nihididoot'ih da biniyé, Kodóó yízhíhígíí doo ła' bee bich'į' hanáádoohdzih da, dadii'níigo bił yéé' ádahodiilnííł, dadííniid. 
44:4:018:0	Áádóó hágo dahodííniidgo, Jesus bízhi' ts'ídá doo bee hanáádoohdzih da índa doo bee nináádí'nóohtįįł da, dahałníigo yee dahooł'a'. 
44:4:019:0	Nidi Peter índa John ázhdííniid, T'áá nihí baa nitsídaahkees, Diyin God yiníł'į́įgo nihíjí nihik'eh dahoniil'į́įgo daats'í yá'át'ééh, doodaii' Diyin God bik'eh honiil'į́įgo daats'í yá'át'ééh. 
44:4:020:0	Háálá nihí t'éiyá níil'į́į'ii áádóó disiits'ą́ą'ii doo baa hodiilnihgóó ts'ídá doo bohónéedzą́ą da. 
44:4:021:0	Áádóó ha'át'íí lá bee atídoolnííł lá daniizį́į'go ch'ééh yaa nitsínáádaazkééz, áko t'óó yówehda hoł yéé' áhodoolíiłii yee hach'į' hanáádahaasdzíi'go t'óó hwéédeideezhchid, háálá áhoodzaaígíí biniinaa diné t'áá át'é Diyin God yaa dahaniih. 
44:4:002:1	Da'oodlání t'áadoo náhoniyésí yáti' yiniyé sodadilzin
44:4:022:0	Diyin God bibee adziilii bee bééhózinii bee éí diné hadaałt'é ánábi'diilyaaígíí dízdiindóó ba'aan binááhai. 
44:4:023:0	Peter áádóó John hwéédoochidgo, diné bił dah jookahígíí baa níjít'áázh, áko aláahgo nááda'iiłniihii índa diné yá aląąjį' naazíinii ádahodííniidii baa hojoolne'. 
44:4:024:0	Áko deidiizts'ą́ą'go t'áá ła' bizhi'ee Diyin God yich'į' hadaasdzíí', Ni t'éí Bóhólníihii [Diyin God] nílíinii, yádiłhił índa nahasdzáán áádóó tónteel índa biyi'di dahólóonii t'áá ałtso íinilaa, 
44:4:025:0	nihizhé'é David ná naal'a'í yę́ę bizéé'dóó Níłch'i Diyinii bee háínídzíi'go ádíní:Ha'át'íí lá biniyé ał'ąą dine'é ádá nídahojilchįįh,índa dadine'é éí t'áadoo dabiniyéhígóó nidahoji'á? 
44:4:026:0	Nihokáá'góó aláahgo naat'áanii hasht'e'ádadiilyaa,áádóó Bóhólníihii Diyin God jílíinii, haChrist t'áá biłnaat'áanii danilíinii hach'į' nídahididookah biniyé ahidahidiikai.  
44:4:027:0	T'áá aaníí ákódzaa, diyingo ná naal'a'í Jesus, ats'éiníłtíinii, yich'į' nídahididookah biniyé Hérad áádóó Pántiyas Páílat éí doo Jew dine'é danilíinii índa Ízrel dine'é danilíinii yił áłah daazlį́į́', 
44:4:028:0	níla' índa ninahat'a' binahjį' ádadooníiłii t'áá bítséedi bee hwiinił'a'ígíí, t'áá éí yida'doolííł biniyé ádáát'įįd. 
44:4:029:0	Áko Bóhólníihii nílíinii, k'ad nihił dahółyée'ii baa ákonínízingo, ná nidaal'a'í daniidlíinii ts'ídá t'áadoo náhoniyésí nizaad bee yádeiilti'go ádanihíle', 
44:4:030:0	hadaałt'é ní'doodleeł biniyé k'íhidílnííh, áádóó nibee adziilii bee béédahózinii índa bik'ee t'óó ił ahayóigo ádahooníiłii diyingo ná naal'a'í Jesus bízhi' bee ádanile'. 
44:4:003:1	T'áá ałtsoní aheełt'éego choo'į́
44:4:031:0	Kót'éego sodazdoolzin, nít'éé' áłah jílínígi nahwiis'náá', áádóó t'áá ádzíłtso Níłch'i Diyinii hwii' hadadéébįįd, áko Diyin God bizaad t'áadoo náhoniyésí bee dahojilne'. 
44:4:032:0	Áko da'oosdląądii éí t'ááłá'í iiná áádóó t'ááłá'í nitsáhákees yee dah ahoojih daazlį́į́', áko t'áadoo le'é bee dahólóonii t'áadoo, T'áá sáhí shí dooleeł, dadííniid da, nidi t'áá ałtso aheełt'éego chodayoos'įįd. 
44:4:033:0	Áádóó daal'aadii éí oo'íinii k'ehgo bidziilgo Bóhólníihii Jesus daaztsą́ą́dę́ę́' náábi'diilzáhígíí baa dahojoolne', áko t'áá ádzíłtso Diyin God bibee ajooba' yee hak'ijisdli'. 
44:4:034:0	Hatahgi ła'da doo ha'át'íhída yídin nilíní da, háálá bikédaayah índa dabikin baa nidahaaznii'go bą́ą́h da'azlį́'ígíí nidayiizhjaa', 
44:4:035:0	áádóó daal'aadii biyaajį' nidayiiznil índa t'ááłá'í jinítínígo chodeizhdooł'įįłii hwee ádaadinii hataadaas'nii'. 
44:4:036:0	Kót'éego Jóseph éí Líívai dine'é nilíinii Sáípras hoolyéédóó naagháii, éí daal'aadii Bárnabas ałdó' yee dabíízhi' (éí ha'ahóní biye' jiníigo óolyé), 
44:4:037:0	éí bikéyah hólǫ́ǫgo baa nahaaznii', áádóó béeso yiníjaa'go daal'aadii biyaajį' niinínil.
