27:2:001:1	Daniel éí Nébukadnézzar yaa nayiizyeelii ááhyiłníinii yaa halne'
27:2:001:0	Aláahgo naat'áanii Nébukadnézzar nazhnit'áago naaki náhááh góne' nináyiigiłgo biniinaa t'áá íiyisí nisináltłi', áko bił bits'ánákééh. 
27:2:002:0	Ákohgo aláahgo naat'áanii yaa nayiizyeelígíí bee bił náhodoonih biniyé álílee k'ehgo ída'ooł'įįłii áádóó déest'į́į́' ádeił'íinii áádóó álíleego yee nidahałáii índa Kaldíya dine'é dahóyáanii t'áá ałtso hágo yididooniiłgo yee haadzíí'. Ákohgo nidahaaskaigo aláahgo naat'áanii yidááhdóó áłah silį́į́'. 
27:2:003:0	Áko aláahgo naat'áanii áhodííniid, Neisíyeelgo baa neiseełígíí shił bééhodoozįįłgi bik'ee nisináshtłi'. 
27:2:004:0	Ákohgo Kaldíya dine'é éí aláahgo naat'áanii Síriya dine'é bizaad yee ádeidííniid, Aláahgo naat'áanii nílíinii, hool'áágóó hinínáa doo; ná naal'a'í daniidlíinii baa neisíníyeelígíí bee nihił hólne'go ááhyiłníinii hazhó'ó bee nił dahodiilnih. 
27:2:005:0	Aláahgo naat'áanii éí Kaldíya dine'é ánéidoo'niid, Díí t'áá aaníígóó ánihidishní, Baa neisíyeelígíí áádóó ááhyiłníinii t'áadoo bee shił dahoołne'góó nidanihidi'yoolgish índa danihikin ałtso nidahidoolchxǫǫłgo kints'iilgo yáádaa'áa doo. 
27:2:006:0	Nidi baa neisíyeelígíí áádóó ááhyiłníinii hazhó'ó bee shił dahodoołnihgo shits'ą́ą́dóó t'áadoo le'é aa doolyéełii áádóó nihich'į' nidahidoolyéełii nihitaadeeshnih índa ayóó át'éego ił danohłį́į doo; éí bąą baa neisíyeelígíí áádóó ááhyiłníinii bee shił dahołne'. 
27:2:007:0	Áko ánáádadoo'niid, Bíni'dii aláahgo naat'áanii yaa neizyeelii yee nihił hodoolnih, áko ááhyiłníinii hazhó'ó bee bił nídahodiilnih. 
27:2:008:0	Aláahgo naat'áanii ánáádoo'niid, T'áá yíní át'éegi shił bééhózingo t'óó ádaaht'į́įgo nida'ahodołziid, háálá ánihidííniidii éí bihodoolníiłgo nihił béédahodoozįįł. 
27:2:009:0	Baa neisíyeelii t'áadoo shił béédahosoohsįįdgóó t'ááłá'í t'éí bee nihá nihodeesh'ááł, háálá łahgo ánááhoodzaajį' wooch'ííd índa saad nichǫ́'í shidááhdóó bee hadahidoohdzihii bindahosoo'ą́. Éí bąą baa neisíyeelígíí bee shił dahołne', áko ááhyiłníinii shił béédahodoohsįįł bídanooł'ą́ągo shił bééhózin doo. 
27:2:010:0	Kaldíya dine'é danilíinii éí aláahgo naat'áanii ánáádeidoo'niid, Nihokáa'gi diné doo ła' aláahgo naat'áanii yił hodoolnihgo yíneel'ání da, háálá aláahgo naat'áanii ayóó át'éii éí álílee k'ehgo ída'ooł'įįłii áádóó déest'į́į́' ádeił'íinii índa Kaldíya dine'é t'ah doo ákót'éego neídíłkid da nít'éé'. 
