27:10:001:1	Tooh Táígrisgi Daniel bił áhoodzaa
27:10:001:0	Pérzha kéyahgi éí Sáíras aláahgo naat'áanii nilį́įgo táá' náhááh góne' díí saadígíí Daniel, éí Bélteshazar joolyéii bich'į' yit'íní ályaa. Áko saadígíí éí t'áá aaníí índa ayóó át'éego bich'į' ádi ł ni'ídzíiłgo hoolzhish. Áko hoł áhoodzaaígíí ááhyiłníinii baa hane'go jidiizts'ą́ą'go bik'izhdiitą́. 
27:10:002:0	Éí yoołkáałdi, shí, Daniel yinishyéii, táadi damóo azlį́į'jį' yínííł niséyá. 
27:10:003:0	Ch'iyáán daalkanii t'áadoo yishání, atsį' t'áadoo yishání áádóó wáin t'áadoo yishdlání índa t'áadoo adíshtłahí táadi damóo azlį́į́'. 
27:10:004:0	Átsé nídízídígíí naadiin dį́į́'góó yoołkáałgo Táígris ayóó át'é tooh nílínígíí bibąąhgi sézį́į́ nít'éé'. 
27:10:005:0	Áko háíghal, nít'éé' shoo, diné léi' éí áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii éé' yee hadít'éego Yúfazdę́ę́' óola sis yee ákászaazgo sizį́. 
27:10:006:0	Bits'íís éí tsé béril wolyéii łitsooígi ánoolnin; binii' éí bits'áhodilgish nahalin; bináá' éí honooyééł nahalingo dah nídíno'; bigaan áádóó bijáád éí béésh łitsoii bízdílid nahalingo dah nídíno'; yáłti'go éí t'óó ahojíyóí hahojííł'á nahalingo diits'a'. 
27:10:007:0	Áko shí, Daniel yinishyéii, shił áhoodzaaígíí t'áá sáhí yiiłtsą́. Diné shił naakaígíí t'áadoo dayiiłtsą́ą da, nidi ayóó át'éego bitah dahodiisnáa'go t'óó yóó'aheezhjée'go nída'ádees'į́į́'. 
27:10:008:0	T'áá sáhí sélį́į'go díí t'óó ayóogo shił ádzaago yiiłtsą́, áko t'óó shił áhásdįįdgo nisinisdzá áádóó ałdó' shitah doo hwiiłna' da. 
27:10:009:0	Ákohgo yáłti'go diséts'ą́ą́', áko diséts'ą́ą'go t'óó báhádzidgo bił niizį́į'go ni'jį' nikidiníish'ą́ągo iiłhaazh lá. 
27:10:010:0	Áko shideelchidgo dah shishdloozhgo áshiilaa, jó'akon. 
27:10:011:0	Áko áshidííniid, Daniel, diné ayóó'óó'níinii nílíinii, yiizįįh, áko saad bee nich'į' yáshti'ígíí yísíníłts'ą́ą'go bik'i'diitįįh, háálá Diyin God naa shiníł'a'. Áko t'ahdii díí saad yee shich'į' yáłti'go shitah hoditłidgo yiizį'. 
27:10:012:0	Ákohgo áshidííniid, Daniel yinílyéii, t'áadoo nił yé'í, háálá ch'óshdą́ą'di nijéí bee bik'idi'deeshtį́į́ł ninizį́į'go tsídíníkééz yę́ędą́ą́' áádóó niDiyin God bich'į' adahojiinilbá'í ádi'nilyaa yę́ędą́ą́' nidiizts'ą́ą́' áádóó t'áá ni ádíníinii biniyé naa níyá. 
27:10:013:0	Nidi Pérzha kéyahgi bee óhólníihgo bił haz'ą́ą́dóó naat'áanii shaatįįh nádáahgo naadiin ła' yiską́ áádóó bik'ijį' Máíkel alą́ąjį' bídahólníhígíí ła' nilį́įgo shíká aalwod, ákohgo Pérzhagi aláahgo naat'áanii danilíinii t'áá bitah sédáá nít'éé'. 
27:10:014:0	Yoołkááłgóó nidine'é bich'į' áhodooníłígíí bik'idi'díítį́į́ł biniyé naa níyá, háálá nił ádzaaígíí yidiiską́ą́góó baa hodoolzhishgo yaa halne'. 
27:10:015:0	Áko díí saad t'ah yee shich'į' yáłti'go yaa íisdzaago t'óó shił áhásdįįd. 
27:10:016:0	Áko shoo, ła' diné biye' nilíinii nahalingo shidaa' yideelchid, nít'éé' shizéé' ąą ádzaago yáshti'go shidááhdę́ę́' sizínígíí ábidishní, Bóhólníihii nílíinii, shił áhoodzaaígíí t'áá íiyisí yínííł bik'e'íyée'ii shik'i hoole', áko shitah doo hwiiłna' da. 
27:10:017:0	Haash yit'éego shibóhólníihii binaal'a'í nishłíinii nił ałch'į' yáshti' doo? Háálá shitah doo hwiina'góó ch'ééh disdziih. 
27:10:018:0	Ákohgo ła' diné nahojílingo shináázhdeelchidgo shidziil ánáshijiidlaa. 
27:10:019:0	Áko áshidííniid, Diyin God ayóó'ánó'níinii nílíinii, t'áadoo nił yé'í; nich'į' hózhǫ́ǫ doo, nidziilgo í'díínílzin, t'áá aaníí nidziilgo í'díínílzin. Áko shich'į' haadzíi'go bee shitah náhóółdziłgo ádíshní, Shibóhólníihii bíni' shich'į' yáníłti', háálá ts'ídá shidziilgo ánáshiinidlaa. 
27:10:020:0	Ákohgo áshidííniid, Biniyé naa níyáhígíísh nił bééhózin? K'ad Pérzha kéyahgi naat'áanii nilíinii bich'į' t'ą́ą́' nídeeshdáałgo bił ana'ánááhodeeshdlííł, áádóó dah diiyáago, shoo, Gríis kéyahdóó naat'áanii doogááł. 
27:10:021:0	Nidi diyingo bee ak'eda'ashchíinii bii'dóó t' áá aaníinii bee nił hodeeshnih. Áko díí bik'ijį' nishłínígíí t'áadoo shidooya'í da, t'áá hazhó'ó Máíkel ninanit'a'í nilíinii t'éiyá.
