56:3:001:1	Pen . iij .
56:3:002:1	1 Vvydddot ir sawr a vo mewn awdurtot , 9 Y mae ef yn rrybuddio Titus y ymogelyd rrac questione ynvydion a’ divudd , 12 Gan ddybenu wrth grybwyll am ryw negeseu’n ailltuawl , 15 Ac anerchion .
56:3:001:0	COffha yddynt vot yn ddarestyngedic ir Tywysogaetheu ac Auturdotae , a’ bot yn vvydd , ac yn parat i bop gweithred da .
56:3:002:0	Na chablant nep , na bot yn ymladdwyr , anyd llednais , gan ðangos pop tiriondep i bop dyn .
56:3:003:0	Can ys ydd oeddem nineu hefyd yn andoethion , yn anuvydd , yn siomedic , yn gwasanaethu chwanteu ac amryw wynieu , yn byw yn‐drygioni a chenvigen , dygasoc , yn casau eu gylydd .
56:3:004:0	Eithyr gwedy y addvwynder a’ dyngarwch Duw ein Iachawdur ymddangos ,
56:3:005:0	Nyd o weithredreð cyfiawnder , a’r y wnaethem ni , eithr erwydd ei drugaredd yr iachaodd ef nyni , can ’olchiat yr adenedigeth , ac adnewyddiat yr Yspryt glan ,
56:3:006:0	Yr hwn a ddineawdd ef arnom yn ehelaeth , trwy Iesu Christ ein Iachawdur ,
56:3:007:0	Val y bei y ni , gwedy ein cyfiawnhau gan y rat ef , gael yn gwneuthur yn etiveddion erwydd gobaith bywyt tragyvythawl .
56:3:008:0	Fyddlawn yw’r ymadrodd hyn , a’r petheu a wyllysiaf yty eu ffyrfhau , ar ir sawl a credant yn‐Duw , ymovalu y ddangos yn amlwc gweithredoedd da . Y petheu y’ sy yn dda acyn profitiol y ddynion .
56:3:009:0	Eithr gwrthladd questione ynvydion , ac iachae , a’ chynneneu ac ymrysongerdd o bleit y Ddeðyf , can ys amprofitiol ynt a’ gweigion .
56:3:010:0	Gommedd y dyn y vo heretic , gwedy vnvvaith neu ddoyvvaith ei rybuddio ,
56:3:011:0	Gan wybot am y cyfryw , yddymchwelwyt , ai vot yn pechu wedy varnu y cantho yhunan .
56:3:012:0	Pan ddanvonwyf Artemas atat , ai Tychicus , bydd astud y dddyvot ataf i Nicopolis : Can ys yno y pwrpasais gayafu .
56:3:013:0	Danvon Zenas y Deðfwr , ac Apollos yn ddiwyd , val na bo arnynt eisieu dim .
56:3:014:0	Discant hefyt yr ei yddom ni ddangos yn eglur weithredoeð da er mwyniāte angēraidiol val na bont yn anffrwythlawn .
56:3:015:0	Yr oll ’rei ’sy gyd a mivi , ath anerchant . Anerch yr ei an carant yn y ffydd . Rat gyd a chwi oll . AmenAd Titus , y ddewysiwyt yn Episcop cyntaf i Eccles y Cretieit , yr hwn escrivenwyt o Nicopolis ym‐Macedonia .
