56:1:001:1	Pen . j .
56:1:002:1	5 Y mae ef yn athrawy Titus o bleit llywodraeth yr Eccles . 7 Ordinhat a’ swydd gwenidogion‐Ecclesic . 12 Natur y Cretiait , ac am yr ei a heuent chwedleu Iuddewic , a’ dychymygion dynion .
56:1:001:0	PAul gwas Duw , ac Apostol Iesu Christ , erwydd ffydd etholedigiō Duw a’ gwybodeth y gwirioneð , ’rhon ’sy erwydd dywoldep ,
56:1:002:0	Y dan’obaith buchedd dragyvythawl rhon y digelwydd Dduw ei gaddawoð , cyn amseroeð oeseu :
56:1:003:0	Eithr ef a eglurhaodd ei ’air yn y gwir amsereu drwy precethu , yr hyn a ymddiriedwyt i mi , wrth ’orchymyn Duw ein iachawdur :
56:1:004:0	Ad Titus vy anianol vap wrth y ffydd gyffredin , Rat , trugareð a thangneðyf o y can Dduw y Tat , a’ chan yr Arglwydd Iesu Christ ein iachawdur .
56:1:005:0	Er mwyn hyn ith edais di yn‐Creta , mal y bei y ti drigo y gyweirio y petheu ys ydd yn aros , a’ bot yt’ ’osot . Henafieit yn‐pop dinas , megis yr ordiniais yty .
56:1:006:0	A’s bydd nep diargywedd , gwr vn wreic , ac yddo blant ffyddlon , yr ei nyd enllybir o nwyfiāt neu vot yn anuvydd .
56:1:007:0	Can ys dir yw i Episcop vot yn ddiargywedd , mal goruchwiliwr Duw , nyd yn gyrrith , nyd yn digllon , nyd yn gorhoffi gwin , nyd trawar , nyd budr‐elw‐wr ,
56:1:008:0	Ethr yn rhoi‐lletuy , vn yn caru dayoni , doeth , cyfiawn , sanctaidd , temperus ,
56:1:009:0	Yn dalha‐yn lew y gair ffyðlon wrth yr athraweth , val y gallo hefyt gygcori a dysceideth iachus , ac argyweddu yr ei a wrth ddywedant ,
56:1:010:0	Can ys bot llawer o rei anyvydd , a’ gwacsiaradwyr , a’ thwyllwyr meddilieu , yn benaf yr ei ’sy or enwaediat ,
56:1:011:0	Yr ei vydd dir goarcheu‐ei geneu , yr ei a ddymchwelant cwbl daie , gan ddyscu i ’rei betheu ny‐ðylent , ermwyn budr elw .
56:1:012:0	Vn o hanynt wy euhunain , ’sef vn oi prophwyti y vnain a ddywedei . Y Creteit bop amser ynt gelwyddawc , dryg vestviloedd , boliae gorddiogion .
56:1:013:0	Y testiolaeth hon ’sy wir : achos hyn argyweða ’hwy yn vlaenllym , val y bont iach yn y ffydd ,
56:1:014:0	Nyd can ddarbot chwedleu Iuddewaidd a’ gorchymyneu dynion , yr ei a ymchwelant ywrth y gwirionedd .
56:1:015:0	Ys ir ei pur y mae pop dim yn pur , eithr ir ei halogedig , ac ir ei ny chred , nyd oes dim pur , eithr ei meddwl a’i cydwybot a halogir
56:1:016:0	Y maent yn proffessu yr adwaenant Dduw , eithyr ar gweithrrdoedd y maent yn ei wadu , ac wynt yn ffiaidd ac yn anuvydd , ac i bop gwaithred dda yn amprovadwy .
