56:2:001:1	Pen . ij .
56:2:002:1	Y mae ef yn gorchymyn yddaw y ddysceidaeth iach , ac yn manegy yddaw pa wedd y dysc ef y bop gradd ymddwyn , 11 Trwy ddawnged rrat Christ .
56:2:001:0	EIthr adrodd di y petheu y weddant y ddysc iachus .
56:2:002:0	Bot yr henafgwyr yn sobr , honest , diseml , iach yn y ffydd , yn‐cariat , ac ammynedd :
56:2:003:0	Yr henafwragedd yr vnffynyt , eu bot ynghyfryw ymwreðiat ac a wedda i sancteiddrwydd , nyd gau gyhuddiait , nyd wedy ymroi i win lawer , eithr yn dyscu-ir‐ei betheu honest ,
56:2:004:0	Mal y gallōt iawnsynhwyraw y gwragedd‐ieainc , y garu ei gwyr , y garu ei plant .
56:2:005:0	Bot yn ddiseml , yn ddiwair , trigo gartref , yn dda ac yn ddarostyngedic yw gwyr , mal na chapler gair Duw .
56:2:006:0	Cygora wyr‐ieuainc yr vn modd , ar vot yn ddiseml .
56:2:007:0	Vch pen pop dim oll dod dy hun yn esempl o weithredoedd da gyd a dysceideth anllygredic , gyd a phwyllogrwydd , a’ chyfandep ,
56:2:008:0	Ac ymadrodd iachus , rhwn ny ellir ei veio , val y bo y hwn a safo yn erbyn , gywilyðio , eb ganthaw ddim am danochwi y dywedyt coegni .
56:2:009:0	Bot gwasanaethddynion yn ddarostyngedic yw harglwyddi , a’i boddhau ym‐pop dim , nyd yn gwrthddywedyt ,
56:2:010:0	Nyd yn trosgwyddo , eithr bod yddynt ddangos pop ffyddlondep , val yr addurnant ddysceideth Duw ein iachawdur ym‐pop peth .
56:2:011:0	Can ys ’rat Duw y ddwc iechyt i bop dyn , a ymddangosawdd ,
56:2:012:0	Ac ys ydd in dyscu y ymwadu ac andywoldep , a’ chwanteu bydol , a’ bot y ni vyw yn sobr ac yn gyfiawn , ac yn ddywiol yn y byt cydrychiol .
56:2:013:0	Gan edrych am yr ’obaith wynvydedic , ac ymðangosiat gogoniant y Duw mawr a’n iachawdur Iesu Christ ,
56:2:014:0	Yr hwn y rroddes y hun y trosam , val in prynei ywrth oll enwiredd , a’n carthu y vot yn popul priawt yddo yhun , yn awyddus i weithredoedd da .
56:2:015:0	Adrodd y petheu hyn , ac annoc ac argywedda ac oll awdurtot . Na vit y nep dy dremygu .
