35:2:001:1	Bóhólníihii éí Habákak yich'į' énáhoosįįd
35:2:001:0	K'ad ya'iitł'in bikáá'dóó ha'asíidgo sézį́į dooleeł. Ha'át'íí shididooniiłígíí dideests'į́į́ł biniyé bíká dínísh'į́į' dooleeł índa shideeztehgo ha'át'íí nábidideeshniiłígíí biniyé hasht'e'adííníszin doo? 
35:2:002:0	Áko Bóhólníihii ánáshidoo'niidgo ání, Nił ádzaaígíí t'áá bééhózínígo bee ak'e'íłchí, áádóó naaltsoos bikáá' hazhó'ó ánílééh, áko t'áá háiida haneetehee yíídóołtah. 
35:2:003:0	Háálá nił ádzaaígíí át'ah baa hodoolzhish, nidi nihoogháahgo índa t'áadoo wooch'ídí bee yáti' dooleeł. Azhą́ doo hah ánéeh da nidi, biba' ánít'é; t'áá aaníí, baa dahodiyoolzhish áádóó doo na'áhodidoolził da. 
35:2:004:0	Bii' sizíinii t'áá ákóne' át'éii doo bii' hólóonii éí ch'ééh át'į́į doo, nidi ts'ídá t'áá ákogi ájít'éii éí hwe'oodlą' bee jiináa dooleeł, jó'akon. 
35:2:002:1	Doo ákwii ádaat'éii bich'į' doo hojooba' áhá'níi da
35:2:005:0	Aoo' t'áá aaníí, wáin jidlánígíí hona'alo'go nináhodi'ááh. Diné ádeidzódlíii bighan, nidi yits'ą́ą́' yóó'análwo'; ch'į́įdiitah aldeełiigi át'éego áchą́yízhdéelni' aninégi át'éego doo hwiih yileeh da áádóó t'áá bí ádá ał'ąą dine'é áłah áyoolííł índa diné t'áá át'é ách'į' kóyoolíí ł. 
35:2:006:0	Díí t'áá ałtso bee haa hane'go t'óó há nidahałt'i'go ádahodidooniił, Doo hwíí'góó k'ee'ąązhnoołt'į́įłii hach'į' doo hojooba' ájíníi da! Haa nízáágóoshą' ákót'ée doo? Jó, éí t'áá hó ąąh hazdinootsii bee hade áhoot'é íz'dólzin. 
35:2:007:0	Nąąh hadeis'áii nidi, t'áadoo kót'é ílíní nich'į' nídidookahgo ádił náhodílchiłgo ándoolííł. Ákohgo t'áá ni bá yisnááh dííleeł. 
35:2:008:0	Ał'ąą da'ana'í t'óó ahayóí bigha'ayíní'nilgo biniinaa diné t'áá nidahaasdzí'ígíí t'áá ałtso nighanídadi'yoo'nił, háálá kédaayahgóó índa kin hadaas'áágóó kéédahat'íinii t'áá ałtso t'áá na'níle'dii atíníł'į́įgo diné bidił dadeeshchii'go íinilaa. 
35:2:009:0	Agháhóó'áadi hat'oh ájíléehgo índa doo yá'át'éehii bibee adziilii bits'ą́ąjį' yisdá'ázhdílteehgo biniyé doo yá'át'éehii ha'áłchíní náás ahoolchíiłii bá bidázhnoolníinii éí doo hojooba' ájíníi da! 
35:2:010:0	Diné t'óó ahayóí ásíníłdįįdígíí bee nidine'é t'óó baa yáhásinii biih yínínil, áko t'áá ni nii' sizíinii bił ádił asínísiih. 
35:2:011:0	Ítł'in bąąhdę́ę́' tsé chaał hahodiyoonih, áádóó ítł'in bighą́ą́'dę́ę́' tsin áah naní'áii t'ą́ą́' háádoodzih. 
35:2:012:0	Dił naashchxii'go áhojiilaaígíí bee kin shijaa'go ájiilaii áádóó doo ákwii é'ét'éii bee kin haal'áago ájiilaii doo hojooba' ájíníi da! 
35:2:013:0	Kǫ' t'éí biniyé ał'ąą dine'é naanish dabighanígíí índa t'áadoo biniyéhí da, nidi ch'ééh dadikáahii éí ts'ídá t'áá aaníí, t'áá ałtsoní bee Bóhólníihii bits'ą́ą́dóó át'é, jó'akon. 
35:2:014:0	Háálá tónteel hadeezbinígi át'éego nahasdzáán bikáá'góó Bóhólníihii yee ayóó át'éii bee bééhózinii nihidínóolt'eeł.  
35:2:015:0	Bił kééhojit'íinii bi'jiiłdláanii éí t'áá łichí'ígo naagháago jiníł'į́į doo biniyé bi'jiyííłdlą́ą'ii doo hojooba' ájíníi da! 
35:2:016:0	Ayóó át'éii dííleełę́ę baa yáhásinii nii' hadeezbin doo. Ídlą́ągo ni ałdó' t'áá łiníchí'ígo nanináago naa da'iidoołtsééł. Bóhólníihii bíla' nish'náájí bee adlání yee dah yookáałii bee naa hoolzhiizh, áko ayóó át'éii nílíinii bik'ijį' baa yáhásinii nik'iidooldoh. 
35:2:017:0	Háálá Lébanan t'áá na'níle'dii atíinilaa yę́ę nik'ijį' nídoodleeł; ákwii naaldlooshii naniłtseedgo néédaaldzid yę́ęgi át'éego nik'i hwiidooleeł, háálá kéyahgóó t'áá na'níle'dii í'síníłdįįd índa kin hadaas'áagi kéédahat'íinii t'áá ałtso yíníghą́ą'go bidił nidaashchxii'go íinilaa. 
35:2:018:0	Tsin naask'ęę'go e'elyaii, doodaii' dilyį́įhgo e'elyaii éí wooch'íidgo yína'niłtinii ádeiile'ii doo bíká adoolwoł da; eda'alyaii doo yádaałti'ii t'áá bí áyiilaii yaa dzólí. 
35:2:019:0	Tsin, Ch'éénídzííd, bijiníinii áádóó tsé doo yáłti'ii, Nídii'nééh, bijiníinii doo hojooba' ájíníi da! Da' díísh nidanihidínóotįįłgo yíneel'ą́? Shoo, óola índa béésh ł igaii bik'ídaasti'go ádeinilaa índa doo nídadidzih da. 
35:2:020:0	Nidi Bóhólníihii éí bikin bii' sohodizin diyinii yii' hólǫ́. Háni'dii binááł nihokáá' dine'é t'áá át'é bił hodéesyéel le'.
