49:4:001:1	Oodlání Níłch'i Diyinii bee łá'í danilį́
49:4:001:0	Éí bąągo shí, Bóhólníihii baa hashne'go biniinaa awáalyaaí nishłíinii nánihooshkąąh, Diyin God yiniyé nihíká ádííniidii bą́ą́h da'nohłį́įgo dayínóhkááh. 
49:4:002:0	T'áá ałtsojį' a'ohgo ádanoht'ée le', niha'át'e' ádaadin le', áádóó nízaadgóó hada'íínółní. Ałch'į' hada'íínółníigo ayóó'áda'ahíínóh'ní. 
49:4:003:0	Níłch'i Diyinii bee łá'í nohłį́įgo k'é bee da'ahíínóhtą'go áda'díínółzin. 
49:4:004:0	Ił chohoo'į́ t'ááłá'íígíí biniyé Diyin God nihíká ádííniidígi át'éego da'oodlání t'áá ła' bizhi'ee ats'íís nilį́, índa Níłch'i Diyinii t'ááłá'í, 
49:4:005:0	áádóó Bóhólníihii t'ááłá'í, áádóó oodlą́ t'ááłá'í, áádóó bee alzį́įhii t'ááłá'í, 
49:4:006:0	índa Diyin God t'ááłá'í, éí diné t'áá ałtso yiTaa' nilį́, ts'ídá t'áá ałtso bee bóhólnííh, t'áá ałtso yił hólǫ́, índa t'áá ałtso yii' hólǫ́. 
49:4:007:0	T'ááłá'í niitínígo ajooba' nihaa dadeest'ánígíí éí Christ nihaidiní'ánígi áníłtsogo bee há nideiil'a', 
49:4:008:0	Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego:Aghánáhóó'áajį' hahodzizle'go yisnááh t'áadoo bee néelą́'ígóó ajíí'eezh,áádóó aa deet'áanii diné bitaazdeez'ą́.  
49:4:009:0	Aghánáhóó'áajį' hahodzizle' ha'nínígíishą', ha'át'íí ááhyiłní? Jó, nahasdzáán biyi'góó áłtsé nahodzizle'. 
49:4:010:0	Díí yaago nahodzizle'ígíí t'áá éí dego yádiłhił t'áá ałtso bilááhgóó hahodzizle', ts'ídá t'áá ałtsogóó hojílǫ́ǫ doo biniyé. 
49:4:011:0	Áko ła' daal'aadii dadooleeł, ła' Diyin God yá dahalne' doo, ła' hane' yá'át'éehii yaa dahalne' doo, ła' da'oodlání yá naazį́ dadooleeł, áádóó ła' na'nitiní danilį́į doogo Christ hataideez'ą́. 
49:4:012:0	Diyin God bidiyį́į́' ts'ídá yá'át'éehgo hasht'edahodoolíiłgo, éí da'oodlání Christ bá dajílníish dooleeł, áko Diyin God bidiyį́į́' t'áá ła' bizhi'ee Christ yits'íís nilíinii bidziil dooleeł biniyé hataideez'ą́. 
49:4:013:0	Áko t'áá áníiltso nihe'oodlą' bee łá'í dadiidleełgo, índa Diyin God biYe' bééhoniilzin bee łá'í dadiidleełgo diné nininísáanii dadiidleeł, Christ nininísą́ yę́ęgi át'éego nidadíníilzééł. 
49:4:014:0	Áko kodóó áłchíní nahalingo na'nitin ałtah áát'eełii t'áadoo bee nídahííníilghaałí, diné bina'adlo'ii áádóó bindahagiz dayiichįįhii t'áadoo t'áá ádzaagóó nihíni' ádahale'í. 
49:4:015:0	Nidi ayóó'í'ííníi'níigo t'áá aaníígóó yéiilti'go t'áá ałtsojį' Christ éí nihá atsii' jílíinii hwii'jį' niilzéeł dooleeł. 
49:4:002:1	Christ bee iiná ániidíii
49:4:016:0	Jó, ajoodlánígíí Christ bits'íís jílį́. Ats'íís t'áá át'é ahadadit'ą́ą́góó da'ahótą'ígi át'éego Christ bee ahídajóltą', áko t'áá ádzíłtso yá'át'éehgo ahinidajilnishgo Christ bits'íís dajílį́įgo índa ayóó'áda'ahijó'níigo ahinidajilnishgo Christ bits'íís bidziil jooleeł.  
49:4:017:0	Éí bąą Bóhólníihii bá haasdziihgo nihiyahoniishłįįhgo ánihidishní, Kodóó doo oodlání danilíinii t'áá ádzaagóó nitsídaakeesgo dahinánígi át'éego t'áadoo dahinohnání. 
49:4:018:0	Éí bił daatł'éé' bąą doo ak'ida'diitįįh da. Dabijéí doo nabída'didzilgóó bąą doo bił éédahózin dago biniinaa Diyin God bee iiná yits'ą́ądi naaldeeh. 
49:4:019:0	Éí bąąhági ádaaníił nidi doo yaa yádanízin da, áádóó badaa'ihii t'áá ałtso bíchą́hwíídéeni'go bee tsi'nida'aldeehii yaa ádadeest'ą́. 
49:4:020:0	Nidi nihí doo éigi át'éego Christ bits'ą́ą́dóó bídahooł'ą́ą' da! 
49:4:021:0	T'áá shį́į́ aaníí haa dahosidoots'ą́ą'go Jesus binahjį' na'nitin t'áá aaníinii bíndanihidi'neestą́ą́'. 
49:4:022:0	Áko átséédą́ą́' ádanoht'éé nít'éé' yę́ę bits'ą́ąjį' hahohkááh. Jó, éí átséédą́ą́' ádanoht'éé nít'éé' yę́ę badaa'ihii bił nidaat'i'ii át'é, áko éí adáhonooní na'adlo' nilíinii yee nidanihiiłchxǫǫh. 
49:4:023:0	Áko nihintsíkees ániidígo nihá ánídaolne', 
49:4:024:0	áádóó iiná ániidíii biih hohkááh. Éí Diyin God t'áá bináłt'éego ályaa, ts'ídá t'áá ákogi át'é índa t'áá aaníí dílyinii át'é. 
49:4:025:0	Ákót'é bąą wooch'ííd yóó'adahidoh'aahgo, t'ááłá'í nootínígo bił kéédahoht'íinii saad t'áá aaníinii bee bił ałch'į' yádaałti', háálá ahidiníłnáago Christ bił t'ááłá'í niidlį́. 
49:4:026:0	Nihádahachįįhgo ts'ídá bąąhági ádaohnééh lágo; t'áá nihádahachį'go o'ó'ááł lágo. 
49:4:027:0	T'ááká níłch'i bida'iiníziinii binanit'a'í bá ashja'oohłééh yíila'. 
49:4:028:0	Azhni'įįhii ts'ídá doo náázhdí'nóo'į́įł da, nidi hanaanish ílį́įgo joołt'ihgo éí bee badahojoobá'íígíí baa jijooba' doo. 
49:4:029:0	Saad nichǫ́'í t'áadoo bee yádaałti'í, nidi ashja'oolíiłgi saad bidahónéedzáanii bee yádaałti', áko éí deidiits'a'ii bee bik'idahojidlíigo dadínóosééł. 
49:4:030:0	Áádóó Diyin God biNíłch'i Diyinii t'áadoo bíni' nídaoł'aahí, háálá nihéédadidoochił beiníłką́ąjį' Diyin God bíí' danohłį́įgo Níłch'i Diyinii bee nihéédahózin. 
49:4:031:0	Anáháshch'íí', hashkéhwiindzin, áháchį', azahóchį', t'áá ádzaagóó aa hane' índa áká naat'á t'áá ałtso áts'á dahidoht'aah. 
49:4:032:0	Áádóó ahidiníłnáago ahaa dajiinohba', índa Diyin God éí Christ yee nihibąąhági át'éii nihá yóó'iidíí'ánígi át'éego nihí ałdó' ahaa a'ááh danohsingo ałch'į' bąąhági ádaahníiłii ahá yóó'anídahidoh'aah. 
