49:1:001:1	K'é ha'níinii
49:1:001:0	Shí Paul, Diyin God íinízinii bik'ehgo Christ Jesus yá yil'aadii nishłį́.Diyin God bidiyį́į́' Éfesasgi kéédahat'íinii Christ Jesus bee bada'ódlíii bich'į' naaltsoos áshłééh: 
49:1:002:1	Christ binahjį' diyin k'ehgo bee ak'ihojidlíii
49:1:002:0	Diyin God nihiTaa' áádóó Bóhólníihii Jesus Christ bibee ajooba' índa bibee ach'į' hózhǫ́ náhásdlį́į'ii yee nihik'ijidlíi doo. 
49:1:003:0	NihiBóhólníihii Jesus Christ biDiyin God t'áá éí biTaa' baa ha'niih doo! Éí Christ biniit'aa yá'ąąsh haz'ą́ądi diyin k'ehgo bee ak'ihojidlíii t'áá ałtso yee nihik'ijisdli'. 
49:1:004:0	Áko binááł dadiniigin áádóó t'áadoo bee nihik'ídahót'ahígóó dahinii'náa doo biniyé, t'ah doo nahasdzáán niit'aah bítséedi ayóó'ánihó'níigo Christ yee nánihiizláá'. 
49:1:005:0	Jesus Christ biniit'aa t'áá bí ba'áłchíní dadiidleełgo íinízinii bik'ehgo yaa bił hózhǫ́ǫgo t'áá átséedi nánihiizláá'. 
49:1:006:0	BiYe' ayóó'áyó'níinii biniit'aa bibee ajooba' ayóó át'éii yee nihik'ijisdli'go nánihidiinilígíí bee baa dahwii'niih doo. 
49:1:007:0	Éí lą́ą Diyin God bibee ajooba' yee alááh neel'áanii bik'ehgo Christ bidił bee náádanihi'diiznii', áádóó ádił nida'ayiilzíi'ii nihá yóó'iidii'aahgo 
49:1:008:0	t'áá íiyisí nihik'ijisdli'. Hóyą́ągo áádóó yikék'eh hoo'į́įgo, 
49:1:009:0	t'áá bí íinízinígíí bik'ehgo yaa bił hózhǫ́ǫgo yinahaz'áanii doo bééhózinii nihił bééhózingo áyiilaa. 
49:1:010:0	Nihoolzhiizhgo yá'ąąshdi áádóó nahasdzáán bikáa'gi dahólóonii t'áá ałtso Christ yee ahiih nídooldahgo binahodziz'ą́. 
49:1:011:0	Diyin God íinízingo binahat'a' bik'ehgo t'áá ałtsoní ła'yoolííł. Binahat'a' bik'ehgo t'áá átséedi nánihidiinilgo Christ bee nihíí' dadooleełii ałdó' nihaa deet'ą́. 
49:1:012:0	Nihí, áłtsé Christ baa dadziisiidli'ígíí, Diyin God yee ayóó át'éii baa dahwii'niih dooleełgo nihik'i diilnii'. 
49:1:013:0	Nihí ałdó', saad t'áá aaníinii, éí hane' yá'át'éehii bee yisdánihi'doo'nilígíí dasidoots'ą́ą'go dahwiisoohdląądgo Diyin God éí Níłch'i Diyinii nihaidiní'ánígíí bee nihéédahózingo ádanihi'diilyaa. 
49:1:003:1	Paul bisodizin
49:1:014:0	Éí yee yik'é na'níláago bíí' silį́į'ii doo bohodiit'i'góó áyiilaajį' nihíí' dooleełii t'áádóo nídí nihíí' dooleełgo bééhózin. 
49:1:015:0	Ákót'é bąą, Bóhólníihii Jesus deinohdlánígíí índa Diyin God bidiyį́į́' t'áá ałtso ayóó'ádeínóh'nínígíí nihá baa hodiséts'ą́ą'go 
49:1:016:0	t'áadoo áhodiiszéhí nihaa ahééh nisingo shisodizin bee nihénáshniih. 
49:1:017:0	NihiBóhólníihii Jesus Christ biDiyin God t'áá éí aTaa' bi'oh hodidilyéehii, éí Níłch'i Diyinii bibee hódzą́ índa ił ííshjání ó'oolíiłii nihaididoo'áałgo bee hwéédahodoohsįįłgo bíká sodiszin. 
49:1:018:0	Áádóó Diyin God nihíká ádííniidgo bíká nihił chodahoo'ínígíí, índa ak'ihojidlí ayóó át'éii hodiyį́į́' bíí' dadooleełígíí nihił béédahodoozįįł biniyé nihijéí bii' nihił ííshją́ą́ ánihósin dooleełgo nihá sodiszin. 
49:1:019:0	Dooládó' bibee adziilii ayóó át'éii nihí da'iiniidlánígíí nihiyi' naalnishgo nihił béédahózin doo biniyé sodiszin. Jó, éí bibee adziil yee ayóó ábóodziilii yik'ehgo áánííł. 
49:1:020:0	Éí yee Christ daaztsą́ą́dę́ę́' néidiisáago yá'ąąsh haz'ą́ądi binish'náájí dah yineesdá. 
49:1:021:0	Áadi nidant'áii, bídahólníihii, adziil bee dahólóonii, índa hoot'ááł t'áá ałtso yídahółnííh, áádóó ayóó ádaat'éii dabi'dójíii t'áá ałtso doo díí hoolzhishígíí biyi' t'éiyá da, nidi kodóó náás hoolzhishgóó biyi' dabi'dójíi dooleełígíí Christ bee bóhólnííh. 
49:1:022:0	Áko t'áá ałtsoní bik'i jidées'eezgo áhoolaago bee hóhólnííh, áádóó da'oodlání t'áá ła' bizhi'ee bá nahoji'áago áhoolaa. 
49:1:023:0	Da'oodlání t'áá ła' bizhi'ee hats'íís nilį́įgo bee hadaałt'é dzizlį́į́', áádóó t'áá ałtsoní hólónígíí hwee hadaałt'é daazlį́į́'.
