59:5:001:1	Da'at'íinii bi'ílnii'
59:5:001:0	Haa'íyee' da'oht'íinii, bik'ee ti'dahwiidoohnihii bich'į' hoolzhishígíí biniinaa dadołwoshgo daahcha. 
59:5:002:0	Daaht'ínígíí dadííłdzid, áádóó danihi'éé' ch'osh ałchozhii dayííłchozh. 
59:5:003:0	Nihi'óola índa nihibéésh łigaii nídadiniichxii'. Nídadiniichxii' yę́ę bee nihééhodoozįįł, áko nihits'íís dook'ą́ą́ł nahalingo atínihidoolííł. Nihoogháahjį' yoołkáałgo nihinaalye'é hasht'e'nídahisoonil. 
59:5:004:0	Jó'akon, nidaalnishí nihidáda'ak'ehgóó da'ííshée'go bik'é na'azhnishii t'áadoo nidasooláa da. Áko nihik'ijį' yádaałti'go hahóół'á. Índa Diyin God éí t'áá ałtsoní bee Bóhólníihii da'ííshé'ígíí hahóół'áago yidiizts'ą́ą́'. 
59:5:005:0	Nahasdzáán bikáá' t'áá ałtsoní daaht'į́įgo bee ák'idaahdláago tsi'nisoohkai. Na'atseed bijį́įjį' biniyé nihijéí hwiih danilį́įgo ádaahłaa. 
59:5:002:1	Hada'íínółní áádóó sodadołzin
59:5:006:0	Diné ts'ídá t'áá ákogi át'éii bá nidahosoo'ą́ áádóó dasoołhį́, nidi t'áadoo nihich'į' deesdzil da. 
59:5:007:0	Éí bąą shik'isóó, Bóhólníihii nádzáajį' hada'íínółní. Jó'akon, k'éé'dídléehii ni' bits'ą́ą́dóó aneest'ą' ílíinii yiba' át'éego, áłtséedi índa akée'di bik'i nahałtį́įhjį' ha'ólníi łeh. 
59:5:008:0	Nihí ałdó' hada'íínółní. Nihijéí bidziilgo ádeínóhsin, háálá Bóhólníihii nídoodáłígíí koshídę́ę́' hadziih. 
59:5:009:0	Shik'isóó, Diyin God doo nihá nihodiyoo'aał daígíí biniyé t'áadoo ałch'į' saad dahonoł'íní. Jó'akon, ánihwii'aahii ch'é'étiindę́ę́' sizį́! 
59:5:010:0	Shik'isóó, Diyin God yá dahalne'ii Bóhólníihii bízhi' yee yaa dahoolne'go yiniinaa ti'dahooznii' nidi nízaadgóó hada'oosniid. Éí bida'oł'į́. 
59:5:011:0	Jó, nízaadgóó hada'oosniidii bił dahózhǫ́, dadii'ní. Job wolyéhígíí nízaadgóó ha'oosniidígíí baa dahosidoots'ą́ą́', áádóó nihoolzhiizhdi Bóhólníihii há í'iilaaígíí nihił béédahózin. Dooládó' Bóhólníihii aa a'ááh nízin da, áádóó jooba' lá!  
59:5:012:0	Díí t'áá ałtso biláahgo, shik'isóó, t'áadoo ha'át'íhída bee ádee hadahidohdziihí, yá'ąąsh, doodaii' nahasdzáán bee nidi dooda, t'áá ha'át'íhída bee ádee ha'diidziihii nidi dooda, nidi Diyin God doo nihá nihodiyoo'áłígíí biniyé, Aoo', didoohniiłgo t'óó, Aoo', bee hadoohdzih; Dooda, didoohniiłgo t'óó, Dooda, bee hadoohdzih.  
59:5:013:0	Nihitahgiísh ła'da bich'į' nahwii'ná? Bíni' éí sodilzin. Ła'daásh bił hózhǫ́? Bíni' éí Diyin God yaa haniihgo hataał. 
59:5:014:0	Ła'daásh nihitahgi bitah honeezgai? Bíni' éí da'oodlání áłah nádleehii yá aląąjį' naazíinii hágo bizhdidooniiłgo éí hatsii't'áagi ak'ah yadeidooziłgo Bóhólníihii bízhi' dayózhíigo há sodadidoolzįįł. 
59:5:015:0	Díí Diyin God dayoodlą́ągo yaa dadzólíigo sodadilzinígíí beego, hatah honeezgai doo ájít'éhí da nízhdoodleeł; Bóhólníihii nááhodidoołááł, índa ádił ni'dziilzííh ládą́ą́' há yóó'anídidoot'ááł. 
59:5:016:0	Áko ałch'į' bąąhági ádaaht'ínígíí ahidiníłnáago bee ádaa dahołne', áádóó doo ádanoht'éhí da nídadoohdleeł biniyé ahá sodadołzin. Diné ts'ídá t'áá ákogi át'éii bisodizin éí t'áá íiyisí bidziilgo idééłní. 
59:5:017:0	Iiláíjah, diné t'áá nihígi át'éé nít'éé' nidi, doo nahodoołtį́į́łgóó haleebee sodoolzin, áko táá' nááhaidóó hastą́ą́h nídeezidjį' nahasdzáán bikáa'gi t'áadoo nahóółtą́ą da. 
59:5:018:0	Áádóó sonáádoolzin, áko nít'éé' wót'ááhdę́ę́' nahóółtą́, áko nahasdzáán bikáa'gi nída'neest'ą́. 
59:5:019:0	Shik'isóó, nihitahgi ła'da hane' t'áá aaníinii bits'ánooyáago, nít'éé' éí ła'da bił nánooht'áazhgo 
59:5:020:0	díí baa ákodanoohsįįh, bąąhági ááníiłii ni'iisíihgo bá honít'i'dę́ę́' bił níjít'ázhígíí éí aniné bits'ą́ąjį' bii' sizíinii yisdázhdoołtééł, áko haa shį́į́ néelą́ą'jį' Diyin God bich'į' ádił ni'iisíi' nidi ałtso Diyin God há yóó'anéididoo'ááł. 
