21:3:001:1	T'áá ałtsoní bá dahwéelzhíísh
21:3:001:0	Ts'ídá t'áá ałtsoní baa hwiilzhíísh áádóó yádiłhił biyaagi ádahooníiłii t'áá ałtso bá dahwéelzhíísh. 
21:3:002:0	Ni'iichííh baa hwiilzhíísh áádóó aniné baa hwiilzhíísh; k'ééda'dilyééh baa hwiilzhíísh áádóó k'éédadilyéehii daagizh baa hwiilzhíísh. 
21:3:003:0	Na'atseed baa hwiilzhíísh áádóó náádi'yiidlááh baa hwiilzhíísh; táá'iyoolchǫǫh baa hwiilzhíísh áádóó habį' baa hwiilzhíísh. 
21:3:004:0	Atíńdi'nidleeh baa hwiilzhíísh áádóó dloh hasin baa hwiilzhíísh; yínííł baa hwiilzhíísh áádóó azhish baa hwiilzhíísh. 
21:3:005:0	Tsé yóó'adahaltł'iid baa hwiilzhíísh áádóó tsé áłah ál'į́ baa hwiilzhíísh; ałzéé' ásnii' baa hwiilzhíísh áádóó doo ałzéé' ásnii' da baa hwiilzhíísh. 
21:3:006:0	Há'déest'į́į́' baa hwiilzhíísh áádóó yóó'i'iideeł baa hwiilzhíísh; wótą' baa hwiilzhíísh áádóó yóó'ahilghan baa hwiilzhíísh. 
21:3:007:0	Ni'iildlaad baa hwiilzhíísh áádóó ná'álkad baa hwiilzhíísh; adéesyéél baa hwiilzhíísh áádóó yáti' baa hwiilzhíísh. 
21:3:008:0	Ayóó'ó'ó'ní baa hwiilzhíísh áádóó ak'ediniih baa hwiilzhíísh; anaa' baa hwiilzhíísh áádóó k'é baa hwiilzhíísh. 
21:3:009:0	Ha'át'íísh bee naalnishí yinaalnishii bá bíná'ayiideeł? 
21:3:010:0	Nihokáá' dine'é ádił ni'íníísh yee naa ádídantaah doo biniyé Diyin God beidiní'ą́ągo yiiłtsą́. 
21:3:011:0	T'áá ałtsoní nizhónígo baa hwiilzhíishgo áyiilaa áádóó ałdó' dabijéí bii' hool'áágóó dahólǫ́ǫ doogo bił béédahózingo áyiilaa; azhą́ ákót'ée nidi, hodeeyáádóó nihoníyáajį' Diyin God binaanish áyiilaaígíí doo hoł béédahoozį́į́' át'ée da. 
21:3:012:0	Díí shił bééhózin: hódayéełkaahgo hoł nidahoozhǫǫh áádóó yá'át'ééh ádajooníłígíí náábíláahgo há yá'ánáánát'éeh dooígíí doo ła' há nááhódlǫ́ǫ da. 
21:3:013:0	Áádóó ałdó' diné t'ááłá'í jinítínígo dazhdooyį́įłii áádóó dazhdoodlį́įłii índa hanaanish baa hoł dahózhónígíí éí Diyin God ainíláii át'é. 
21:3:014:0	T'áá ha'át'íhída Diyin God t'áá bí ááníiłgo éí hool'áágóó hólǫ́ǫgo shił bééhózin; t'áadoo bóoltsódí da, doodaii' t'áadoo bits'ą́ą́dóó hadoolyéłí da, áádóó diné éí Diyin God deidósin doo biniyé ábi'diilyaa. 
21:3:002:1	Iiná doo ákǫ́ǫ́ át'ée da
21:3:015:0	K'ad hólóonii éí t'áá náshiinídą́'ídi hólǫ́, áádóó hodooleełii éí t'áá íídą́ą́' hólǫ́, áádóó Diyin God éí bił yóó'ahóóyáii yit'íní áyoolííł. 
21:3:016:0	Áádóó ałdó' oo'áłígíí biyaagi doo haada yit'éego ánihwiit'aah dooleeł yę́ęgi doo yá'áshónígi áhoonííł, áádóó t'áá ákogi áhoonííł dooleeł yę́ęgi doo yá'áshónígi áhooníiłgo yiiłtsą́. 
21:3:017:0	Ákohgo t'áá shiyi'ídi ádíshní, Diyin God éí t'áá ákogi ádaat'éii áádóó doo yá'ádaashóonii yeinít'į́į dooleeł, háálá áhooníiłii áádóó naanish danilíinii t'áá ałtso baa dahwiilzhíísh. 
21:3:018:0	T'áá shiyi'ídi ádííniid, Nihokáá' dine'é ádaat'éegi Diyin God ííshją́ą́ ábidoolííł, áko t' áá bí naaldlooshii danilį́įgo ádadidooltsééł. 
21:3:019:0	Háálá nihokáá' dine'é bił áhooníłígi át'éego naaldlooshii ałdó' bił áhoonííł; ts'ídá t'ááłáhígo haz'ą́ ákót'éego bił áhoonííł: t'ááłá'í daatsaahígi át'éego ła'ígíí ałdó' daniné; t'áá aaníí, t'áá ałtso aheełt'éego nídídzih; éí bąą diné éí naaldlooshii doo yiláahgo át'ée da, háálá ts'ídá t'áá ałtsoní t'áadoo nídandlíní da. 
21:3:020:0	T'áá ałtso t'ááłáhíjį' ahikááh; t'áá ałtso łeezh łibáhí bits'ą́ą́dóó ádaat'į́, áádóó t'áá ałtso łeezh łibáhí nídadoodleeł. 
21:3:021:0	Diné biníłch'i dego ahwiileehígíí áádóó naaldlooshii biníłch'i yaago nahasdzáán bich'į' ahwiileehígíí háísh bił bééhózin? 
21:3:022:0	Éí bąągo diné t'áá bí binaanish yaa bił nihoozhǫǫhígíí biláahgo yá'át'éehii ádingo baa ákoniizį́į́', háálá éí t'áá bíi'ii át'é; éí bikéé'dóó át'ée dooleełígíí háísh bił ííshją́ą́ íidoolííł?
