21:8:001:1	Aláahgo naat'áanii bik'eh honíł'į́
21:8:001:0	Háísh diné hóyáaniigi át'é? Áádóó t'áadoo le'é ááhyiłníinii háísh bił bééhózin? Diné habee hódzą' bee hoł hózhǫ́ joolnii', áádóó jisti' jinoolninii łahgo ádoonííł. 
21:8:002:0	Diyin God binááł ádee ha'diidziihígíí biniinaa aláahgo naat'áanii bibik'eh ó'oo'níiłii bik'eh honíł'į́, nidishní. 
21:8:003:0	T'áadoo tsxį́įłgo bits'ą́ą́' hidínáhí; ha'át'íhída doo yá'át'éehii t'ááká haółt'ééh lágo, háálá ha'át'íhída baa nideeshaał hiniizįįhgo t'áá bí nízingo yaa naaghá. 
21:8:004:0	Aláahgo naat'áanii bizaad bidziilígíí bąą, Ha'át'íí lá baa naniná? háísh yididooniił? 
21:8:002:1	Diyin God ó'oolíiłii éí diné bił ééhózinii biláahdi át'é
21:8:005:0	T'áá háiida éí bibik'eh ó'oo'níiłii yik'eh hół'íinii doo yá'áshóonii t'áadoo át'é dínóozįįł da; diné hóyáanii éí hoolzhishígíí áádóó ánihwiit'aah bił bééhózin. 
21:8:006:0	Háálá biniyé ádahat'íinii t'áá ałtso baa hwiilzhíísh áádóó ánihwiit'aah bá hólǫ́; éí bąą diné bide áhósinii bide át'įįh. 
21:8:007:0	Háálá át'ée dooleełígíí doo bił bééhózin dago bich'į' áhodooníłígíí háísh yee bił hodoolnihgo yíneel'ą́? 
21:8:008:0	Diné éí níłch'i t'ą́ą́' jótą' dooleełígíí doo bíjíighah da, áádóó dazdootsaałígíí bijį́ doo dadeestsaał da dzinízin, nidi doo bízhneel'ą́ą da; anaa' baa na'aldeehdę́ę́' doo hwéé'doolnih da, doodaii' doo yá'áshóonii baa ázhdeet'ánígíí doo bits'áhodi'dooltéeł da. 
21:8:003:1	Diné be'iina' doo ahedaałt'ée da
21:8:009:0	Éí t'áá ałtso yiiłtsą́, áádóó oo'áłígíí biyaagi naanish daazlį́'ígíí t'áá ałtso t'áá shiyi'ídi baa nitsísíkééz; diné ła'da náánáła' diné binazhnit'áhígíí bee atí'ánízhdíl'į́į doo. 
21:8:010:0	Áko diné doo yá'áshóonii yóó'ádabi'diilyaago yiiłtsą́. Hodiyingo haz'ą́ą́ góne' yah anídaakah áádóó ch'éédahakááh nít'éé', áko kin haal'áagi yaa nidaaskai yę́ę baa dahoyoos'nah. Díí ałdó' t'áadoo nánídlíní da. 
21:8:011:0	Doo yá'áshǫ́ǫ́góó ádáát'įįdii doo tsxį́įłgo bá nidahwiit' aahgóó biniinaa diné ba'áłchíní dabijéí yee ádił ni'iidzííh deidiniidzį́į́'. 
21:8:012:0	Azhą́ diné ádił ni'iilzíihii t'ááłáhídi neeznádiindi ádił ná'ásiih áádóó as'ahgóó bíyoołkáałgo ályaa nidi, t'áá aaníí shił bééhózingo Diyin God deidósinii, t'áá éí binááł dahodísingo bá yá'át'éeh dooleeł. 
21:8:013:0	Nidi diné doo yá'ájíshóonii éí doo há yá'át'éeh da dooleeł, áádóó chaha'oh ahildóhígi át'éego doo nízaadgóó jiiná ájóle' át'ée da, háálá Diyin God binááł doo hozdósin da. 
21:8:014:0	Nahasdzáán bikáa'gi t'áadoo nánídlíníii baa nida'aldeeh; jó, diné doo yá'ádaashóonii ádayoolíłígíí bik'ehgo diné t'áá ákogi ádaat'éii bich'į' áánííł, áádóó diné t'áá ákogi ádaat'éii ádayoolíłígíí bik'ehgo diné doo yá'ádaashóonii bich'į' áánííł. Díí ałdó' éí t'áadoo nánídlíní da, dishní. 
21:8:015:0	Kódíshní, Nił honeedlį́įgo ná yá'át'ééh, háálá oo'áłígíí biyaagi diné ayą́ áádóó adlą́ índa bił hózhǫ́ǫgo hinánígíí t'ah náábíláahgo bá yá'ánáánát'éeh dooleełii ádin, áko oo'áłígíí biyaagi nizhdoołdįįł bijį́įjį' Diyin God haidiní'ánígíí biyi' nijishnishgo hwee hólóonii t'éí doodzih. 
21:8:016:0	Hódzą́ shił bééhodoozįįł nisingo shijéí bee hásht'į́įgo ádaa dinisht'ą́. Nahasdzáán bikáa'gi naanish baa da'íldéehii dínéesh'įįł niizį́į'go jį́įgo, doodaii' tł'ée'go doo ajoołháásh át'ée da. 
21:8:017:0	Ákohgo Diyin God binaanish t'áá ałtso nééł'į́į́'; oo'áłígíí biyaagi Diyin God binaanish silį́'ígíí éí diné ła' doo hoł bééhoozį́į́' át'ée da, háálá azhą́ éí shił bééhodoozįįł jinízingo haa shį́į́ néelą́ą'jį' baa nitsídzíkees nidi, t'áadoo hoł bééhodoozįįł da; t'áá aaníí, t'ah nááyówehgo, azhą́ diné hóyáanii, Shił bééhózin, nízin nidi, hoł bééhodoozįįłígíí doo bízhneel'ą́ą da.
