21:6:001:0	Oo'áłígíí biyaagi diné t'áá ałtso doo yá'áshǫ́ǫ́góó bich'į' áhooníiłgo yiiłtsą́: 
21:6:002:0	diné jílíinii éí yódí áádóó jit'íinii índa ił ídlį́ Diyin God haidiní'ą́, áko hwii' sizíinii t'áadoo yídin nilínígóó t'áá ałtsoní hwee hólǫ́ǫgo áhoolaa, nidi bóhoneedlį́įgo azhdooyį́łígíí Diyin God t'áadoo haidiní'ą́ą́góó doo hak'éí nilíinii yidooyį́į́ł. Díí t'áadoo nánídlíní da, áádóó naałniih doo yá'át'éehii át'é. 
21:6:003:0	Diné éí neeznádiin áłchíní há neheezhchį́įgo áádóó t'óó ahayóí honááhaigo azhą́ t'óó ahayóí honááhai lá nidi, hwii' sizíinii éí yá'ádaat'éehii t'áadoo yee hwiih silį́į́'góó áádóó t'ah nááyówehgo t'áadoo yóó'áho'diilyaagóogo ádíshní, T'óó hajíí'ééljí t'ah aláhígo há yá'át'ééh nít'éé'. 
21:6:004:0	Háálá t'áadoo nánídlínígóó ho'dizhchį́, áádóó chahałheeł góne' ahojileeh, índa házhi' t'áadoo bééhoozįįh da. 
21:6:005:0	T'ah nááyówehgo jį́honaa'éí t'áadoo nidi jiiłtsą́ą da, áádóó t'áadoo hoł bééhooziní da. Díí ła'ígíí yiláahgo hanályį́į́h. 
21:6:006:0	Azhą́ naakidi mííl nááhaigóó jiináa nidi, yá'ádaat'éehii t'áadoo bee ák'idzisdla'góogo haláahgo hanályį́į́h. Da' doósh t'áá ałtso t'ááłáhíjį' ahikáah da? 
21:6:007:0	Nihokáá' dine'é adooyį́į́ł biniyé t'áá ałtso yindaalnish, nidi doo yee hwiih daaleeh da. 
21:6:008:0	Hait'éegoshą' diné hóyáanii éí diné doo áhályáanii yiláahgo át'é? Diné bahojoobá'íii éí diné yinááł bił bééhózinígíí yee hináago hait'éegoshą' éí yee aláahgo át'é? 
21:6:009:0	Laanaa hwiindzinígíí biláahgo t'áadoo le'é dadziiłtse'go yá'át'ééh. Díí ałdó' t'áadoo nánídlíní da áádóó níyol ch'ééh bíjílyeed nahalin. 
21:6:010:0	T'áá íídą́ą́' dahólóonii éí t'áá íídą́ą́' bízhi' ádaalyaa, áádóó diné ájít'éii éí hwééhózin índa haláahgo ábóodziilii bił ałghazhdit'áah dooleełígíí doo bohónéedzą́ą da. 
21:6:011:0	Saad t'óó ahayóí t'áadoo nánídlínígóó bee yájíłti'go haash yit'éego diné bá yá'át'ééh? 
21:6:012:0	Diné ni'níłdįįd bijį́įjį' chaha'oh iildohígi át'éego t'áadoo nánídlínígóó hináanii bá yá'át'ééh dooleełii háísh bił bééhózin? Háálá daaztsą́ą́dóó bik'ijį' oo'áłígíí biyaagi, Kót'ée dooleeł, yididooniiłgo háí yíneel'ą́?
