42:12:001:1	A Warning against Hypocrisy
42:12:001:0	Meanwhile , the crowds grew until thousands were milling about and stepping on each other . Jesus turned first to his disciples and warned them , “ Beware of the yeast of the Pharisees—their hypocrisy .
42:12:002:0	The time is coming when everything that is covered up will be revealed , and all that is secret will be made known to all .
42:12:003:0	Whatever you have said in the dark will be heard in the light , and what you have whispered behind closed doors will be shouted from the housetops for all to hear !
42:12:004:0	“ Dear friends , do n't be afraid of those who want to kill your body ; they can not do any more to you after that .
42:12:005:0	But I 'll tell you whom to fear . Fear God , who has the power to kill you and then throw you into hell . Yes , he 's the one to fear .
42:12:006:0	“ What is the price of five sparrows—two copper coins ? Yet God does not forget a single one of them .
42:12:007:0	And the very hairs on your head are all numbered . So do n't be afraid ; you are more valuable to God than a whole flock of sparrows .
42:12:008:0	“ I tell you the truth , everyone who acknowledges me publicly here on earth , the Son of Man will also acknowledge in the presence of God 's angels .
42:12:009:0	But anyone who denies me here on earth will be denied before God 's angels .
42:12:010:0	Anyone who speaks against the Son of Man can be forgiven , but anyone who blasphemes the Holy Spirit will not be forgiven .
42:12:011:0	“ And when you are brought to trial in the synagogues and before rulers and authorities , do n't worry about how to defend yourself or what to say ,
42:12:002:1	Parable of the Rich Fool
42:12:012:0	for the Holy Spirit will teach you at that time what needs to be said . ”
42:12:013:0	Then someone called from the crowd , “ Teacher , please tell my brother to divide our father 's estate with me . ”
42:12:014:0	Jesus replied , “ Friend , who made me a judge over you to decide such things as that ? ”
42:12:015:0	Then he said , “ Beware ! Guard against every kind of greed . Life is not measured by how much you own . ”
42:12:016:0	Then he told them a story : “ A rich man had a fertile farm that produced fine crops .
42:12:017:0	He said to himself , ‘ What should I do ? I do n't have room for all my crops . '
42:12:018:0	Then he said , ‘ I know ! I 'll tear down my barns and build bigger ones . Then I 'll have room enough to store all my wheat and other goods .
42:12:019:0	And I 'll sit back and say to myself , “ My friend , you have enough stored away for years to come . Now take it easy ! Eat , drink , and be merry ! ” '
42:12:020:0	“ But God said to him , ‘ You fool ! You will die this very night . Then who will get everything you worked for ? '
42:12:003:1	Teaching about Money and Possessions
42:12:021:0	“ Yes , a person is a fool to store up earthly wealth but not have a rich relationship with God . ”
42:12:022:0	Then , turning to his disciples , Jesus said , “ That is why I tell you not to worry about everyday life—whether you have enough food to eat or enough clothes to wear .
42:12:023:0	For life is more than food , and your body more than clothing .
42:12:024:0	Look at the ravens . They do n't plant or harvest or store food in barns , for God feeds them . And you are far more valuable to him than any birds !
42:12:025:0	Can all your worries add a single moment to your life ?
42:12:026:0	And if worry ca n't accomplish a little thing like that , what 's the use of worrying over bigger things ?
42:12:027:0	“ Look at the lilies and how they grow . They do n't work or make their clothing , yet Solomon in all his glory was not dressed as beautifully as they are .
