41:15:001:1	Jesus , Pilate Ęhdaa Nigiiyąąhchįį
41:15:001:0	Vanh dąį' gwagwahkhan hee , giinkhih kįh dilk'ii nąįį , ts'ą' Israel kįh dilk'ii nąįį , ts'ą' Law eech'ǫąąhtan nąįį , ts'ą' izhit kįh dilk'ii nąįį haa datthak deegihee'yaa nihłaa geegigiinkhii . Ąįįtł'ęę Jesus ch'iitsii tły'ah haa digiiyiłchaa ts'ą' gihłeegiihiłchįį ts'ą' Pilate ts'ą' nigiiyąąhchįį .
41:15:002:0	Pilate yuahkat , “ Jews nąįį goo-king inlii ? ” Jesus jyaa yahnyąą , “ Nan jyaa diinyąą t'iinyąą . ”
41:15:003:0	Giinkhih kįh dilk'ii nąįį , “ Łyaa gwinlęįį gwiizųų gwitr'it t'agwah'ya' t'inchy'aa . ” giiyahnyąą .
41:15:004:0	Ąįį geh'an Pilate , chan hee neeyuahkat , “ Nik'ee gwidii giihinkhyaa ? Łyaa gwinlęįį ninehts'į' giginkhii gwiintth'ak ! ” yahnyąą .
41:15:002:1	Jesus Giiyęhdaa Tr'igwihee'aa Geenjit Shragwaazhit
41:15:005:0	Chan hee Jesus , k'eegwiichy'aa t'inyąą kwaa , ts'ą' Pilate łyaa geegoolii kwaa .
41:15:006:0	Gweedhaa datthak nijin Passover ch'aga'aa gwagwahtsii dąį' , Pilate , ąįį juu giindhan ch'ihłak gooveenjit zheh gwaazhrąįį chanahchik .
41:15:007:0	Zhat dąį' dinjii Barabbas zheh gwaazhrąįį dhidii zhit juu k'eedeegwaadhat nąįį ts'ą' nich'itsagahthat nąįį tee dhidii ts'ą' , nich'itsagahthat gwiizhit gwitee dinjii ęhdaa tr'igwigwiin'ąįį .
41:15:008:0	Dinjii lęįį nąįį łagaajil ts'ą' ąįį zheh gwaazhrąįį gwats'an dinjii ch'ihłak chineehahchyaa ji' eenjit , Pilate goahkat .
41:15:009:0	“ Jews nąįį eenjit King nilii , ąįį nakhweenjit chinoołchyaa shohnyąą ? ” gavahnyąą .
41:15:010:0	Ginkhih k'įh dilk'ii nąįį Jesus itr'igii'ee geh'an Pilate antł'eegiiyahchįį goovaandaii .
41:15:011:0	Giinkhih kįh dilk'ii nąįį , zhit dinjii nąįį datthak Barabbas , Pilate chineeyahahchyaa eenjit jyaa dohnyąą googahnyąą .
41:15:012:0	Ts'ą' Pilate dinjii nąįį chan hee ts'ą' jyaa nyąą , “ Ąįį ji' yagha' Jews eenjit King nilii vohnyąą ąįį deehihłyaa ? ”
41:15:013:0	Ąįį dinjii nąįį gazhral ts'ą' t'igiiyahnyąą , “ Cross kat gohtsak ! ” giiyahnyąą .
41:15:014:0	“ Jidii tr'agwaanduu tr'agwah'ya' ? ” nyąą ts'ą' Pilate gavahkat . Googaa nihk'it gwandaa gazhral ts'ą' , “ Cross kat garahahtsak ąhtsii ! ” giiyahnyąą .
41:15:003:1	Niveet'ah'in Nąįį Jesus Eegeedlaa .
41:15:015:0	Pilate zhat dinjii lęįį nąįį ts'ą' gwiinzii t'asho'ya' yiindhan geh'an Barabbas zhee gwaazhrąįį gwats'an chanaahchįį ąįįtł'ęę Jesus viitrii haa gahtrii gwiłtsąįį , ts'ą' cross kat garahahtsak eenjit gwantł'eeyahchįį .
