41:16:001:1	Jesus Neegwiindaii
41:16:001:0	Ts'ą' nijin Neegwaazhii Drin gęhdaa tr'igwiindhat dąį' Mary Magdalene ( Magdalene t'ee kwaiik'it Magdela gwats'an ahaa gwinyąą t'iginyąą ) , ts'ą' James vahan Mary ts'ą' tr'injaa Salome nąįį haa jidii gwanzhįh chų' gwinzii vagwaatsan goiinkwat , Jesus vichį' kat t'igiiyeheelyaa geenjit .
41:16:002:0	Drin zhit vanh dąį' gach'ahaa'ąįį gwiizhit tth'ank'it gwats'ą' gahaajil .
41:16:003-004:0	Geedaa gwiizhit jyaa nihłagaanyąą , “ Juu tth'ank'it gwadąįį kii choh gindeiin'ąįį , diineenjit gihłeehee'aa t'oonchy'aa ? ” ( Łyaa kii nitsii t'agahnyąą ) Gwiizhit zhazhat k'iidak gwagwaah'in akhai' kii choh ch'adąį' hee gihłeerahaa'ąįį łee gwagwaah'in .
41:16:005:0	Ąįįts'ą' gwizhit nihdeegiinjil , akhai' tsyaa , gwach'aa daagąįį naazhii , shriits'ąįį dhidii gaah'in ts'ą' gihilghaa .
41:16:006:0	Ts'ą' t'agoovahnyąą , “ Noojat kwaa Nazareth gwats'an Jesus gigiiyiłtsak vinkeegǫh'in gaashandaii . Dzaa dhidii kwaa ts'ą' needhikhin t'inchy'aa . Dzaa nigiiyąąhchįį gwideek'it gooh'in .
41:16:007:0	Gaa oo'an neekhwajyaa ts'ą' vitsyaa nąįį ts'ą' Peter haa goondak , deenakhwahnyąą gwik'it , ‘Galilee gwats'ą' , nakhwehkii hihshyaa . Nyąą chy'aa gwik'it t'iizhik ąįį zhit gwizhit hǫǫh'yaa t'inchy'aa gavahnyąą . ’ ”
41:16:002:1	Jesus , Mary Magdalene ts'ą' Vigwiilkįį
41:16:008:0	Goozhit naajat dha'aii , ts'ą' gihiłghaa haa gwats'an tr'ineegaangit ts'ą' dinjii ch'ihłak gaa haa gwagwaandak kwaa it'ee shrit gąąnjat ts'ąįį .
41:16:009:0	Ąįįtł'ęę Jesus , ch'ichį' ts'an ninilkhin , Drinzhit vanh dąį' hee t'iizhik , ts'ą' Mary Magdalene ts'ą' vigwiilkįį , gwehkįį dąį' jii tr'injaa ts'an ch'anky'aa iizųų 7 yits'an tr'iinlii chy'aa t'inchy'aa .
41:16:003:1	Jesus Ditsyaa Neekwaii Nąįį ts'ą' Vigwiilkįį
41:16:010-011:0	Ąįįtł'ęę vitsyaa nąįį ts'ą' haazhii ts'ą' tr'igwigwidii gwiizhit gitree . Ąįįts'ą' nijin Jesus neegwiindaii nał'ya' nyąą ts'ą' goovaagwandak dąį' giik'injiighit kwaa .
41:16:012:0	Ąįįtł'ęę Jesus ditsyaa neekwaii nąįį kwaii k'it geh'at tr'ał tee gwa'an gee'al gwiizhit goots'ą' ch'ijuk vigweech'in ts'ą' idigweelkįį .
41:16:004:1	Jesus Ditsyaa 11 Nąįį ts'ą' Vigwiilkįį .
41:16:013:0	Oo'ee neegii'oo dąį' , vitsyaa ch'izhii nąįį datthak haa gwagwaandak , gaa gook'injigiighit kwaa .
41:16:014:0	Ndaagwąąn'ąį' ąįįtł'ęę Jesus ditsyaa 11 nąįį ts'ą' vigwiilkįį ch'aga'aa gwiizhit ch'ats'ą' t'agoovahnyąą . Gwik'injigwiighit gii'įį kwaa ts'ą' gooki' dach'at geh'an juu yah'ya' nąįį k'injigiighit kwaa .
41:16:015:0	Jii jyaa goovahnyąą , “ Jii nankat datthak neekhwadal ts'ą' jii Gwandak Nizįį dinjii nąįį datthak haa goondak .
41:16:016:0	Juu gwik'injiighit ts'ą' chųų vats'an tr'iłtsąįį t'ee neeheezhii , gaa juu gwik'injiighit kwaa t'ee vatr'agwaanduu datthak vaa t'iheechy'aa ts'ą' Vit'eegwijyąhchy'aa an yahahtsyaa t'oonchy'aa .
41:16:017:0	Juu gwik'injiighit nąįį t'aih goovantł'eeraheelyaa ts'ą' gwinlęįį gwide' t'igihee'yaa t'oonchy'aa . Shoozhri' zhit ch'anky'aa iizųų lęįį dinjii nąįį ts'an tr'igiheelyaa . Ch'anky'aa Shroodiinyąą zhit ch'izhii ginjik ky'aa gigiheehkhyaa .
41:16:005:1	Vit'eegwijyąhchy'aa , Jesus Zheekat Gwits'ee Hiłchįį
41:16:018:0	Ąįįts'ą' gyųų choh neegahahchik akwat ch'oondaih iizųų ( poison ) geenį' ji' gaa nihk'it duuyeh k'eegwiichy'aa t'iginjii t'oonchy'aa . Juu iłts'ik nąįį gaa kat nagahaandal ts'ą' gavaanjik gwinzii neegweheelyaa . ”
41:16:019:0	K'eegwaadhat Jesus goots'ą' ginkhe' ąįįtł'ęę Vit'eegwijyąhchy'aa zheekat gwits'ee gihiłchįį ts'ą' Vit'eegwijyąhchy'aa vishriits'ąįį zhat naadii .
41:16:006:1	Chan hee Saint Mark Gwandak Ch'izhii Ndaanąą'ąį'
41:16:020:0	Jesus vitsyaa nąįį nijuk datthak neegihiidal ts'ą' Gwandak Nizįį eegwagwaandak ts'ą' K'eegwaadhat goovaatr'agwah'in ts'ą' geegwaroolii kwaa t'igihee'yaa geenjit t'aih goots'an iłtsąįį , ąįį gwik'iighai' jidii eegwagwaandak , dinjii nąįį gwahah'yaa ts'ą' łi'deegwidlii gaageheendaii geenjit . Mark 16 : 9-10 Tł'ęę deekwa'yaa goorahnyąą ąįį datthak Peter ts'ą' dijyaa nąįį haa gwagwaandak . Ąįįtł'ęę Jesus , aadah East gwats'ą' West gwats'ą' goohił'e' . Jii gwaandak neereezhii k'iighai' gwaandaii ndaanąą'ąį' kwaa tr'ihee'yaa ąįį shroodiinyąą ts'ą' khit łi'deegwidlii haa nats'ąą neereheezhii geegwagwahaandak geenjit .
