41:3:001:1	Jesus , Dinjii Vanli' Iłchįį Dhidlit Ts'ą' Tr'iinjik
41:3:001:0	Nijin Jesus chan hee Israel nąįį tr'igiinkhii zheh nihdineezhii dąį' , izhit gwizhit dinjii vanli' iłchįį goodlit zhat dhidii .
41:3:002:0	Izhit gwizhit dinjii lat nąįį dilk'ii Jesus k'eegahtii , ąįį dinjii vanli' shrineeheelyaa ji' geenjit . Jyaa diizhik ji' Neegwaazhii Drin zhit gwiizųų t'ii'in giihaanjyaa geenjit .
41:3:003:0	Ts'ą' ąįį dinjii vanli' iłchįį dhidlit t'ahnyąą “ Aanaii dzaa dinjii nąįį andah shats'ą' hinkhaii . ”
41:3:004:0	Ąįįtł'ęę Jesus dinjii nąįį oahkat , “ Dii-law Neegwaazhii Drin zhit deegwehee'yaa goo'aii gwinyąą ? Dinjii ts'igweheenjyaa akwat dinjii ts'arahahthaa , dinjii viheekwaa gwits'į' vits'igweheenjyaa akwat dinjii ęhdaa tr'igwirehee'aa ? ” Gaa k'eegwiichy'aa t'iginyąą kwaa .
41:3:005:0	Jesus , vik'įį gwanlii ts'ą' gootee datthak gwąąh'in gaa nihk'it gooveenjit tr'igwidii , gwiizųų tr'ihkhit ninjich'agadhat ts'ą' gooki' tth'an dach'at geh'an . Ąįįtł'ęę zhit dinjii jyaa dahnyąą , “ Nanleetth'ak kwaii nihky'aa oonjii . ” Ąįį dinjii jyaa diizhik ts'ą' vanli' nizįį neekhwadlit .
41:3:002:1	Dinjii Lęįį Nąįį Van Vee Łagaajil
41:3:006:0	Ąįįts'ą' Pharisee nąįį Jews tr'igiinkhii zheh cheegahoojil , gwagwahkhan King Herod vijyaa nąįį haa łigiiljil ts'ą' Jesus nats'ahts'ą' ęhdaa tr'igwigwehee'aa geegiginkhe' .
41:3:007:0	Jesus ts'ą' ditsyaa nąįį haa Galilee van vee gwats'ą' gahaajil . Galilee nahkat , ts'ą' Judea nahkat gwats'an dinjii lęįį nąįį yatąįį neehiidal ,
41:3:008:0	ąįįts'ą' Jerusalem kwaiik'it gwachoo , Idumea nahkat gwa'an , Jordan han ndųhts'ąįį gwats'an gwa'an ąįįts'ą' Tyre ts'ą' Sidon kwaiik'it gwachoo geelin gwa'an datthak gwats'an lęįį nąįį dee'in datthak giiyeenjit gwiitth'ak geh'an Jesus tąįį gahaajil .
41:3:009:0	Tr'ihkhit dinjii gwanlii ts'ąįį ditsyaa nąįį t'ahnyąą , tr'ihchoh dzaa sheenjit nǫhłit , jii dinjii lęįį nąįį giiyeelin datthak giiyaa gwiłtł'at geh'an t'inyąą .
41:3:010:0	Dinjii lęįį nąįį shrininlik googaa nihk'it dinjii iłts'ik lęįį nąįį giits'ą' handak , giikat nahaandal eenjit gwizhrįh t'igiiyah'in .
41:3:011:0	Ąįįts'ą' nijin dinjii ch'anky'aa iizųų goozhit t'inchy'aa nąįį giiyąąh'in dąį' giiyęhdaa nit'eegaadhak ts'ą' giiyahshral , “ Nan , Vit'eegwijyąhchy'aa Vidinji' inlii ! ” giiyahnyąą .
41:3:003:1	Jesus , Tr'ihił'e' Twelve Heelyaa Nąįį Gwiteetr'iinlii
41:3:012:0	“ Juu t'ihchy'aa geegǫǫndak shrǫ' ! ” Jesus , ch'anky'aa iizųų nąįį , ginjik nint'aii haa jyaa gavahnyąą .
41:3:013:0	Jesus , ąįįtł'ęę taih kat gwa'an hadhizhii ts'ą' juu dinjii niindhan nąįį aanaii ahnyąą , ąįįts'ą' giits'ą' haajil .
41:3:014-015:0	Ąįįts'ą' dinjii twelve nąįį gwiteetr'iinlii ts'ą' juk gwats'an nakhoozhri' , “ Tr'ihił'e' , ” oohaazhyaa ąįįts'ą' “ Shaahohłyaa geenjit gwiteetr'inakhwinlii t'oonchy'aa . Ąįįts'ą' chan nihky'aa k'eekhwadal ts'ą' Vit'eegwijyąhchy'aa eegwahoondak , ąįįts'ą' ch'anky'aa iizųų dinjii nąįį ts'an tr'ahohłyaa geenjit t'aih akhwa'yaa t'oonchy'aa . ” goovahnyąą .
41:3:016:0	Jii dinjii nąįį gwitee tr'agoovinlii Tr'ihił'e' giheelyaa geenjit : Simon ( ąįį Jesus , Peter yoozhri' niłtsąįį ) ,
41:3:017:0	Zebedee vigii James ts'ą' vachaa John haa ( Jesus , gavoozhri' ch'ijuk niłtsąįį , ts'ą' Boanerges neegoovaanyąą , ąįįt'ee “ Dinjii nąįį nahtan haadhak k'it giint'aii . ” gwinyąą t'igwinyąą . )
41:3:018:0	Andrew , Philip , Bartholomew , Matthew , Thomas , Alphaeus vidinji' James , Thaddaeus , ąįįts'ą' Simon t'ee Zealot nilii ( Zealot t'ee , “ Dinjii łyaa danahkat geet'indhan nilii , ” gwinyąą t'igwinyąą ) .
41:3:004:1	Jesus ts'ą' Beelzebul
41:3:019:0	Ts'ą' Judas Iscariot , ąįįt'ee Jesus tr'ahaahkhwaa geenjit gwantł'ąhchįį t'inchy'aa .
41:3:020:0	Ąįįtł'ęę Jesus dizheh gwits'ee hoozhii , ts'ą' ditsyaa nąįį haa chan hee ch'igihee'aa gaa it'ee shri' goovaa dinjii gwanlii ts'ąįį gooveenjit nigwiighit kwaa .
41:3:021:0	Nijin Jesus vizheh k'ąą nąįį gwigwiitth'ak dąį' giik'eehahtyaa geenjit giiyinkeegwaah'in , ts'ą' gihłeegiihiłchįį dinjii nąįį , “ Vagwandaii iizųų dhidlit . ” gaa giiyahnyąą geh'an .
41:3:022:0	Jerusalem gwats'an Law eech'ǫąąhtan nilii nąįį jyaa ginyąą , “ Ch'anky'aa iizųų nąįį datthak ts'ą' k'eedeegwaadhat Beelzebul oaazhii vizhit dhidii ąįį vat'aii haa ch'anky'aa iizųų cheehilii t'ii'in . ” ginyąą .
41:3:023:0	Ąįįts'ą' t'ee Jesus dinjii zhat łeeljil nąįį , aanaii gavahnyąą ts'ą' gwandak haa geegoovąąhtan , “ Nats'ahts'ą' Satan dinjii nąįį goozhit gwats'an Satan ch'anky'aa iizųų nąįį cheehahchyaa ?
41:3:024:0	Jidii nahkat nihts'įį nihts'ą' nineegiidal ts'ą' nihłigiighan ji' khants'ą' an gweheelyaa gwagwahahtsyaa .
41:3:025:0	Zhehk'aa gwizhit chan nihłigiighan ji' t'ee tthak an gweheelyaa gwagwahahtsyaa .
41:3:026:0	Ąįį gwik'it Satan vineegoo'ee khaihłak gwanlii kwaa ts'ą' nihtee nihłigiighan ji' duuyeh niighyuk khaihłak gwanlii ts'ą' nihłaa shrahtee gwagwahahtsyaa ts'ą' an gweheelyaa t'oonchy'aa .
41:3:027:0	“ Dinjii ch'ihłee gaa duuyeh zhyaa dinjii vagwahtł'oo vizheh zhyaa nihdąhkhaii ts'ą' yagwadal oonjii t'inchy'aa . Diyiłchaa ts'ą' naghwaayiin'ąįį ji' gwizhrįh yagwadal ooheendal t'oonchy'aa .
41:3:028:0	“ Łi'haa nakhwaagwaldak t'inyąą , dinjii ch'ihłee tr'agwaanduu nihłehjuk vigwitr'it gwanlii ji' gaa , shatr'agwaanduu gwanlii nyąą ts'ą' Vit'eegwijyąhchy'aa sheenjit oo'an gwihinlii ahnyąą ji' khan gooveenjit oo'an gweheelyaa t'oonchy'aa .
41:3:029:0	Gaa juu Ch'anky'aa Shroodiinyąą gwiizųų eeginkhii ji' , ąįį tr'agwaanduu t'ii'in geh'an ndaagwąą'ąį' gwats'ą' datthak duuyeh veenjit vatr'agwaanduu oo'an gwirihilii t'oonchy'aa .
41:3:005:1	Jesus Vahan , ąįįts'ą' Vachaa Nąįį Haa
41:3:030:0	“ Ch'anky'aa iizųų vizhit t'inchy'aa ! ” , giiyahnyąą geh'an Jesus jyaa gavahnyąą t'inyąą .
41:3:031:0	Izhit zhat chiitąįį vahan , ts'ą' vachaa nąįį haa k'eedal , chiitąįį nigiilzhii gwiizhit zheh giiyeenjit ch'oahkat .
41:3:032:0	Dinjii lęįį nąįį Jesus eelin giilk'ii gwiizhit jyaa digiiyahnyąą , “ Nahan , ts'ą' nachaa nąįį haa , chiitąįį nigiilzhii , ts'ą' nooł'ya' nagahnyąą . ” giiyahnyąą .
41:3:033:0	Ts'ą' t'agoovahnyąą , “ Juu dee shahan ts'ą' shachaa nąįį haa nilii ? ”
41:3:034:0	Ąįįts'ą' , t'ee Jesus ąįį juu yeelin dilk'ii nąįį tee gwąąh'in ts'ą' jyaa goovahnyąą , “ Jii nąįį t'ee shahan ts'ą' shachaa nąįį haa t'igiinchy'aa .
41:3:035:0	Juu Vit'eegwijyąhchy'aa doo'ya' gavoonyąą nąįį gwik'it t'igii'in nąįį t'ee shahan , shachaa , ts'ą' shijuu nąįį haa nilii t'oonchy'aa . ” gavahnyąą .
