41:1:001:1	John Chųų Gwats'an Ąhtsii Gwaandak
41:1:001:0	Jii t'ee Vit'eegwijyąhchy'aa Vidinji' Jesus Christ nilii ąįį Vagwandak Nizįį t'inchy'aa .
41:1:002:0	Jii t'ee yeenaa dąį' Isaiah Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii tr'ookit John deezhit gwadąąntł'oo : “ Jii dinjii t'ee gwaandak shi'įį eegwahaandak t'inchy'aa . K'iindaa nits'ii hał'aa , k'eegwiichy'aa datthak nikįh shrigweheelyaa geenjit . ”
41:1:003:0	Nangwinjir gwa'an tr'azhral gwigwiitth'ak ts'ą' jyaa digwinyąą , “ K'eegwaadhat vits'ii tąįį gwinjik shrigwinlii ts'ą' k'iindaa tąįį k'igwąą'ee heekhaa veenjit nagwiintthaii ! ”
41:1:004:0	Ąįįts'ą' t'ee John chųų gwats'an ąhtsii nilii nangwinjir gwa'an vigwiilkįį ts'ą' chųų gwats'an ąhtsii ts'ą' jyaa nyąą ts'ą' geech'ǫąąhtan , “ Nakhwatr'agwaanduu gwats'an łihts'eedǫǫ'ee ts'ą' chųų nakhwats'an ilii , ąįįtł'ęę t'ee Vit'eegwijyąhchy'aa nakhwatr'agwaanduu nakhweenjit oo'an gweheelyaa . ” dinjii nąįį jyaa dakhwa'yaa goo'aii ahnyąą ts'ą' gwaandak .
41:1:005:0	Judea nahkat ts'ą' Jerusalem kwaiik'it gwachoo gwizhit gwats'an dinjii lęįį nąįį John giheetth'ak eenjit giits'ą' haajil . Diitr'agwaanduu gwanlii ginyąą ts'ą' t'ee Jordan han gwinjik gwizhit chųų goots'an iłtsąįį .
41:1:006:0	John , nin Camel , ąįį vaghai' haa gwach'aa iłtsąįį naazhii , ts'ą' ch'adhah haa tthah iłtsąįį dazhrak tł'an giłchaa , ąįįts'ą' chan ch'ahahsak ts'ą' ch'ineendzit soongąįį kwaii shih a'ii , ąįį kwaii a'aa .
41:1:007:0	Dinjii nąįį ts'ą' khaginkhee , ts'ą' jyaa nyąą , “ Dinjii ch'ihłee shatąįį heekhaa łahchy'aa shandaa veegoo'aii ts'ą' jiintsii t'inchy'aa it'ee shrit jiintsii ts'ąįį . Zhat nikiigwihihtthal ts'ą' vakwaiitryaa , dineehih'at geenjit sheegoo'aii kwaa t'ihnyąą .
41:1:002:1	Jesus , Chųų Vats'an Dhidlit ts'ą' Vik'eegwarandaii
41:1:008:0	Shįį ąįį chųų haa chųų nakhwats'an ałtsii , gaa adan ąįį Ch'anky'aa Shroodiinyąą haa nakhwats'an chųų hahtsyaa t'inchy'aa , ” gavahnyąą .
41:1:009:0	Ąįįtł'ęę niighyuk gwahaadhat kwaa ts'ą' Jesus , Galilee nahkat gwizhit kwaiik'it Nazareth gwats'ą' haazhii ts'ą' Jordan han gwinjik gwats'ą' haazhii ts'ą' John yats'an chųų iłtsąįį .
41:1:010:0	Ts'ą' nijin Jesus chųų ts'an khaneezhii gwagwahkhan zheekat nihky'aa t'igwiizhit ts'ą' Ch'anky'aa Shroodiinyąą , dziitsal dove k'it t'inchy'aa yeedaa gwats'an yak'aa needaanąįį gwąąh'in .
41:1:011:0	Ąįįtł'ęę gwideezhuh , zheekat gwats'an jyaa nyąą , “ Nan Shidinji' , łi'haa neet'iihthan inlii ts'ą' łyaa nashoo ahłįį ! ” gwinyąą .
41:1:012:0	Gwagwahkhan łąą nangwinjir gwa'an gwats'ą' Ch'anky'aa Shroodiinyąą haazhii yiłtsąįį .
41:1:003:1	Jesus , Dinjii Łuk Kee'in Dǫǫ Nąįį Aanaii Shatąįį Hohjyaa Goovahnyąą
41:1:013:0	Ts'ą' drin 40 gwiteegogwąąnchy'aa datthak zhat nangwinjir t'inchy'aa . Izhit zhat dąį' Satan yik'eegwandaii tr'agwaanduu t'ihee'yaa ji' geenjit . Izhit gwa'an nin iizųų gwanlii tee gwa'an t'inchy'aa gaa zheekat gwich'in nąįį giits'ą' haajil ts'ą' giits'iinya' .
41:1:014:0	Nijin John , zhee gwaazhrąįį nagąąhchįį dąį' , ąįįtł'ęę t'ee Jesus , Galilee nahkat gwats'ą' haazhii ts'ą' Vit'eegwijyąhchy'aa Vagwandak Nizįį eech'ǫąąhtan .
41:1:015:0	“ Juk drin t'ee zhat nigwiindhat ! Vit'eegwijyąhchy'aa Veegwinii'ee ąįį gwats'ą' juk nahgwan t'oonchy'aa ts'ą' nakhwatr'agwaanduu ts'į' łihts'eedǫǫ'ee ts'ą' Gwandak Nizįį k'injuhkhit . ” goovahnyąą .
41:1:016:0	Jesus , Galilee van vee gwa'an neehidik gwiizhit Simon ts'ą' dachaa Andrew haa chihvyaa zhit łuk goonjii goovąąh'in . Łuk goonjii haa dagwagwaandaii .
41:1:017:0	Ąįįts'ą' Jesus t'agoovahnyąą , “ Shaa hoh'oo , nats'ahts'ą' dinjii nąįį tee goohohdal , geenakhwahałchyaa . ”
41:1:018:0	Jyaa nyąą googwahkhan digichihvyaa akhagoonyąą ts'ą' giiyaahaa'oo .
41:1:019:0	Ąįįtł'ęę Jesus k'iindaa tth'aii hee teeghaii ahaa akhai' Zebedee vidinji' neekwaii , James ts'ą' vachaa John haa tr'ihchoo zhit digichihvyaa shrigilii goovah'in .
41:1:004:1	Dinjii Ch'anky'aa Iizųų Vizhit Dhidii
41:1:020:0	Jesus goovah'in gwagwahkhan goovoozhrii ; zhat tr'ihchoo zhit dinjii gooveenjit tr'agwah'in nąįį haa digiti' Zebedee akhagoonyąą ts'ą' Jesus haa gahaa'oo .
41:1:021:0	Jesus , ditsyaa nąįį haa Capernaum kwaiik'it k'eegiidal ts'ą' Neegwaazhii Drin ( Saturday ) zhit nagwaanąįį dąį' Israel nąįį tr'igiinkhii zheh nihdeiinzhii ts'ą' geech'ǫąąhtan .
41:1:022:0	Dinjii nąįį giiyiitth'ak dąį' gooveenjit geegwaroolii kwaa gwiky'aa geech'ǫąąhtan . Law eech'ǫąąhtan nąįį ( Scribes ) k'it łyaa t'inyąą kwaa , dinjii viginjik nint'aii haa geech'oohtan k'it geech'ǫąąhtan .
41:1:023:0	Izhit gwizhit dinjii ch'anky'aa iizųų vizhit t'inchy'aa dhidii ,
41:1:024:0	ts'ą' azhral ts'ą' jyaa nyąą , “ Jesus Nazareth kwaiik'it gwats'an inkhaa , jidii diinanh niindhan ? An diihahtsyaa lee t'ini'in ? Juu t'iinchy'aa naashandaii ! Vit'eegwijyąhchy'aa vats'an Shroodiinyąą t'iinchy'aa ! ”
41:1:025:0	Jesus gwint'aii ch'anky'aa iizųų idiikhagiinkhee , “ Deegwahtsai' kwaa ts'ą' ąįį dinjii vizhit tr'iinkhaii ! ” yahnyąą .
41:1:026:0	Ch'anky'aa iizųų k'iighai' , vatthąį' gwint'aii daatrat naanaii ts'ą' gwint'aii azhral , gwiizhit ąįį ch'anky'aa iizųų yats'an khaiinzhii .
41:1:027:0	Dinjii nąįį datthak gooveenjit geegwaroolii kwaa t'igwiizhit ts'ą' nihłagwaakat ts'ą' t'iginyąą , “ Nats'ahts'ą' yeenjit ginjik di'įį t'inyąą ? Geech'arǫąąhtan k'eejit haa geech'ǫąąhtan lee t'ii'in ? Jii dinjii łyaa vat'aii gwanlii haa ch'anky'aa iizųų nąįį ts'ą' k'eedeegwaadhat ts'ą' giik'eegwahthat ! ” jyaa ginyąą .
41:1:005:1	Jesus , Dinjii Lęįį Nąįį Shrineiinlik
41:1:028:0	Ąįįts'ą' Jesus deezhit ąįį vagwandak , khants'ą' Galilee nahkat gwa'an datthak gwintł'oo giiyeeginkhii .
41:1:029:0	Jesus vitsyaa nąįį ts'ą' James ts'ą' John nąįį haa Israel tr'igiinkhii zheh gwats'an chineegiijil , gwagwahkhan datthak Simon , ts'ą' Andrew haa goozheh nihdeegiinjil .
41:1:030:0	Simon va'at ąįį vahan ts'ik nindhaa haa iłts'ik ts'ą' ndaka'ee gwiizhit nihdeegiinjil gwagwahkhan Jesus haa gwagwaandak .
41:1:031:0	Ąįįts'ą' yats'ą' haazhii ts'ą' yanli' oonjik ts'ą' ndak nineeyiłjin , ts'ą' ts'ik nindhaa dii'įį kwaa naanaii , gwagwahkhan gooveegwitr'it t'igwihił'ya' ts'ą' shih goovęhdaa niinlii .
41:1:032:0	Zhat khaa gwik'ich'a'ąįį gwiizhit , dinjii iłts'ik nąįį ts'ą' juu ch'anky'aa iizųų vizhit nąįį datthak Jesus ts'ą' nihdeegiinlii .
41:1:033:0	Zhat kwaiik'it gwats'an dinjii nąįį datthak , zhit zheh nihdeegweedii gwa'an łigeeljil .
41:1:006:1	Jesus , Galilee Nahkat Gwa'an Gwaandak
41:1:034:0	Dinjii lęįį nąįį ts'ik nihłehts'į' t'iichy'aa haa iłts'ik nąįį shrineiinlik , ąįįts'ą' ch'anky'aa iizųų vizhit nąįį chan goots'an tr'ininlii ts'ą' ch'anky'aa iizųų nąįį gigiheehkhyaa geenjit goots'an gwahtsii kwaa , juu t'inchy'aa giiyaandaii geh'an .
41:1:035:0	Jesus , vanh dąį' tth'aii hee tǫǫ goo'aii gwiizhit khakee'ąįį ts'ą' zheh chyahaazhii ts'ą' oo'ok tthan goo'aii gwa'an gwats'ą' haazhii , zhat khadigiheejyaa geenjit .
41:1:036:0	Gaa Simon ts'ą' juu vaa t'inchy'aa nąįį giiyankeegwah'in .
41:1:037:0	Nijin giigwąh'ąįį dąį' , “ Juu nąįį datthak nankeegwaah'in ! ” giiyahnyąą .
41:1:038:0	Jesus t'agoovahnyąą , “ Dzaa gwa'an kwaiik'it goodlii kwaii datthak gwats'ą' tr'ahoojyaa , izhit gwa'an chan Gwandak Nizįį eegwahaaldak goo'aii , jyąhts'ą' geh'an dzaa gwats'ą' hoiizhii t'ishi'in . ”
41:1:007:1	Jesus , Dinjii Shrininlik
41:1:039:0	Zhat gwats'an Galilee nahkat datthak k'eekhwazhii ts'ą' Israel nąįį tr'igiinkhii zheh kwaii gwizhit Gwandak Nizįį eegwaandak ts'ą' ch'anky'aa iizųų nąįį chan dinjii zhit ts'an khaneegoovinzhit .
41:1:040:0	Ts'ą' dinjii ch'ihłak vatthąį' ahjat ( leprosy ) haa iłts'ik haa khaiinjich'iighit yats'ą' nikiigwiintthaii ts'ą' t'iiyahnyąą , “ Gwik'it t'iindhan ji' , shatthąį' shrineiinlii ! ”
41:1:041:0	Jesus , dinjii , veenjit neeshraahchy'aa ts'ą' danli' haa yakat naanjik ts'ą' t'iiyahnyąą , “ Gwik'it t'iihthan t'oonchy'aa , shranąąnjii ! ”
41:1:042:0	Jyaa nyąą gwagwahkhan vakat ts'ik datthak hiljii naanaii ts'ą' shranaazhik .
41:1:043:0	Ąįįtł'ęę Jesus , ginjik nint'aii haa yits'ą' khaginkhee , ts'ą' khan t'ohłii neeyahah'ak .
41:1:044:0	“ Giinkhih nahah'yaa geenjit vats'a' hinkhaii . Ąįįtł'ęę jidii Vit'eegwijyąhchy'aa ts'ą' gwantł'ee hin'aa ąįį ginkhii vantł'eiin'ąįį , ąįįt'ee Moses va-law zhit juu ts'ik leprosy ts'an shranaazhik nąįį jyaa dihee'yaa gwinyąą gwik'it . ” Jesus yahnyąą .
41:1:045:0	Gaa ąįį dinjii yiłeehoozhii dąį' , zhat gwagwahkhan deegwiizhit nijuk datthak geegwaandak it'ee łi' gwintł'oo geegwaandak ts'ąįį Jesus zhat kwaiik'it gwa'an k'eeheedik geenjit gaa veegoo'aii kwaa . Geh'an geeghaih tthan gwa'an gwats'ą' haazhii googaa nihk'it , dinjii lęįį nąįį nijuk datthak gwa'an gwats'an giits'eehiidal .
