41:12:001:1	Dinjii Nąįį Jak Choh Nahshii Gwideek'it Gwak'ąąhtii Tr'agwaanduu Googwitr'it Gwanlii Googwaandak
41:12:001:0	Ąįįtł'ęę Jesus gwandak ąhtsii zhit geegoovąąhtan , haa goots'ą' ginkhii , “ Ch'ihłan dinjii jak choo ( grapes ) deek'it jak choo gwit'eiinlii , tthał chan yeelin needhatthaii . Jak choh teech'ahahdǫǫ ts'ą' jak choh chų' ( wine ) hahtsyaa geenjit khagwiindhat ts'ą' khach'oohaan'ya' geenjit zheetii gwakat gwiłtsąįį . Dinjii zhat gwik'eehaahtyaa nąįį teegwįłjik , ts'ą' ch'adanh niighit nahkat gwats'ą' haazhii .
41:12:002:0	Nijin jak choo ( grapes ) dinįįzhrįh khaihłan nireheelyaa nigwiindhat dąį' , jak choh lat ooheendal geenjit ( vi-slave ) yeenjit tr'agwah'in nilii ch'ihłak goots'ą' hił'e' .
41:12:003:0	Nijin zhat k'idik dąį' giiyąhtsit ts'ą' gwint'aii giiyąąhkhwąįį , gwihiljii ts'ą' k'iinjik neegiihił'e' .
41:12:004:0	Ąįįtł'ęę chan hee ch'izhii da-slave goots'ą' hił'e' , gaa dachan haa giiki' iłkhaa ts'ą' oozhii gwaa'in giits'ą' t'ee'ya' .
41:12:005:0	Googaa chan hee ch'izhii vi-slave goots'ą' hił'e' ąįį chan giiyiiłkhwąįį , ts'ą' da-slave lęįį nąįį oo'an neeha'ak gaa juu goots'ą' hah'ak nąįį datthak ęhdaa tr'igwigwii'ak , ts'ą' goolat nąįį chan gwint'aii gahkhwaii .
41:12:006:0	Vidinji' zhrįh vaat'inchy'aa , ąįį chan łyaa eet'iindhan , googaa goots'ą' yihił'e' , ‘Łyaa shidinji' gahah'aa gwizhrįh gavaashandaii . ’ nyąą .
41:12:007:0	Gaa ąįį juu gwanzhįh deek'it gwak'ąąhtii nąįį jyaa nihłagaanyąą , ‘Jii nan ts'ą' k'eedeegwaadhat vidinji' t'inchy'aa , aanaii vats'a' tr'ahoojyaa ts'ą' vęhdaa tr'agwaroo'aa , ąįį ji' jii vanan diits'an heelyaa . ’ ginyąą .
41:12:008:0	Ąįįts'ą' giiyąhtsit ts'ą' giiyęhdaa tr'igwiin'ąįį . Ąįįtł'ęę jak choo dehk'it gwats'an giichį' cheet'eegiiheełnaii .
41:12:009:0	“ Ąįįtł'ęę gwanzhįh deek'it vats'an nilii ąįį deehee'yaa shrǫǫ nohthan ? ” Jesus gavahkat . “ K'iinaa heekhaa ts'ą' datthak goovęhdaa tr'igwihee'aa ts'ą' ch'izhii dinjii nąįį zhat nineeheelyaa t'oonchy'aa . ” giiyahnyąą .
41:12:010:0	Jesus t'agoovahnyąą , “ Nik'ee Dęhtły'aa Choh kat deegwinyąą gooh'in ? ‘Jii kii chyah kat zheh ndak gwehee'aa , ąįį dinjii zheh gwahtsii nąįį kii nizįį nilii kwaa k'it t'inchy'aa ginyąą . Gaa ndaagwąą'ąį' dąį' kii hilee nilii łee giiky'aanjik .
41:12:011:0	Jii t'ee K'eegwaadhat jyaa diizhik . Łyaa gwinzii giiyiichy'a' ! ’ ”
41:12:002:1	Tax Tr'ookwat ąįį Gach'agwaahkat
41:12:012:0	Jews kįh dilk'ii nąįį , Jesus zhee gwaazhrąįį nagahahchyaa gwik'eegogwandaii . Zhit gwandak eegwandak ąįį gooveenjit t'igwinyąą . Ąįį gaagiindaii geh'an giiyuuheendal gaa zhit dinjii lęįį łeeljil nąįį agąąnjat geh'an giihłeehoojil ts'ą' neegahoojil .
41:12:013:0	Pharisee nąįį ąįįts'ą' Herod vitsyaa nąįį lat Jesus ts'ą' gihił'e' giiyuuhaahkat geenjit , deenyąą k'iighai' goodhaii nideegiihaahtthal gwik'eegwagwandaii geenjit .
41:12:014:0	Giits'ą' niinjil ts'ą' jyaa giiyahnyąą , “ Geech'ǫąąhtan , nan łyaa łi'deegwidlii haa ginkhii gaagwiindaii . Nats'ahts'ą' dinjii nąįį nininjich'adhat geenjit tr'igwiindii kwaa . Dinjii nats'ahts'ą' dinjii nilii ąįį chan gwiinchyaa kwaa , gaa Vit'eegwijyąhchy'aa zhit dinjii nąįį doo'ya' yiindhan gwizhrįh geech'ǫąąhtan . Diihaa gwandak , Caesar , Rome nahkat gwats'ą' k'eedeegwaadhat , vats'a' taxes tr'ookwat ji' dii-law inehts'į' t'igwii'in lee t'igwii'in ? Googwarahookwat kwaa akwat googwarahookwat , jidii shrit ? ”
41:12:015:0	Gaa Jesus goodhaii nideegiihaahkhii eenjit t'iginyąą goovaandaii ts'ą' t'agoovahnyąą , “ Jaghaii goodhaii nashoohohthal gwik'eegǫhdaii ? Laraa ghoo tsal shantł'oh'ąįį ts'ą' hooł'yaa . ”
41:12:016:0	Ąįįts'ą' laraa ghoo giiyintł'eiin'ąįį , ts'ą' gavahkat , “ Juu vinin ts'ą' voozhri' haa vakat dha'aii ? ” “ Caesar vats'an t'inchy'aa , ” giiyahnyąą .
41:12:003:1	Niriindhat Gwats'an Neegwiriindaii Eenjit Ch'agoahkat .
41:12:017:0	Ąįįts'ą' Jesus t'agoovahnyąą , “ Akwaa ji' jidii Caesar vats'an nilii ąįį vantł'eenohłii ts'ą' jidii Vit'eegwijyąhchy'aa vats'an nilii ąįį vantł'eenohłii . ” Jesus łyaa gooveenjit geegwaroolii kwaa , t'iinyą'
41:12:018:0	Ąįįtł'ęę Sadducee lat nąįį nineegwaalii gwanlii kwaa ginyąą nąįį Jesus ts'ą' gahaajil ts'ą' giiyųąhkat ,
41:12:019:0	“ Geech'ǫąąhtan , Moses jii law diineenjit daantł'oo , ‘Dinjii voondee veeraadii , ąįį ch'oondee vigii kwaa ts'ą' niindhat , ąįį vachaa doondee'at neehoondal gwizhrįh , tr'iinin gihee'yaa geenjit . Ąįį tr'iinin gii'įį ji' zhit ch'oondee niindhat ąįį vigii k'it giiyeehoondal . ’
41:12:020:0	Ch'ihłan dąį' , nihchaa 7 nąįį gwanlii , ch'oondee tr'injaa oonjik , gaa vigii kwaa ts'ą' niindhat .
41:12:021:0	Ąįįts'ą' chan vats'ąįį vachaa ya'at noonjik , adan chan vigii kwaa ts'ą' niindhat . Ąįįtł'ęę chan ąįį ch'achaa third dhidii ąįį chan gook'it t'iizhik .
41:12:022:0	Ąįįtł'ęę ants'ą' goochaa nąįį datthak gookcg'it t'iizhik . Nihchaa giilįį ts'ą' datthak neegiiyuunjik , gaa datthak tr'iinin gee'į' kwaa ts'ą' datthak nigiinjik , ąįįtł'ęę zhit tr'injaa chan niindhat .
41:12:023:0	Nihchaa 7 nąįį datthak eendi' ts'ą' nijin drin zhit niindhat dąį' neegogwandaii neegahoodlit ji' , juu va'at heelyaa t'inchy'aa ? ” ginyąą ts'ą' giiyųąhkat .
41:12:024:0	Jesus jyaa goovahnyąą , “ Łyaa gwinzii t'ohnyąą kwaa t'oonchy'aa . Ąįįts'ą' jaghaii gaakhwandaii ? Dęhtły'aa Choh zhit deegwinyąą ąįįts'ą' Vit'eegwijyąhchy'aa vat'aii jiintsii ąįį gaakhwandaii kwaa geh'an .
41:12:025:0	Nijin nigiindhat gwats'an neegwigweheendaii drin nigwiindhat ji' zheekat gwich'in k'it t'igiheechy'aa ts'ą' nihłagooheendal kwaa t'oonchy'aa .
41:12:026:0	Ts'ą' Dęhtły'aa Choh nik'ee niindhat nąįį neegwiindaii gwinyąą gooh'in tr'ał ak'an ts'an Vit'eegwijyąhchy'aa , Moses ts'ą' ginkhii jyaa dinyąą , ‘Shįį t'ee Abraham , Isaac , ts'ą' Jacob haa Goovit'eegwijyąhchy'aa ihłii . ’ nyąą .
41:12:004:1	Moses Va-law Zhit Jidii Shrit Ch'andaa Jiintsii
41:12:027:0	Niindhat nąįį eenjit Vit'eegwijyąhchy'aa nilii kwaa gaa gwandaii nąįį zhrįh , łyaa gwinzii t'ohnyąą kwaa t'oonchy'aa . ” goovahnyąą .
