41:13:001:1	Jesus , Kharigidiinjii Zheh Gwachoo An Gweheelyaa Geeginkhii .
41:13:001:0	Jesus Kharigidiinjii Zheh chineezhii gwiizhit vitsyaa ch'ihłee jyaa yahnyąą , “ Geech'ǫąąhtan zhik gwah'in ! Zhik Kharigidiinjii Zheh ts'ą' veelin zheh goodlii haa kii nidiiltsį' nindal aahchy'aa haa iłtsąįį nah'in ! ” yahnyąą .
41:13:002:1	Nijin Googwantrii ts'ą' Gwiizųų Khaiinjich'iriighit Haa Gwarahąąh'yaa
41:13:002:0	Jesus ąįį t'iiyahnyąą , “ Aahą' , jii zheh gwachoo kwaii , gwinzii nǫh'in . Yeendaa ji' kii tsal ch'ihłak gaa neekwat dehee'aa kwaa ts'ą' gwideek'it hee'aa kwaa . Datthak an heelyaa . ”
41:13:003:0	Jesus , Kharigidiinjii zheh gwachoo gwits'ii Taih Vakat Olives Nahshii dha'aii kat doodii gwiizhit Peter , James , John ts'ą' Andrew nąįį haa tthan dhidii giits'ą' haajil .
41:13:004:0	“ Zhat nigwiindhat ji' , deegwehee'yaa ts'ą' deegweheenjyaa diinaa gwandak . Nijin ji' jii kwaii datthak gwik'it gweheelyaa gwarahąąh'yaa ? ”
41:13:005:0	Jesus t'agavahnyąą , “ Gwak'ǫǫhtii , ch'ihłee gaa neenakhwahoon'ee shrǫ' .
41:13:006:0	Dinjii lęįį nąįį nakhwats'ą' giheedaa ts'ą' sheenjit giginkhii giheenjyaa ts'ą' ‘Gwidinji' adan t'ihchy'aa ! ’ giheenjyaa ts'ą' dinjii lęįį nąįį neegeheen'ee t'oonchy'aa .
41:13:007:0	Ts'ą' nijin nihłariighan gwinyąą gootth'ak ji' noojat shrǫ' , ąįįt'ee deegweheenjyaa ąįį gwik'it t'igweheenjyaa , gaa nan ndaanąą'ąį' eenjit t'igwii'in kwaa .
41:13:008:0	Nahkat datthak geegwinii'ee chan nihłigiheeghaa . Nijuk datthak chan nan haatrat , ts'ą' shih agwantrii nagwahaadhal dinjii nąįį ihdeeheengaii . Jii t'ee tr'injaa tr'ookit tr'iinin haa hiłts'ik k'it t'oonchy'aa .
41:13:009:0	“ Ideenjit gwak'ǫǫhtii datthak ts'ą' ! Gwintł'ee nakhwareheelyaa ts'ą' nakhwarahahkat . Israel tr'igiinkhii zheh gwizhit nakhwagwarahahshii . Shęh'an Gwandak Nizįį eegahoondak geenjit khaihkwaii kįh dilk'ii nąįį ts'ą' k'eedeegwaadhat choh nąįį ts'ą' nanakhwaraheelyaa t'oonchy'aa .
41:13:010:0	Gaa jii nan datthak ndaahaan'aa gwehkįį tr'ookit Gwandak Nizįį jii nankat dinjii nąįį datthak eegwarahaandak gwizhrįh goo'aii ąįįtł'ęę deegweheenjyaa gwinyąą gwik'it t'igweheenjyaa .
41:13:011:0	Nijin nakhwagooheendal ts'ą' ch'aroahkat zheh nakhwagoohahkat geenjit gwats'ą' nakhwageelyaa dąį' deehohjyaa geenjit gwehkįį tr'agohdii shrǫ' . Zhat nagwiindhat ji' , deehohjyaa ąįį gwik'it t'ahohjyaa nakhwaginjik t'inchy'aa kwaa , Ch'anky'aa Shroodiinyąą k'iighai' gahohkhyaa t'oonchy'aa .
41:13:012:0	Dinjii nąįį dagachaa , ąįįts'ą' dagagoondee nąįį gwintł'ee gahahchyaa , goovęhdaa tr'igwirehee'aa geenjit . Ch'iti' nąįį gaa digigii nąįį gwantł'ee heelyaa . Tr'iinin nąįį digiyehghan ts'į' t'igiheechy'aa ts'ą' goovęhdaa tr'igwirehee'aa geenjit gwintł'ee googahahchyaa .
41:13:003:1	Gęhdaa Kwaa Googwantrii Gwiizųų
41:13:013:0	Shats'an ǫhłįį geh'an dinjii nąįį datthak nakhwatr'igehee'ee , gaa juu ndaagwąą'ąį' gwats'ą' datthak shik'injiighit t'ee neeheezhii t'oonchy'aa . ”
41:13:014:0	“ Zhit nijin jidii tr'aanduu gwiizųų hee'aa kwaa goo'aii ąįį zhit niriin'ąįį łee nǫh'in ji' Judea nahkat gwich'in nąįį oodak taih kat gwats'ą' gal hohdaa yuu . ( Juu jii dęhtły'aa nah'in nąįį deegwinyąą t'igwinyąą gaakhwandaii gwat'oohchy'aa t'oonchy'aa . )
41:13:015:0	Zhit juu dizheh gwakat doodii neenoozhi' ts'ą' dik'eiich'ii neehoondal eenjit dizheh nihdanǫǫzhi' shrǫ' .
41:13:016:0	Zhit juu gwanzhįh deek'it gwitr'it t'agwah'in ch'adak ik nooheendal geenjit dizheh gwits'eehoozhi' shrǫ' .
41:13:017:0	Izhit ji' łyaa tr'injaa vizhit tr'iinin chants'ą' juu tr'iinin ach'ahma' nąįį haa eenjit gwigweheetrii !
41:13:018:0	Vit'eegwijyąhchy'aa vats'a' khagadǫhjii jii khaii gwanlii gwiizhit t'igweheenjyaa kwaa geenjit !
41:13:019:0	Izhit drin nigwiindhat ji' tr'igwidii googwantrii gweheelyaa , jii nankat gwehkįį jyaa dagwahtł'oo gwiizųų gwaraah'in kwaa , Vit'eegwijyąhchy'aa jii nan iłtsąįį dąį' gwats'an juk gwats'ą' datthak chan ch'ihłok gaa jyaa dineegweheenjyaa kwaa t'oonchy'aa .
41:13:020:0	Gaa K'eegwaadhat , drin gwitee gwagwaanchy'aa nahgǫǫ neegwiłtsąįį kwaa ji' jii nankat dinjii nąįį datthak an heelyaa t'oonchy'aa . Ąįį dinjii gwitee tr'iinlii nąįį niighyuk khaiinjich'igiheeghit geenjit drin khaiinjich'ireheeghit kwaii nahgǫǫ niłtsąįį t'inchy'aa .
41:13:021:0	“ Ąįįts'ą' chan dinjii ch'ihłee jyaa nahnyąą ji' , ‘Dzaa Christ dhidii nǫh'in ! ’ , akwat ‘Oo'at dhidii t'inchy'aa ! ’ nahnyąą ji' gaa gwik'injuhkhit shrǫ' !
41:13:022:0	Christ adagaa'įį ts'ą' Vit'eegwijyąhchy'aa Eenjit Ginkhii ihłii nyąą nąįį gwigwee'in ts'ą' geegwaroolii kwaa t'igihee'yaa haa Vit'eegwijyąhchy'aa dinjii gwitee tr'iinlii nąįį gach'agwadhan ji' gwizhrįh neegeheen'ee .
41:13:004:1	Gwidinji' Nineeheedyaa Gwandak
41:13:023:0	Łyaa gwinzii dak'oontii , jii datthak gaakhwandaii geenjit gwehkįį nakhwaagwaldak t'ihnyąą . ”
41:13:024:0	“ Googwantrii gwiizųų gehgoo goodhat tł'ęę shree ch'ahahdrii kwaa , ts'ą' tǫǫ oozhrii chan ch'ahahdrii kwaa .
41:13:025:0	Zheekat gwats'an chan są' kwaii niheedaa . Zhee zhit , jidii gwat'aii haa goodlii , ąįį nijin goodlii kwaii ch'ijuk t'iheenjyaa ts'ą' zheekat ch'ijuk goodlii nagwahaadhal .
41:13:026:0	Ąįįtł'ęę Gwidinji' vat'aii jiintsii , ts'ą' ch'eegwąhndit jiintsii haa k'iidąą zheek'ǫh zhit needyaa tr'ahah'yaa .
41:13:005:1	Fig Dachan Ts'an Gwagoo'ee
41:13:027:0	Vit'eegwijyąhchy'aa dizheekat gwich'in nąįį oodaa hah'aa . Zheekat gwich'in nąįį chan juu Vit'eegwijyąhchy'aa dinjii gwitee tr'ilii nąįį datthak nan ndaanąą'ąį' zheekat gwats'an ndaanąą'ąį' gwats'ą' łachan gooveheelyaa . ”
41:13:028:0	“ Zhit ts'iivii vakat Figs nahshii ts'an gwagoo'ee . Nijin vatthoochan tth'aii hee dadlok ts'ą' vakat ch'at'an tsal khan nahshii dąį' , it'ee shin gwats'ą' nahgwan gaakhwandaii .
41:13:029:0	Izhit gwik'it deegwehee'yaa diinyą' gwik'it t'igwii'in gooh'in ji' t'ee yee'at tthał nii'ee nihdeegweedii zhat dhidii vaahahkhwandaii .
41:13:030:0	Łi'haa nakhwats'ą' ginkhii t'ihnyąą ! Juk gweendaa gwandaii nąįį tthak niinjik kwaa tł'ęę jii kwaii zhit gweheedhaa .
41:13:006:1	Nijin Drin Akwat Nijin Ji' T'igweheenjyaa Ch'ihłak Gaa Gaandaii Kwaa .
41:13:031:0	Zhee , nan haa kwaa gweheelyaa gaa shiginjik ąįį khit łi'didlii heelyaa . ”
41:13:032:0	“ Nijin drin akwat nijin ji' t'igweheenjyaa ch'ihłak gaa gaandaii kwaa , zheekat gwizhit zheekat gwich'in nąįį ts'ą' Vidinji' haa gaagiindaii kwaa . Gaa Gwiti' zhrįh gaandaii t'oonchy'aa .
41:13:033:0	Nijin ji' t'igweheenjyaa gaakhwandaii kwaa geh'an gwak'ǫǫhtii , ts'ą' geenjit khach'oo'ya' .
41:13:034:0	Gwidinji' needyaa ji' jyaa digweheenjyaa t'oonchy'aa , ch'ihłan dinjii dizheh gwats'an khaihtak haazhii ts'ą' ditsyaa nąįį dizheh gwak'ąąhtii iłtsąįį ts'ą' datthak gwitr'it ch'ihłak t'igihee'yaa gwigwii'įį goovantł'eegwin'ąįį . Ąįįtł'ęę dinjii gindeiinvyaa k'ąąhtii khit ts'ą' khach'oan'ya' yahnyąą .
41:13:035:0	Gwak'ǫǫhtii , nijin ji' zheh gwats'ą' k'eedeegwaadhat k'ineeheedik vaakhwandaii kwaa , duulee khaa gwiizhit , akwat , tǫhtł'an , akwat neeyahkaa gwats'ą' akwat vanh k'ineech'aha'ąįį gwiizhit .
41:13:036:0	Nakhwarahtee hee khan k'inihdik ji' dhohchųų gwiizhit k'inoodik shrǫ' .
41:13:037:0	Jii t'ee datthak ts'ą' t'anakhwaihnyąą , ąįį dinjii nąįį datthak chan t'aihnyąą , gwik'eehoohtyaa geenjit . ”
