17:4:001:1	Esther bidine'é yá ná'iidookąąłgo yee nihoní'ą́
17:4:001:0	Áko Mórdiikai éí ádahóót'įįdígíí t'áá át'é baa ákozniizį́į'go ha'éé' ák'inijooldláadgo tł'oh azis éé' biih jííyá áádóó łeeshch'iih ádééjíishjaa' áádóó chahojiyoonihgo k'ada'ajichéehgo kin haal'á góne' ajííyá. 
17:4:002:0	Áádóó aláahgo naat'áanii bich'é'étiingi dáń'dítį́híjį' nizhníyá; jó, t'ááłá'í nidi aláahgo naat'áanii bich'é'étiin dáń'dítį́hígi tł'oh azis éé' doo ła' yee yah iigháhí da nít'éé'. 
17:4:003:0	Áko bee óhólnííh bił nahaz'ą́ą́góó aláahgo naat'áanii yee haadzí'ígíí bik'ehgo bee haz'áanii baa dahane'go biniinaa ayóó át'éego Jew dine'é bitahgóó diné yínííł daazlį́į́'; t'áadoo da'ayání t'óó ayóó íits'a'go daachago atínídadinidleeh, áko t'óó ahayóí tł'oh azis éé' yiih dahaaskai áádóó łeeshch'iih ádéédayiizhjaa'. 
17:4:004:0	At'ééké áádóó diné nidaal'a'í éí Esther yił dahoolne'. Áko asdzą́ą́ naat'ááh nilíinii ts'ídá t'áá íiyisí yínííł nilį́įgo biniinaa Mórdiikai éé' yiih doogáałii yich'į' áyiilaa, éí tł'oh azis éé' ádaa hizhdidoo'nił biniyé, nidi t'áadoo néidiinil da. 
17:4:005:0	Ákohgo Esther éí aláahgo naat'áanii yá naal'a'í ła' bik'i hodiinii'ii éí Esther yá naal'a'í Héítak hágo bizhdííniid, áko ha'át'íí biniyé áádóó ha'át'íí biniinaa Mórdiikai hach'į' áhóót'įįdígíí hazhó'ó shił bééhodoozįįł, nízingo hach'į' i'ííł'a'. 
17:4:006:0	Áko kin haal'áagi aláahgo naat'áanii bidáń'dítį́hí bich'éédą́ą'gi atiinígóó Héítak éí Mórdiikai yich'į' ííyá. 
17:4:007:0	Áko Mórdiikai hach'į' áhoodzaaígíí t'áá át'é áádóó Jew dine' é ábidi'dooldįįł biniyé Héíman ni'dooléełgo aláahgo naat'áanii bibéeso bitah doo'niłgo yee nihoní'ánígíí bee bił hojoolne'. 
17:4:008:0	Áádóó ałdó' Shúshan kin haal'áagi bee haz'áanii hadiilyaaígíí bik'ehgo Jew dine'é ábidi'dooldįįłgo bee ak'e'ashchíinii haazhníłtsooz; éí Esther bich'į' ázhdoolíiłgo áádóó bee bił hozhdoolnihgo ná'iizhdookąął áádóó hadine'é baa ná'iizhdookąął ałdó' biniyé aláahgo naat'áanii bich'į' jidoogáałgo bee bich'į' hazdoodzih. 
17:4:009:0	Áko Héítak nádzáago Mórdiikai ádííniidígíí Esther yił hoolne'. 
17:4:010:0	Náá'áłdó' Esther éí Héítak bich'į' bee hadziisdzíi'go Mórdiikai bił hozhdoolnihgo hazhó'ó bee áhozhdííniid, 
17:4:011:0	Aláahgo naat'áanii bá nidaal'a'í t'áá ałtso áádóó aláahgo naat'áanii bee bóhólníihgo bił nahaz'ą́ą́góó kéédahat'ínígíí díí bił béédahózin: t'áá háiida diné, doodaii' asdzánída t'áadoo hágo hodi'niihí aláahgo naat'áanii bił haz'ání góne' doo yah azhdoogáał da; bee haz'áanii t'ááłá'ígo binahjį' diné bidi'yoolyééł, t'áá hazhó'ó aláahgo naat'áanii bi'óola naat'á gish hach'į' dah yidiitsihgo t'éiyá t' áá jiináa doo. Áko aláahgo naat'áanii t'áadoo hágo shiłniihí tádiin jį́ azlį́į́'. 
17:4:012:0	Áko Esther ázhdííniidígíí Mórdiikai yee yił dahoolne'. 
17:4:013:0	Ákohgo Mórdiikai éí Esther yich'į' anáá'ííł'a'go kóní, Jew dine'é ábidi'dooldįįłígíí t'áá ałtso biláahgo aláahgo naat'áanii bighangi t'áá ná ch'íhóót'i' dooígíí t'áadoo baa nitsíníkeesí. 
17:4:014:0	Jó, díí hoolzhishgi t'óó dííníłhéelgo t'áá aaníí náánáłahdę́ę'go Jew dine'é bá yisdáhóót'i' doo, nidi ni índa nizhé'é bighandóó danilínígíí ábidi'dooldįįł. Áko díidashą' biniinaa díí hoolzhishígíí binih aláahgo bee óhólníihgo bił haz'áanii biih yíníyá? 
17:4:015:0	Ákohgo Esther éí Mórdiikai yich'į' anáá'ííł'a'go ání, 
17:4:016:0	Nílááh, Shúshan kin haal'áagi Jew dine'é kéédahat'ínígíí áłah ánílééh, áko hodílzingo doo adą́ shá baa hoolzhiizhgo tł'éé' bíighah áádóó shá bíighah, t'áadoo da'ohsání, t'áadoo da'ohdlání tágí jį́ adooleeł. Áko nihí ádaaht'ínígi át'éego shí áádóó ch'ikéí shá nidaal'a'í ałdó' hodílzingo doo adą́ bił baa nideeshkah. Áko bee haz'áanii doo bik'ehdii da, nidi aláahgo naat'áanii bich'į' deesháałgo éí biniinaa dadeestsaałgo dadeestsaał. 
17:4:017:0	Ákohgo Mórdiikai dashdiiyáago Esther áhodííniidii t'áá át'é bik'ehgo í'jiilaa.
