17:8:001:1	Jew dine'é yéego ach'ą́ą́h nidaałdzil, bidoo'niid
17:8:001:0	Éí bijį́ aláahgo naat'áanii Ahazawííras éí Jew dine'é yi'ana'í yę́ę Héíman bikin éí asdzą́ą́ naat'ááh Esther yeidiní'ą́. Áko Mórdiikai éí aláahgo naat'áanii bidááhdóó nizhníyá, háálá, Esther shik'éí jílį́, hałníigo haa nahasne'. 
17:8:002:0	Áko aláahgo naat'áanii éí biyoostsah bik'e'ashchį́įgo ak'i nideinilígíí Héíman yaa néidii'ánígíí Mórdiikai yeiní'ą́. Áko Esther éí Mórdiikai joolyéii Héíman bikin áádóó bíí' danilíinii baa áhojilyą́ągo áhoolaa. 
17:8:003:0	Ákohgo Esther éí aláahgo naat'áanii bich'į' yánáájíłti'go bikétsį́įjį' nitsizhdinígo' áádóó jichago níjookąąhgo ájíní, Éígag dine'é Héíman binahagiz yee Jew dine'é bíniiká yihodeez'áanii nahjį' kónílééh. 
17:8:004:0	Áko aláahgo naat'áanii éí óola naat'á gish yee Esther yich'į' yideeztsih. Áko Esther nízhdii'na'go aláahgo naat'áanii bidááhdóó jiizį'. 
17:8:005:0	Áko ájíní, Aláahgo naat'áanii bił hóshǫ́ǫ́ ládą́ą́' áádóó aláahgo naat'áanii bee ach'oha'néenii yee shaa nitsíkees ládą́ą́' áádóó aláahgo naat'áanii binááł yá'át'éehii át'éego índa binááł bił honishǫ́ǫgo bíni' Éígag dine'é Hamiidéítha biye' Héíman éí aláahgo naat'áanii bił nahaz'ą́ą́góó t'áá át'é Jew dine'é danilíinii ádooldįįł nízingo yich'į' ak'eda'ashchį́į́ nít'éé' yę́ę naaltsoos bikáa'go bee ak'eda'ashchínígíí łahgo áńdadoolnííł. 
17:8:006:0	Háálá shidine'é danilíinii shinááł doo yá'áshóonii bik'i hoole'go ha'át'íísh bee ha'ííníshníi doo? Doodaii' shik'éí danilíinii shinááł ábidi'niildįįdgo ha'át'íísh bee ha'ííníshníi doo? 
17:8:007:0	Ákohgo aláahgo naat'áanii Ahazawííras éí asdzą́ą́ naat'ááh Esther áádóó Mórdiikai Jew dine'é jílíinii áyidííniid, Jó, Héíman bikin áádóó bíí' danilíinii Esther baa diní'ą́ áádóó bí t'éí tsin bąąhjį' dah dahozhdiilo', háálá Jew dine'é naaztseed doo jinízin nít'éé'. 
17:8:008:0	Áko t'áá nił yá'át'éhígi át'éego aláahgo naat'áanii bízhi' binahjį' Jew dine'é bá ak'e'dííłchííł áádóó aláahgo naat'áanii biyoostsah bee bik'i nidíí'ááł, háálá aláahgo naat'áanii bízhi' binahjį' ak'e'ashchį́įgo aláahgo naat'áanii biyoostsah bee bik'i ni'ít'áanii diné doo łahgo ánáyódle' át'ée da. 
17:8:009:0	Ákwii hoolzhishdą́ą́' aláahgo naat'áanii yá ak'eda'ałchíhígíí bíká áhodoo'niid, éí táá' nídízídígíí Síívan wolyéii binih, naadiin táá'góó yoołkáałgo Mórdiikai yee haadzí'ígíí t'áá át'é bik'ehgo Jew dine'é bich'į' áádóó akéé'dóó bídahólníihii áádóó aląąjį' naazíinii índa naat'áanii danilíinii éí Índiya kéyahdóó Iithiyópiya kéyahjį' kéyah nahaz'ą́ą́góó neeznádiindóó ba'aan naadiin tsosts'idgo haz'ą́ yee bídahólníihgo, t'áá bił nahaz'ą́ą́góó t'áá bí bizaad yee ak'e'da'ałchíii áádóó t'áá bí bizaad yee yádaałti'ii índa Jew dine'é t'áá bí bizaad yee ak'e'da'ałchíii áádóó t'áá bí bizaad yee yádaałti'ii bich'į' yee ak'eda'ashchį́. 
17:8:010:0	Ahazawííras aláahgo naat'áanii nilíinii bízhi' binahjį' ak'eda'ashchį́įgo áádóó aláahgo naat'áanii biyoostsah bee bik'i nida'iist'ą́ągo aláahgo naat'áanii bilį́į́chogi bá neheezhchíinii chodao'íinii yee naal'a'í danilíinii naaltsoos adayiizyį́. 
17:8:011:0	Aláahgo naat'áanii éí Jew dine'é t'áá kin hadaas' áhígi kéédahojit'ínígíí hwe'iina' bich'ą́ą́h yádajiłti' dooleeł biniyé áłah jidooleełgo naaltsoos bee hoda'iisnii', áádóó dadine'é índa bee óhólnííh bił nahaz'ą́ą́góó bidziilgo dah deíkáahii t'áá bí áádóó bada'áłchíní índa asdzání danilíinii éí Jew dine'é atídadiilnííł danízinii ádazhdoołdįįłgo nidazdoołtsił índa nabídazhdoołdįįł áádóó binaalye'é bits'ą́ą́' nídahizhdoolahgo bee ho'ílnii'. 
17:8:012:0	T'áá ła'óo jį́ aláahgo naat'áanii Ahazawííras bee bóhólníihgo bił nahaz'ą́ą́góó t'áá át'é naakits'áadah nídízídígíí Éídar wolyéii binih, táá'ts'áadahgóó yoołkáałgo, 
17:8:013:0	bee óhólníihgo bił nahaz'ą́ą́góó dadine'é t'áá ałtso bich'į' bee haz'áanii bee ak'e'ashchínígíí bééda'alyaago, diné bich'į' baa dahojilne' nít'éé': éí bijį́ Jew dine'é danilíinii bi'ana'í danilínígíí yich'į' ádá k'éédadi'doo'nííł biniyé hasht'e'áda'diilyaa. 
17:8:014:0	Ákohgo naal'a'í danilíinii aláahgo naat'áanii bilį́į́' dadilwo'ii éí aláahgo naat'áanii t'áá yee haadzíi'ii bik'ehgo haneetehee bił adahaazhjéé' índa Shúshan kin haal'áagi bee haz'áanii baa dahóóne'. 
17:8:015:0	Ákohgo Mórdiikai éí aláahgo naat'áanii sidáhídóó dashdiiyáago naat'á éé' bee nida'aldeehii yá nahalingo dadootł'izhígíí áádóó daalgaígíí bee hazhdít'éego áádóó óola naat'á ch'ah ayóó át'éii hach'ahgo áádóó áłts'óózígo yisdizígíí bee na'at'ą́hí łigaii dits'idgo ályaii áádóó na'at'ą́hí tsídídééh nahalingo łichí'ígíí bee bił hazhdít'éego Shúshangi kéédahat'íinii hahodííłdláadgo bił dahóózhǫǫd. 
17:8:016:0	Áko Jew dine'é éí adinídíín bee dahólǫ́ áádóó bił dahózhǫ́ áádóó bee ił hózhóonii índa bee ił ídlíinii bee dahólǫ́. 
17:8:017:0	Áko t'áá haa'ída bił nahaz'ą́ą́góó índa t'áá kin hadaas'áhígi aláahgo naat'áanii yee hahaasdzíi'ii éí bibee haz'áanii haa dahwiizle'go, Jew dine'é bił dahózhǫ́ áádóó yaa bił dahózhǫ́ǫgo ída'azįįd yaa naaskaigo nizhónígo bee ida'az'ą́. Áko t'óó ahayóí dadine'é kéyahgi kéédahat'ínígíí éí Jew dine'é daazlį́į́', háálá Jew dine'é danilíinii yik'ee bił daayéé'.
